taxa	name	median_disco
s__Absicoccus_porci	Null data	3.84596633753948
s__Adlercreutzia_equolifaciens	Null data	5.09094855793177
s__Agathobaculum_butyriciproducens	Null data	4.92379801389129
s__Agathobaculum_sp._M2	Null data	3.45460712692606
s__Akkermansia_muciniphila	Null data	5.37044860473854
s__Alistipes_communis	Null data	2.13289706188745
s__Alistipes_ihumii	Null data	3.87162828139069
s__Alistipes_indistinctus	Null data	4.74021478057028
s__Alistipes_onderdonkii	Null data	2.06556145964188
s__Alistipes_putredinis	Null data	2.43994913971241
s__Alistipes_shahii	Null data	2.53943699838787
s__Allisonella_histaminiformans	Null data	3.14036702385656
s__Anaerobutyricum_hallii	Null data	2.70313430526805
s__Anaerobutyricum_soehngenii	Null data	6.14888735341458
s__Anaeromassilibacillus_sp._An200	Null data	2.03319064324829
s__Anaerostipes_hadrus	Null data	2.9167960927524
s__Anaerotardibacter_sp._CLA_AA_M13	Null data	4.7452256857253
s__Anaerotignum_faecicola	Null data	5.5247024346293
s__Anthropogastromicrobium_aceti	Null data	3.63018610989146
s__Bacteriophage_sp.	Null data	2.73268544389178
s__Bacteroides_caccae	Null data	1.5534785394255
s__Bacteroides_fragilis	Null data	2.23145006324025
s__Bacteroides_ovatus	Null data	2.11435584247215
s__Bacteroides_stercoris	Null data	1.89142898416257
s__Bacteroides_thetaiotaomicron	Null data	1.70841764439515
s__Bacteroides_uniformis	Null data	1.93916696627106
s__Bacteroides_xylanisolvens	Null data	2.49230842810561
s__Barnesiella_intestinihominis	Null data	3.85099243830241
s__Bifidobacterium_adolescentis	Null data	4.29159869954855
s__Bifidobacterium_catenulatum	Null data	4.30716714563721
s__Bifidobacterium_longum	Null data	4.79171434834385
s__Bifidobacterium_pseudocatenulatum	Null data	5.10586428532451
s__Bilophila_wadsworthia	Null data	4.71619894936487
s__Blautia_ammoniilytica	Null data	5.93837088263304
s__Blautia_faecicola	Null data	3.17281761062724
s__Blautia_faecis	Null data	2.48634935189247
s__Blautia_glucerasea	Null data	2.03231728675783
s__Blautia_hansenii	Null data	6.36253072801327
s__Blautia_luti	Null data	2.34893870540396
s__Blautia_massiliensis	Null data	2.24028366909465
s__Blautia_obeum	Null data	1.84947431455051
s__Blautia_schinkii	Null data	2.84830913980457
s__Blautia_sp._BIOML_A1	Null data	3.33490804672539
s__Blautia_sp._Marseille_P3087	Null data	4.31651274381424
s__Blautia_sp._MCC270	Null data	3.15790486697276
s__Blautia_sp._MCC283	Null data	4.65495300902837
s__Blautia_sp._MSJ_19	Null data	3.67534949255439
s__Blautia_sp._MSJ_36	Null data	5.2338265061938
s__Blautia_sp._MSK_20_85	Null data	4.55597983221138
s__Blautia_sp._MSK20_18	Null data	3.51356589084879
s__Blautia_sp._OF03_15BH	Null data	5.7218724584453
s__Blautia_stercoris	Null data	4.0197439395194
s__Blautia_wexlerae	Null data	2.00371617943078
s__Brotolimicola_acetigignens	Null data	3.02403397471573
s__Brotomerdimonas_butyrica	Null data	2.70823121572161
s__Butyricicoccus_faecihominis	Null data	4.25792969281248
s__Butyricicoccus_sp._BIOML_A1	Null data	4.5645564402737
s__Butyrivibrio_crossotus	Null data	1.59990651320283
s__Catenibacterium_mitsuokai	Null data	2.98151144808372
s__Clostridium_perfringens	Null data	3.68142508490248
s__Clostridium_saudiense	Null data	4.76011147458818
s__Clostridium_sp._1001270H_150608_G6	Null data	4.18767763569998
s__Clostridium_sp._1001270J_160509_D11	Null data	2.8813856684255
s__Clostridium_sp._1001271B_151109_B4	Null data	5.24317328109824
s__Clostridium_sp._AF15_31	Null data	5.54390905355477
s__Clostridium_sp._AF15_41	Null data	5.32508124053522
s__Clostridium_sp._AF23_8	Null data	3.35410517931684
s__Clostridium_sp._AF36_4	Null data	2.48916919415143
s__Clostridium_sp._AF37_5	Null data	2.15609872714052
s__Clostridium_sp._AF43_10	Null data	4.44676053687324
s__Clostridium_sp._AM42_36	Null data	3.95771911618357
s__Clostridium_sp._AM49_4BH	Null data	4.58490545631044
s__Clostridium_sp._BIOML_A1	Null data	2.82653932098305
s__Clostridium_sp._D43t1_170807_D5	Null data	3.77562115099881
s__Clostridium_sp._D43t1_170807_H7	Null data	5.21032123136716
s__Clostridium_sp._L2_50	Null data	4.7022322433973
s__Clostridium_sp._OM08_29	Null data	4.54645701842256
s__Clostridium_spiroforme	Null data	2.90966460239645
s__Collinsella_aerofaciens	Null data	2.09606156524111
s__Collinsella_bouchesdurhonensis	Null data	3.35897589798295
s__Collinsella_sp._AM34_10	Null data	4.0518610715331
s__Collinsella_sp._TF05_9AC	Null data	2.96043804687133
s__Collinsella_tanakaei	Null data	4.03844475124669
s__Coprococcus_catus	Null data	5.63726479710715
s__Coprococcus_comes	Null data	1.83663132574225
s__Coprococcus_eutactus	Null data	4.99383085199462
s__Cyclospora_cayetanensis	Null data	1.49061078009322
s__Desulfovibrio_piger	Null data	4.62181549554834
s__Dialister_succinatiphilus	Null data	3.88808049797504
s__Dorea_ammoniilytica	Null data	2.5513569275206
s__Dorea_formicigenerans	Null data	1.39053153849193
s__Dorea_longicatena	Null data	2.02962010406555
s__Dorea_phocaeensis	Null data	5.26715322395209
s__Dorea_sp._AF24_7LB	Null data	3.40195555201051
s__Dorea_sp._AF36_15AT	Null data	2.83196654733179
s__Dorea_sp._AM10_31	Null data	4.20605223992823
s__Dorea_sp._AM13_35	Null data	3.55859257564772
s__Dorea_sp._AM58_8	Null data	2.34160447774029
s__Dorea_sp._NSJ_36	Null data	3.94631244854841
s__Dorea_sp._OM07_5	Null data	3.24017100425998
s__Dysosmobacter_sp._BX15	Null data	2.17916313856301
s__Dysosmobacter_welbionis	Null data	2.61331137109503
s__Eggerthella_lenta	Null data	2.37483879647841
s__Ellagibacter_isourolithinifaciens	Null data	3.40523951106739
s__Escherichia_coli	Null data	9.28936235005976
s__Eubacterium_coprostanoligenes	Null data	5.32263071525702
s__Eubacterium_ramulus	Null data	3.45757220765023
s__Eubacterium_sp._AF22_8LB	Null data	3.59428163397798
s__Eubacterium_ventriosum	Null data	5.38652759422926
s__Evtepia_gabavorous	Null data	5.90846018610162
s__Extibacter_muris	Null data	3.1602632482617
s__Faecalibacillus_faecis	Null data	3.47180305164824
s__Faecalibacillus_intestinalis	Null data	3.91846644256646
s__Faecalibacillus_sp._H12	Null data	4.53597660558263
s__Faecalibacillus_sp._MSK20_93	Null data	3.21388632079654
s__Faecalibacterium_prausnitzii	Null data	3.66941738463409
s__Faecalibacterium_sp._AF27_11BH	Null data	3.7709468024115
s__Faecalibacterium_sp._CLA_AA_H233	Null data	3.81917772741892
s__Faecalibacterium_sp._HTFF	Null data	2.41353632479537
s__Faecalibacterium_sp._I3389	Null data	4.58533960980401
s__Faecalibacterium_sp._Marseille_Q4896	Null data	3.28206919391241
s__Faecalicatena_fissicatena	Null data	3.54713598224597
s__Flavonifractor_plautii	Null data	2.10608531793442
s__Fusicatenibacter_saccharivorans	Null data	3.23932604930814
s__Fusicatenibacter_sp._CLA_AA_H277	Null data	5.84497209661115
s__Gallintestinimicrobium_propionicum	Null data	3.95980329212294
s__Gemmiger_formicilis	Null data	5.87316666064288
s__Holdemanella_biformis	Null data	2.784374619979
s__Holdemanella_porci	Null data	3.30543138893937
s__Holdemanella_sp._MSK_7_32	Null data	2.74087351906235
s__Intestinibacter_bartlettii	Null data	4.13211918889176
s__Intestinimonas_butyriciproducens	Null data	1.69404498075004
s__Intestinimonas_sp._MSJ_38	Null data	1.80769648680678
s__Jingyaoa_shaoxingensis	Null data	4.62818899497683
s__Kineothrix_sp._MSJ_39	Null data	3.51182801253754
s__Klebsiella_pneumoniae	Null data	4.19873691587729
s__Lachnoclostridium_sp._210928_DFI_6_3	Null data	4.60090864500704
s__Lachnospira_eligens	Null data	2.53554868221034
s__Lentihominibacter_faecis	Null data	3.24552231275908
s__Mediterraneibacter_butyricigenes	Null data	4.73251148197013
s__Mediterraneibacter_faecis	Null data	2.71168316272197
s__Mediterraneibacter_glycyrrhizinilyticus	Null data	3.58970807208131
s__Mediterraneibacter_sp._NSJ_151	Null data	4.12859586023942
s__Megasphaera_elsdenii	Null data	2.6014030148977
s__Methanobrevibacter_smithii	Null data	2.61417770667125
s__Mitsuokella_jalaludinii	Null data	3.44530336234824
s__Mogibacterium_kristiansenii	Null data	2.77572713508838
s__Negativibacillus_massiliensis	Null data	5.47309936165566
s__Oliverpabstia_intestinalis	Null data	2.6267310190926
s__Olsenella_uli	Null data	3.3865673956254
s__Oribacterium_sp._oral_taxon_102	Null data	1.7044078551309
s__Oscillibacter_sp._ER4	Null data	1.7783764908334
s__Oscillibacter_sp._MCC667	Null data	1.44243653327073
s__Oscillibacter_sp._MSJ_31	Null data	1.6829071461183
s__Oscillibacter_valericigenes	Null data	2.26471715845189
s__Parabacteroides_distasonis	Null data	2.35317305865348
s__Parabacteroides_merdae	Null data	2.59459976344356
s__Paraprevotella_clara	Null data	3.32689814949416
s__Paratractidigestivibacter_faecalis	Null data	3.20463804012336
s__Parolsenella_catena	Null data	3.37564413584517
s__Parolsenella_massiliensis	Null data	3.11875322018353
s__Phascolarctobacterium_faecium	Null data	5.60066182166537
s__Phascolarctobacterium_sp._Marseille_Q4147	Null data	2.79469270343263
s__Phascolarctobacterium_succinatutens	Null data	2.83143328969073
s__Phocaeicola_massiliensis	Null data	2.68386279936824
s__Phocaeicola_vulgatus	Null data	2.04124866713661
s__Phocea_massiliensis	Null data	1.67950165825651
s__Porcipelethomonas_ammoniilytica	Null data	2.30353258644234
s__Prevotella_copri	Null data	2.46100864261783
s__Prevotella_hominis	Null data	2.69895541965572
s__Prevotella_pectinovora	Null data	2.52402128386883
s__Prevotella_sp._885	Null data	2.35633501176762
s__Prevotella_sp._Marseille_P4119	Null data	2.99582559382962
s__Prevotella_sp._P4_67	Null data	2.92758116693668
s__Prevotella_sp._P5_64	Null data	3.71193969676013
s__Prevotella_stercorea	Null data	1.94735569104247
s__Prevotellamassilia_timonensis	Null data	2.50023558085818
s__Pseudoflavonifractor_capillosus	Null data	2.14545720459071
s__Pseudoflavonifractor_phocaeensis	Null data	2.43664059874321
s__Pseudoflavonifractor_sp._MSJ_30	Null data	1.91394810550513
s__Qingrenia_yutianensis	Null data	1.58425269830553
s__Romboutsia_timonensis	Null data	4.05358223821167
s__Roseburia_faecis	Null data	3.57174131881666
s__Roseburia_hominis	Null data	2.75502283161325
s__Roseburia_intestinalis	Null data	2.43926147124972
s__Roseburia_inulinivorans	Null data	2.73562551889747
s__Roseburia_sp._BX1005	Null data	3.81233616095356
s__Roseburia_sp._CLA_AA_H204	Null data	4.42973125020276
s__Roseburia_sp._CLA_AA_H209	Null data	4.03853784147912
s__Ruminococcus_bicirculans	Null data	2.68111289542516
s__Ruminococcus_bromii	Null data	4.8607498712235
s__Ruminococcus_callidus	Null data	2.30890476069799
s__Ruminococcus_champanellensis	Null data	1.9566783909734
s__Ruminococcus_flavefaciens	Null data	1.8822265232803
s__Ruminococcus_gnavus	Null data	1.78734323140761
s__Ruminococcus_lactaris	Null data	4.03439693473839
s__Ruminococcus_sp._210702_SL_1_03	Null data	1.74070513326602
s__Ruminococcus_sp._AF37_3AC	Null data	5.05928082896994
s__Ruminococcus_sp._BSD2780120874_150323_B10	Null data	4.37193305284233
s__Ruminococcus_sp._FMBCY1	Null data	4.34751810939479
s__Ruminococcus_sp._M6_2020	Null data	1.5742913674005
s__Ruminococcus_sp._Marseille_P6503	Null data	1.74522638790952
s__Ruminococcus_sp._NSJ_13	Null data	6.12310324024126
s__Ruminococcus_sp._NSJ_71	Null data	3.26784886335193
s__Ruminococcus_torques	Null data	2.49050693966266
s__Ruthenibacterium_lactatiformans	Null data	2.01591687450081
s__Schaalia_odontolytica	Null data	1.98336357237485
s__Senegalimassilia_anaerobia	Null data	4.27219116172081
s__Senegalimassilia_faecalis	Null data	2.67622829632853
s__Simiaoa_sunii	Null data	2.50916462020884
s__Slackia_isoflavoniconvertens	Null data	3.48169061679252
s__Solobacterium_moorei	Null data	4.62785113186111
s__Streptococcus_parasanguinis	Null data	1.76472427527015
s__Streptococcus_salivarius	Null data	1.6621733778834
s__Streptococcus_thermophilus	Null data	2.23979847437085
s__Subdoligranulum_sp._APC924_74	Null data	4.13843345264628
s__Suilimivivens_aceti	Null data	2.44301598111532
s__Terrisporobacter_glycolicus	Null data	2.73860595772889
s__Terrisporobacter_mayombei	Null data	4.33103837311873
s__Turicibacter_sanguinis	Null data	4.36400726239234
s__Veillonella_parvula	Null data	3.24039852882027
s__Vescimonas_coprocola	Null data	1.82531452945187
s__Vescimonas_fastidiosa	Null data	1.87075174128775
s__Waltera_intestinalis	Null data	2.6780694595561
s__Waltera_sp._CLA_AA_H273	Null data	3.37937983966971
s__Yeguia_hominis	Null data	1.86783179220636
s__Absicoccus_porci	Real data	718.171501183438
s__Adlercreutzia_equolifaciens	Real data	7074.7067547798
s__Agathobaculum_butyriciproducens	Real data	2176.40668859567
s__Agathobaculum_sp._M2	Real data	157.979407918556
s__Akkermansia_muciniphila	Real data	303.033775866358
s__Alistipes_communis	Real data	201.721751719633
s__Alistipes_ihumii	Real data	1035.4076007886
s__Alistipes_indistinctus	Real data	113.30020806982
s__Alistipes_onderdonkii	Real data	293.060442094106
s__Alistipes_putredinis	Real data	427.238865544613
s__Alistipes_shahii	Real data	306.319069145804
s__Allisonella_histaminiformans	Real data	96.3031353919174
s__Anaerobutyricum_hallii	Real data	1082.68403488532
s__Anaerobutyricum_soehngenii	Real data	6167.43235677701
s__Anaeromassilibacillus_sp._An200	Real data	71.9769582319564
s__Anaerostipes_hadrus	Real data	2480.99380797874
s__Anaerotardibacter_sp._CLA_AA_M13	Real data	757.037400728525
s__Anaerotignum_faecicola	Real data	501.62897567575
s__Anthropogastromicrobium_aceti	Real data	999.18089225444
s__Bacteriophage_sp.	Real data	1625.26636562277
s__Bacteroides_caccae	Real data	374.474361466491
s__Bacteroides_fragilis	Real data	1163.09379179142
s__Bacteroides_ovatus	Real data	804.107599895141
s__Bacteroides_stercoris	Real data	370.373332890727
s__Bacteroides_thetaiotaomicron	Real data	17101.5931046235
s__Bacteroides_uniformis	Real data	3973.13371544793
s__Bacteroides_xylanisolvens	Real data	4725.27169930179
s__Barnesiella_intestinihominis	Real data	819.705285577329
s__Bifidobacterium_adolescentis	Real data	399.307807361948
s__Bifidobacterium_catenulatum	Real data	1174.829848456
s__Bifidobacterium_longum	Real data	469.085066389372
s__Bifidobacterium_pseudocatenulatum	Real data	571.228436097122
s__Bilophila_wadsworthia	Real data	670.296597195165
s__Blautia_ammoniilytica	Real data	1090.2448834488
s__Blautia_faecicola	Real data	194.553873282101
s__Blautia_faecis	Real data	14033.7224102517
s__Blautia_glucerasea	Real data	400.097961556139
s__Blautia_hansenii	Real data	626.904392463428
s__Blautia_luti	Real data	255.353873686816
s__Blautia_massiliensis	Real data	444.023147582326
s__Blautia_obeum	Real data	1593.63135864757
s__Blautia_schinkii	Real data	1077.09438456375
s__Blautia_sp._BIOML_A1	Real data	284.317247367838
s__Blautia_sp._Marseille_P3087	Real data	2800.31747984133
s__Blautia_sp._MCC270	Real data	727.66983065166
s__Blautia_sp._MCC283	Real data	145.753260702548
s__Blautia_sp._MSJ_19	Real data	892.929381741039
s__Blautia_sp._MSJ_36	Real data	493.78992624511
s__Blautia_sp._MSK_20_85	Real data	245.301856571768
s__Blautia_sp._MSK20_18	Real data	286.852146636307
s__Blautia_sp._OF03_15BH	Real data	985.839649141954
s__Blautia_stercoris	Real data	824.216754214536
s__Blautia_wexlerae	Real data	166.899184963951
s__Brotolimicola_acetigignens	Real data	558.044968010373
s__Brotomerdimonas_butyrica	Real data	6444.33422455833
s__Butyricicoccus_faecihominis	Real data	3538.28480270027
s__Butyricicoccus_sp._BIOML_A1	Real data	719.36149449942
s__Butyrivibrio_crossotus	Real data	175.76055029769
s__Catenibacterium_mitsuokai	Real data	3925.22222404176
s__Clostridium_perfringens	Real data	366.109431053884
s__Clostridium_saudiense	Real data	615.517596141207
s__Clostridium_sp._1001270H_150608_G6	Real data	238.820945894523
s__Clostridium_sp._1001270J_160509_D11	Real data	584.29116193477
s__Clostridium_sp._1001271B_151109_B4	Real data	1997.24926819876
s__Clostridium_sp._AF15_31	Real data	1706.74558579822
s__Clostridium_sp._AF15_41	Real data	977.453925156412
s__Clostridium_sp._AF23_8	Real data	1062.02355401547
s__Clostridium_sp._AF36_4	Real data	143.616468099932
s__Clostridium_sp._AF37_5	Real data	149.303709958878
s__Clostridium_sp._AF43_10	Real data	557.969563132038
s__Clostridium_sp._AM42_36	Real data	495.123921889587
s__Clostridium_sp._AM49_4BH	Real data	1521.02549383025
s__Clostridium_sp._BIOML_A1	Real data	1353.47038785655
s__Clostridium_sp._D43t1_170807_D5	Real data	661.227459713948
s__Clostridium_sp._D43t1_170807_H7	Real data	3960.4634282127
s__Clostridium_sp._L2_50	Real data	229.82352102594
s__Clostridium_sp._OM08_29	Real data	445.836497572487
s__Clostridium_spiroforme	Real data	346.828270506564
s__Collinsella_aerofaciens	Real data	1130.93615425855
s__Collinsella_bouchesdurhonensis	Real data	397.861707388649
s__Collinsella_sp._AM34_10	Real data	1051.05583038051
s__Collinsella_sp._TF05_9AC	Real data	2619.877246087
s__Collinsella_tanakaei	Real data	672.418959481136
s__Coprococcus_catus	Real data	1020.05977534801
s__Coprococcus_comes	Real data	65.6761256333484
s__Coprococcus_eutactus	Real data	5387.51628386729
s__Cyclospora_cayetanensis	Real data	126.075542399212
s__Desulfovibrio_piger	Real data	3593.0829656602
s__Dialister_succinatiphilus	Real data	298.111080463736
s__Dorea_ammoniilytica	Real data	331.781190693151
s__Dorea_formicigenerans	Real data	189.646809826137
s__Dorea_longicatena	Real data	104.187799378916
s__Dorea_phocaeensis	Real data	492.356219264244
s__Dorea_sp._AF24_7LB	Real data	2437.45747537939
s__Dorea_sp._AF36_15AT	Real data	1004.38394363468
s__Dorea_sp._AM10_31	Real data	323.356223702633
s__Dorea_sp._AM13_35	Real data	720.630393179846
s__Dorea_sp._AM58_8	Real data	351.311017978561
s__Dorea_sp._NSJ_36	Real data	5177.66650301102
s__Dorea_sp._OM07_5	Real data	3324.91863646897
s__Dysosmobacter_sp._BX15	Real data	212.30268921252
s__Dysosmobacter_welbionis	Real data	80.1930000938045
s__Eggerthella_lenta	Real data	2291.58388294115
s__Ellagibacter_isourolithinifaciens	Real data	789.852570480359
s__Escherichia_coli	Real data	2998.62444096785
s__Eubacterium_coprostanoligenes	Real data	814.170137691134
s__Eubacterium_ramulus	Real data	1057.3469962053
s__Eubacterium_sp._AF22_8LB	Real data	311.362717751508
s__Eubacterium_ventriosum	Real data	1527.74898786348
s__Evtepia_gabavorous	Real data	345.339624119357
s__Extibacter_muris	Real data	209.814137758915
s__Faecalibacillus_faecis	Real data	2165.72069131083
s__Faecalibacillus_intestinalis	Real data	4004.07099276424
s__Faecalibacillus_sp._H12	Real data	210.146348227979
s__Faecalibacillus_sp._MSK20_93	Real data	455.138351528128
s__Faecalibacterium_prausnitzii	Real data	192.453304227661
s__Faecalibacterium_sp._AF27_11BH	Real data	1762.10186547777
s__Faecalibacterium_sp._CLA_AA_H233	Real data	383.4057072219
s__Faecalibacterium_sp._HTFF	Real data	60.5548336804329
s__Faecalibacterium_sp._I3389	Real data	2539.4718603287
