Taxa,species,go,mtb,plasma_mtb
Collinsella aerofaciens,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Blautia wexlerae,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Faecalibacterium prausnitzii,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Prevotella copri,Possibly not dysbiotic,Potentially due to the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic
Catenibacterium mitsuokai,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Dorea longicatena,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Mediterraneibacter faecis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Fusicatenibacter saccharivorans,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Holdemanella biformis,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Ruminococcus bromii,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Blautia obeum,Not explained by the number of sexual partners,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic
Extibacter muris,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Gemmiger formicilis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Not explained by the number of sexual partners
Holdemanella porci,Not explained by the number of sexual partners,Possibly not dysbiotic,Not explained by the number of sexual partners,Possibly not dysbiotic
Bifidobacterium adolescentis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Blautia massiliensis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Coprococcus comes,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Anaerobutyricum hallii,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Anaerostipes hadrus,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Dorea formicigenerans,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Roseburia faecis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Subdoligranulum sp. APC924 74,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Not explained by the number of sexual partners
Methanobrevibacter smithii,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Oliverpabstia intestinalis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Bifidobacterium longum,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Not explained by the number of sexual partners
Phocaeicola vulgatus,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Mogibacterium kristiansenii,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Cyclospora cayetanensis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Eubacterium coprostanoligenes,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Roseburia inulinivorans,Possibly not dysbiotic,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic
Ruminococcus torques,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Ruminococcus callidus,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Paratractidigestivibacter faecalis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Bifidobacterium catenulatum,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Blautia faecis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Blautia glucerasea,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Blautia luti,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Slackia isoflavoniconvertens,Possibly not dysbiotic,Possibly not dysbiotic,Not explained by the number of sexual partners,Not explained by the number of sexual partners
Romboutsia timonensis,Possibly not dysbiotic,Possibly not dysbiotic,Not explained by the number of sexual partners,Not explained by the number of sexual partners
Blautia faecicola,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Bacteroides uniformis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Potentially due to the number of sexual partners
Ruminococcus gnavus,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
