Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Faecalibacterium_sp._CLA_AA_H233	GO:0009166	nucleotide catabolic process	151	81	0.063	0.617	0.554	2.59697044313612e-06	Pre-HIV+	BP	The chemical reactions and pathways resulting in the breakdown of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates).
s__Bacteroides_xylanisolvens	GO:0015668	Type III site-specific deoxyribonuclease activity	146	75	-0.04	0.561	0.601	3.10379425272345e-06	Pre-HIV+	MF	Catalysis of the endonucleolytic cleavage of DNA to give double-stranded fragments with terminal 5'-phosphates. ATP hydrolysis is required. Cleavage is dependent on the presence of two copies of a specific recognition sequence in an inverse orientation in the DNA. Cleavage occurs at a specific distance from one of the recognition sites.
s__Dorea_ammoniilytica	GO:0015693	magnesium ion transport	150	80	-0.066	0.524	0.591	4.02232064944386e-06	Pre-HIV+	BP	The directed movement of magnesium (Mg) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Blautia_sp._MSJ_19	GO:0004412	homoserine dehydrogenase activity	150	82	0.238	-0.372	0.609	5.81358334472704e-06	Pre-HIV-	MF	Catalysis of the reaction: L-homoserine + NADP+ = L-aspartate-4-semialdehyde + NADPH + H+.
s__Dorea_sp._AM58_8	GO:0004106	chorismate mutase activity	151	82	-0.001	0.55	0.55	9.10053905656127e-06	Pre-HIV+	MF	Catalysis of the reaction: chorismate = prephenate.
s__Vescimonas_coprocola	GO:0004819	glutamine-tRNA ligase activity	150	82	0.117	0.62	0.503	1.36235073804336e-05	Pre-HIV+	MF	Catalysis of the reaction: ATP + L-glutamine + tRNA(Gln) = AMP + diphosphate + L-glutaminyl-tRNA(Gln).
s__Vescimonas_coprocola	GO:0006425	glutaminyl-tRNA aminoacylation	150	82	0.117	0.62	0.503	1.36235073804336e-05	Pre-HIV+	BP	The process of coupling glutamine to glutaminyl-tRNA, catalyzed by glutaminyl-tRNA synthetase. The glutaminyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a glutamine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification.
s__Oscillibacter_sp._MSJ_31	GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity	149	81	-0.217	0.37	0.587	1.42007577468295e-05	Pre-HIV+	MF	Catalysis of the reaction: ATP + oxaloacetate = ADP + CO(2) + H(+) + phosphoenolpyruvate.
s__Bacteroides_xylanisolvens	GO:0009279	cell outer membrane	142	71	0.163	0.667	0.504	1.52152806576211e-05	Pre-HIV+	CC	A lipid bilayer that forms the outermost membrane of the cell envelope; enriched in polysaccharide and protein; the outer leaflet of the membrane contains specific lipopolysaccharide structures.
s__Faecalibacterium_sp._CLA_AA_H233	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	151	81	-0.056	-0.578	0.522	1.6057344393916e-05	Pre-HIV-	CC	A protein complex that possesses glutamyl-tRNA(Gln) amidotransferase activity, and therefore creates Gln-tRNA by amidating Glu-tRNA; usually composed of 3 subunits: A, B, and C. Note that the C subunit may not be required in all organisms.
s__Faecalibacterium_sp._CLA_AA_H233	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	151	81	-0.056	-0.578	0.522	1.6057344393916e-05	Pre-HIV-	MF	Catalysis of the reaction: L-glutamine + glutamyl-tRNA(Gln) + ATP = L-glutamate + glutaminyl-tRNA(Gln) + phosphate + ADP.
s__Faecalibacillus_intestinalis	GO:0006106	fumarate metabolic process	148	81	-0.337	0.248	0.585	1.67966149351439e-05	Non-HIV-	BP	The chemical reactions and pathways involving fumarate, the anion of trans-1,2-ethenedicarboxylic acid, the diastereoisomer of maleate. It is a key intermediate in metabolism and is formed in the TCA cycle from succinate and converted into malate.
s__Dorea_sp._AF36_15AT	GO:0015693	magnesium ion transport	150	80	-0.029	0.519	0.548	1.74856118937416e-05	Pre-HIV+	BP	The directed movement of magnesium (Mg) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Faecalibacillus_intestinalis	GO:0045239	tricarboxylic acid cycle enzyme complex	148	81	-0.335	0.248	0.583	1.80749408529302e-05	Non-HIV-	CC	Any of the heteromeric enzymes that act in the TCA cycle.
s__Dorea_sp._AM58_8	GO:0004852	uroporphyrinogen-III synthase activity	151	82	0	-0.533	0.533	2.00235897320766e-05	Pre-HIV-	MF	Catalysis of the reaction: hydroxymethylbilane = H(2)O + uroporphyrinogen III.
s__Anaerobutyricum_soehngenii	GO:0016539	intein-mediated protein splicing	143	79	-0.133	0.441	0.574	2.0055830062482e-05	Pre-HIV+	BP	The removal of an internal amino acid sequence (an intein) from a protein during protein maturation; the excision of inteins is precise and the N- and C-terminal exteins are joined by a normal peptide bond. Protein splicing involves 4 nucleophilic displacements by the 3 conserved splice junction residues.
s__Blautia_faecis	GO:0009001	serine O-acetyltransferase activity	151	82	-0.342	0.233	0.575	2.03649967907005e-05	Non-HIV-	MF	Catalysis of the reaction: L-serine + acetyl-CoA = O-acetyl-L-serine + CoA.
s__Blautia_faecis	GO:0005507	copper ion binding	151	82	-0.054	0.492	0.546	2.11962884952843e-05	Pre-HIV+	MF	Interacting selectively and non-covalently with copper (Cu) ions.
s__Roseburia_inulinivorans	GO:0000160	phosphorelay signal transduction system	150	82	0.16	0.637	0.477	2.18193138725731e-05	Pre-HIV+	BP	A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins.
s__Faecalibacterium_sp._CLA_AA_H233	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	151	81	-0.141	-0.625	0.484	2.3444062764888e-05	Pre-HIV-	MF	Catalysis of the transfer of the amide nitrogen of glutamine to a variety of substrates. GATases catalyze two separate reactions at two active sites, which are located either on a single polypeptide chain or on different subunits. In the glutaminase reaction, glutamine is hydrolyzed to glutamate and ammonia, which is added to an acceptor substrate in the synthase reaction.
s__Prevotella_stercorea	GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	133	73	-0.078	-0.608	0.53	2.34622591965827e-05	Pre-HIV-	MF	Catalysis of the reaction: 2-(formamido)-N(1)-(5-phospho-D-ribosyl)acetamidine + ATP = 5-amino-1-(5-phospho-D-ribosyl)imidazole + ADP + 2 H(+) + phosphate.
s__Catenibacterium_mitsuokai	GO:0005351	carbohydrate:proton symporter activity	139	79	0.006	0.545	0.539	2.38442267552763e-05	Pre-HIV+	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: sugar(out) + H+(out) = sugar(in) + H+(in).
s__Catenibacterium_mitsuokai	GO:0006807	nitrogen compound metabolic process	139	79	-0.206	0.374	0.58	2.63016851389519e-05	Pre-HIV+	BP	The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.
s__Phocea_massiliensis	GO:0071705	nitrogen compound transport	149	82	-0.258	-0.689	0.432	2.98087322003759e-05	Pre-HIV-	BP	The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Simiaoa_sunii	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	148	81	0.037	-0.498	0.536	3.14743167189047e-05	Pre-HIV-	MF	Catalysis of the reaction: 2 ATP + L-glutamine + CO2 + H2O = 2 ADP + phosphate + glutamate + carbamoyl phosphate.
s__Ruminococcus_flavefaciens	GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity	149	82	-0.237	0.326	0.563	3.31206094479342e-05	Pre-HIV+	MF	Catalysis of the reaction: ATP + oxaloacetate = ADP + CO(2) + H(+) + phosphoenolpyruvate.
s__Negativibacillus_massiliensis	GO:0070395	lipoteichoic acid biosynthetic process	128	74	0.216	-0.377	0.593	3.37143427577846e-05	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of lipoteichoic acid, which is a major component of the cell wall of gram-positive bacteria and typically consists of a chain of glycerol-phosphate repeating units linked to a glycolipid anchor.
s__Blautia_obeum	GO:0006465	signal peptide processing	151	82	-0.1	-0.588	0.488	3.77248984873013e-05	Pre-HIV-	BP	The proteolytic removal of a signal peptide from a protein during or after transport to a specific location in the cell.
s__Dorea_ammoniilytica	GO:0004177	aminopeptidase activity	150	80	0.173	0.638	0.464	3.82278813981785e-05	Pre-HIV+	MF	Catalysis of the hydrolysis of N-terminal amino acid residues from in a polypeptide chain.
s__Phascolarctobacterium_succinatutens	GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	122	69	0.041	-0.531	0.571	3.83913261194913e-05	Pre-HIV-	MF	Catalysis of the reaction: S-adenosyl-L-methionine + tRNA = S-adenosyl-L-homocysteine + tRNA containing N1-methyladenine.
s__Prevotella_copri	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity	141	80	-0.241	0.324	0.566	4.20456447109974e-05	Pre-HIV+	MF	Catalysis of the reaction: GDP-L-fucose + beta-D-galactosyl-R = GDP + alpha-L-fucosyl-(1,2)-beta-D-galactosyl-R.
s__Dorea_sp._AF36_15AT	GO:0005615	extracellular space	150	80	-0.212	-0.659	0.447	4.20579919162556e-05	Pre-HIV-	CC	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.
s__Roseburia_inulinivorans	GO:0007165	signal transduction	150	82	0.21	0.654	0.444	4.43328049264391e-05	Pre-HIV+	BP	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.
s__Ruminococcus_flavefaciens	GO:0035596	methylthiotransferase activity	149	82	0.315	0.712	0.397	5.27317816283457e-05	Pre-HIV+	MF	Catalysis of the addition of a methylthioether group (-SCH3) to a nucleic acid or protein acceptor.
s__Oscillibacter_sp._ER4	GO:0009113	purine nucleobase biosynthetic process	147	82	0.044	-0.478	0.522	5.61512644075002e-05	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of purine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, which include adenine and guanine.
s__Ruminococcus_callidus	GO:0004595	pantetheine-phosphate adenylyltransferase activity	148	82	0.376	-0.166	0.542	5.65690949514419e-05	Non-HIV+	MF	Catalysis of the reaction: ATP + pantetheine 4'-phosphate = 3'-dephospho-CoA + diphosphate.
s__Blautia_ammoniilytica	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	150	82	-0.089	0.439	0.528	5.921306124268e-05	Pre-HIV+	MF	Catalysis of the transfer of the amide nitrogen of glutamine to a variety of substrates. GATases catalyze two separate reactions at two active sites, which are located either on a single polypeptide chain or on different subunits. In the glutaminase reaction, glutamine is hydrolyzed to glutamate and ammonia, which is added to an acceptor substrate in the synthase reaction.
s__Roseburia_inulinivorans	GO:0006400	tRNA modification	150	82	-0.09	-0.572	0.482	6.00198763360815e-05	Pre-HIV-	BP	The covalent alteration of one or more nucleotides within a tRNA molecule to produce a tRNA molecule with a sequence that differs from that coded genetically.
s__Dorea_sp._AF36_15AT	GO:0004106	chorismate mutase activity	150	80	0.03	0.532	0.502	6.29023259330896e-05	Pre-HIV+	MF	Catalysis of the reaction: chorismate = prephenate.
