Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Absicoccus_porci,data2 - HMDB0000859,94,65,-0.060752525364166,-0.385636578166433,0.324884052802267,0.0357192190849538,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0028695,94,65,-0.233006873963366,-0.30013217590606,0.0671253019426941,0.660636613418246,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0030651,94,65,-0.121319175107637,-0.386033256379873,0.264714081272236,0.08328175209777,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0034021,94,65,0.00137805743996743,-0.379349062932999,0.380727120372966,0.0149689095705074,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0038340,94,65,-0.0325331869631455,-0.317844279232126,0.28531109226898,0.0715862587594416,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0059622,94,65,-0.0759626567392033,-0.31449810103389,0.238535444294687,0.129869773152156,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0248577,94,65,-0.14051522339633,-0.328128828278701,0.18761360488237,0.226229304358358,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0256000,94,65,-0.0726406890067773,-0.31776104351927,0.245120354512492,0.119490688833484,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0301716,94,65,-0.0590092667794927,-0.31247800642959,0.253468739650098,0.108618122365368,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0302539,94,65,-0.0952915259997461,-0.310574549345918,0.215283023346172,0.170698086976067,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0006236,149,82,-0.300768863745981,-0.114281426482041,0.18648743726394,0.161417546011105,g1-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0035249,149,82,-0.0309633510851541,0.301208662093683,0.332172013178837,0.0143906249958321,g2+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0035904,149,82,-0.16836777618869,-0.364140658716528,0.195772882527837,0.129653147705923,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0012517,151,82,-0.200583857090431,-0.324469770138176,0.123885913047745,0.338756265250112,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0030085,151,82,-0.0185142312629277,-0.361879034309556,0.343364803046628,0.00966875859602156,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0031953,151,82,-0.124723839054205,-0.33391338709999,0.209189548045785,0.111345923840678,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0032549,151,82,0.0089147544542037,-0.341299491902054,0.350214246356258,0.00890221584610229,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0034145,151,82,0.0109125786376218,0.30460951183724,0.293696933199618,0.0292981109006354,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0038365,151,82,0.0531117947554196,-0.316781906357332,0.369893701112752,0.00621910899497502,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0039860,151,82,-0.0450137483736368,0.321069328372612,0.366083076746248,0.00668795679110445,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0240522,151,82,0.0128634065213004,0.301822719517609,0.288959312996309,0.0320790731267828,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0242057,151,82,-0.0998573486535161,-0.302919353689322,0.203062005035806,0.127170349601167,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0257302,151,82,0.0441982407840246,0.303036886558279,0.258838645774254,0.0538639391423164,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0000230,143,79,0.0346459378124642,0.311594552884233,0.276948615071769,0.0435002789926877,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0000857,143,79,0.205615640384553,0.300992381660045,0.0953767412754913,0.473968785493205,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0002833,143,79,-0.175503267713389,-0.370257163213464,0.194753895500075,0.13791977550337,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0011505,143,79,0.163587366433764,0.344021020919843,0.180433654486079,0.174270212179951,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0030128,143,79,-0.0631385815842695,-0.310374508839912,0.247235927255642,0.0704624465103219,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0040370,143,79,-0.0156594862117824,-0.340124890004899,0.324465403793117,0.0174885427807225,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0242060,143,79,-0.00761178587830417,-0.335394414004564,0.327782628126259,0.0166073648695215,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0242394,143,79,-0.450435908155833,-0.303947976030546,0.146487932125288,0.229033374339588,g1-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0242401,143,79,-0.387769343469051,-0.286096852896394,0.101672490572657,0.420151726369434,g1-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0246561,143,79,0.162649155059896,0.321556342215948,0.158907187156052,0.234810612892395,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0249586,143,79,0.0751136808025625,0.339057830655764,0.263944149853201,0.05123069453454,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0257302,143,79,-0.315810812789122,-0.0525064116400327,0.263304401149089,0.0540917982136597,g1-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0301744,143,79,-0.0999735678379771,-0.306064942760733,0.206091374922756,0.129717476962254,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0301791,143,79,-0.339479864904149,-0.236156152033467,0.103323712870682,0.428522295377488,g1-
data1 - s__Akkermansia_muciniphila,data2 - HMDB0000010,129,65,-0.170833335459649,-0.317769403797309,0.14693606833766,0.312627924280942,g2-
data1 - s__Akkermansia_muciniphila,data2 - HMDB0000511,129,65,0.0687657272347367,0.312816099234898,0.244050372000162,0.100503385304896,g2+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0000638,129,65,0.111160291622385,0.345757226266637,0.234596934644251,0.10847899633836,g2+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0000666,129,65,0.104492677174288,0.319540832656619,0.21504815548233,0.144699240810414,g2+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0000857,129,65,0.374513195671621,0.252340351229686,0.122172844441935,0.381531092684951,g1+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0001844,129,65,-0.133749049234584,-0.301197079284967,0.167448030050383,0.255816732389,g2-
data1 - s__Akkermansia_muciniphila,data2 - HMDB0004586,129,65,-0.0271075125530185,0.322309230138894,0.349416742691913,0.0198465653913673,g2+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0005765,129,65,0.180427807288233,0.311424682735675,0.130996875447442,0.367846466923766,g2+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0006832,129,65,0.0263834083787279,0.325002284080082,0.298618875701354,0.0450986674968303,g2+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0249349,129,65,-0.30591610124739,-0.0902402701297458,0.215675831117644,0.145969327863765,g1-
