Taxa,name,cooccurrence_Non-HIV,cooccurrence_Pre-HIV,cor_Non-HIV,cor_Pre-HIV,diff_cor,p,sign
s__Holdemanella_biformis,s__Yeguia_hominis,148,80,-0.069,-0.615,0.547,4.21905745295881e-06,Pre-HIV-
s__Blautia_faecis,s__Brotomerdimonas_butyrica,149,81,-0.398,0.194,0.592,1.07466611114493e-05,Non-HIV-
s__Faecalibacterium_sp._I3389,s__Gemmiger_formicilis,150,81,-0.06,0.481,0.541,3.05126614932316e-05,Pre-HIV+
s__Oscillibacter_sp._MCC667,s__Ruminococcus_sp._M6_2020,150,81,0.334,0.731,0.396,3.20904733503991e-05,Pre-HIV+
s__Holdemanella_biformis,s__Oscillibacter_sp._ER4,147,80,-0.082,-0.58,0.498,4.02804036072624e-05,Pre-HIV-
s__Butyricicoccus_faecihominis,s__Roseburia_sp._BX1005,149,81,-0.08,0.456,0.536,4.52979823974964e-05,Pre-HIV+
s__Anaerobutyricum_soehngenii,s__Eggerthella_lenta,151,82,0.25,-0.301,0.55,4.98308109904144e-05,Pre-HIV-
s__Dorea_sp._OM07_5,s__Mogibacterium_kristiansenii,137,76,-0.05,0.488,0.537,6.1598859294909e-05,Pre-HIV+
s__Holdemanella_porci,s__Oscillibacter_sp._ER4,138,80,-0.056,-0.551,0.495,7.9531340957395e-05,Pre-HIV-
s__Holdemanella_biformis,s__Vescimonas_coprocola,150,80,-0.153,-0.609,0.456,8.33264251434152e-05,Pre-HIV-
s__Dorea_sp._NSJ_36,s__Senegalimassilia_anaerobia,138,75,-0.09,0.444,0.534,0.000100090466548242,Pre-HIV+
s__Holdemanella_biformis,s__Oscillibacter_sp._MSJ_31,149,80,-0.161,-0.605,0.444,0.000130586309308844,Pre-HIV-
s__Oribacterium_sp._oral_taxon_102,s__Senegalimassilia_faecalis,135,79,0.34,-0.184,0.524,0.000173822834208748,Non-HIV+
s__Blautia_faecis,s__Holdemanella_biformis,150,80,-0.172,0.332,0.504,0.000225454503992362,Pre-HIV+
s__Oscillibacter_sp._MCC667,s__Simiaoa_sunii,147,80,0.187,0.61,0.423,0.00023071216137005,Pre-HIV+
s__Adlercreutzia_equolifaciens,s__Collinsella_aerofaciens,149,82,-0.078,0.408,0.486,0.000251280437715051,Pre-HIV+
s__Blautia_sp._Marseille_P3087,s__Intestinimonas_butyriciproducens,150,82,-0.058,-0.514,0.456,0.000257865208398211,Pre-HIV-
s__Coprococcus_eutactus,s__Fusicatenibacter_saccharivorans,151,82,0.168,-0.326,0.494,0.000267794277126532,Pre-HIV-
s__Blautia_faecis,s__Faecalibacterium_sp._AF27_11BH,148,80,0.305,-0.194,0.499,0.000288414659024738,Non-HIV+
s__Holdemanella_biformis,s__Intestinimonas_sp._MSJ_38,149,80,-0.046,-0.503,0.457,0.000315102338969142,Pre-HIV-
s__Blautia_faecis,s__Lentihominibacter_faecis,150,81,-0.348,0.134,0.482,0.000379858029479374,Non-HIV-
s__Coprococcus_eutactus,s__Ruminococcus_sp._210702_SL_1_03,141,80,-0.003,0.46,0.464,0.000424962734166812,Pre-HIV+
s__Dorea_sp._AF24_7LB,s__Mogibacterium_kristiansenii,146,77,0.035,0.491,0.456,0.000448866283033533,Pre-HIV+
s__Bacteroides_thetaiotaomicron,s__Phascolarctobacterium_succinatutens,121,69,-0.056,0.448,0.505,0.000453658611260455,Pre-HIV+
s__Blautia_obeum,s__Mogibacterium_kristiansenii,147,80,-0.323,0.154,0.477,0.000509307452754904,Non-HIV-
s__Blautia_faecis,s__Mogibacterium_kristiansenii,147,80,-0.495,-0.052,0.443,0.000510212125710119,Non-HIV-
s__Holdemanella_sp._MSK_7_32,s__Ruminococcus_bicirculans,135,79,-0.067,-0.513,0.447,0.000511129288833345,Pre-HIV-
s__Holdemanella_biformis,s__Prevotella_stercorea,133,72,0.196,-0.305,0.5,0.000576327981727909,Pre-HIV-
s__Bifidobacterium_longum,s__Eggerthella_lenta,141,79,0.023,0.473,0.45,0.000590717471293356,Pre-HIV+
s__Holdemanella_biformis,s__Pseudoflavonifractor_sp._MSJ_30,150,80,-0.175,-0.577,0.402,0.000632405488689258,Pre-HIV-
s__Oscillibacter_sp._ER4,s__Simiaoa_sunii,145,81,0.149,0.557,0.408,0.000690443813776476,Pre-HIV+
s__Catenibacterium_mitsuokai,s__Ruminococcus_sp._210702_SL_1_03,132,78,0.056,-0.408,0.464,0.000745995626393769,Pre-HIV-
s__Holdemanella_biformis,s__Vescimonas_fastidiosa,146,80,-0.162,-0.564,0.402,0.000767375684075589,Pre-HIV-
s__Catenibacterium_mitsuokai,s__Vescimonas_coprocola,139,79,0.096,-0.366,0.462,0.000803507361489819,Pre-HIV-
s__Dorea_sp._AF24_7LB,s__Senegalimassilia_anaerobia,144,78,-0.065,0.392,0.456,0.000814515678762007,Pre-HIV+
s__Catenibacterium_mitsuokai,s__Vescimonas_fastidiosa,137,79,0.162,-0.307,0.469,0.000816176176226868,Pre-HIV-
s__Roseburia_porci,s__Ruminococcus_gnavus,150,81,0.123,-0.332,0.455,0.000822884592161621,Pre-HIV-
s__Bacteroides_fragilis,s__Intestinimonas_sp._MSJ_38,149,80,0.05,0.478,0.428,0.000840715008172399,Pre-HIV+
s__Anaerobutyricum_hallii,s__Catenibacterium_mitsuokai,139,79,-0.059,0.392,0.451,0.000946904159020434,Pre-HIV+
s__Bacteroides_thetaiotaomicron,s__Prevotella_stercorea,132,71,0.008,0.463,0.455,0.000994331213439725,Pre-HIV+
s__Brotomerdimonas_butyrica,s__Roseburia_porci,148,81,-0.378,0.063,0.441,0.00102121452330262,Non-HIV-
s__Agathobaculum_butyriciproducens,s__Clostridium_sp._AF23_8,119,65,0.149,-0.346,0.494,0.00117886763203479,Pre-HIV-
s__Clostridium_sp._D43t1_170807_H7,s__Eubacterium_ramulus,116,65,-0.402,0.085,0.487,0.00120557130483934,Non-HIV-
s__Bacteroides_fragilis,s__Klebsiella_pneumoniae,151,79,-0.025,0.403,0.429,0.00133058083176607,Pre-HIV+
s__Dorea_sp._OM07_5,s__Senegalimassilia_anaerobia,135,77,0.07,0.49,0.419,0.00136168939229031,Pre-HIV+
s__Blautia_sp._Marseille_P3087,s__Oscillibacter_sp._ER4,147,82,0.091,-0.341,0.431,0.00144897802801358,Pre-HIV-
s__Blautia_obeum,s__Simiaoa_sunii,148,81,-0.17,-0.55,0.38,0.00145138210704387,Pre-HIV-
s__Adlercreutzia_equolifaciens,s__Gemmiger_formicilis,149,82,0.133,-0.301,0.434,0.00145202534191169,Pre-HIV-
s__Bacteroides_thetaiotaomicron,s__Prevotella_sp._P5_64,80,53,0.041,0.551,0.509,0.00146639777923108,Pre-HIV+
s__Oscillibacter_sp._MCC667,s__Prevotella_copri,141,79,0.123,0.521,0.398,0.00147679313070226,Pre-HIV+
s__Blautia_faecis,s__Catenibacterium_mitsuokai,139,79,-0.303,0.14,0.443,0.00154511575433691,Non-HIV-
s__Dorea_sp._AM58_8,s__Dorea_sp._NSJ_36,143,76,0.126,0.525,0.399,0.00158067789657612,Pre-HIV+
s__Senegalimassilia_anaerobia,s__Waltera_sp._CLA_AA_H273,141,79,-0.058,-0.468,0.411,0.00162208787112883,Pre-HIV-
s__Holdemanella_biformis,s__Ruminococcus_flavefaciens,148,80,-0.114,-0.507,0.392,0.00166149553595241,Pre-HIV-
s__Clostridium_sp._AM49_4BH,s__Clostridium_sp._BIOML_A1,131,72,-0.092,0.36,0.452,0.00170114604871041,Pre-HIV+
s__Collinsella_sp._TF05_9AC,s__Oscillibacter_sp._ER4,133,76,-0.074,-0.486,0.412,0.00177706363642782,Pre-HIV-
s__Holdemanella_sp._MSK_7_32,s__Oscillibacter_sp._ER4,135,81,-0.088,-0.489,0.4,0.00179169383324584,Pre-HIV-
s__Collinsella_sp._TF05_9AC,s__Phascolarctobacterium_succinatutens,114,67,0.017,-0.439,0.457,0.00184474173407834,Pre-HIV-
s__Oscillibacter_sp._MCC667,s__Roseburia_porci,149,81,-0.125,0.3,0.425,0.00190013810696987,Pre-HIV+
s__Dorea_sp._AF24_7LB,s__Senegalimassilia_faecalis,138,77,-0.015,0.407,0.422,0.00200754372719203,Pre-HIV+
s__Phocaeicola_vulgatus,s__Prevotella_sp._Marseille_P4119,114,65,-0.096,0.373,0.469,0.00205327098217456,Pre-HIV+
s__Phascolarctobacterium_succinatutens,s__Phocaeicola_vulgatus,122,69,-0.071,0.381,0.452,0.00207297215645319,Pre-HIV+
s__Mogibacterium_kristiansenii,s__Roseburia_sp._BX1005,147,80,-0.11,-0.495,0.385,0.00221733169147575,Pre-HIV-
s__Blautia_sp._Marseille_P3087,s__Intestinimonas_sp._MSJ_38,149,82,0.105,-0.311,0.416,0.00222866431143709,Pre-HIV-
s__Clostridium_sp._D43t1_170807_H7,s__Faecalibacillus_faecis,109,65,-0.136,0.338,0.474,0.00225077213520741,Pre-HIV+
s__Escherichia_coli,s__Ruminococcus_sp._AF37_3AC,111,65,-0.158,0.314,0.472,0.00238454177760827,Pre-HIV+
s__Clostridium_sp._BIOML_A1,s__Holdemanella_porci,129,71,0.018,-0.413,0.431,0.00238558149135004,Pre-HIV-
s__Phocaeicola_vulgatus,s__Prevotella_stercorea,133,73,-0.09,0.345,0.435,0.00240271740022657,Pre-HIV+
s__Gallintestinimicrobium_propionicum,s__Ruminococcus_sp._M6_2020,150,82,-0.401,-0.003,0.398,0.00248060067432987,Non-HIV-
s__Bacteroides_ovatus,s__Phascolarctobacterium_succinatutens,120,67,0.013,0.448,0.435,0.00256424197723271,Pre-HIV+
s__Dorea_sp._AM13_35,s__Mogibacterium_kristiansenii,128,70,0.007,0.433,0.425,0.00260817976452299,Pre-HIV+
s__Faecalibacillus_intestinalis,s__Olsenella_uli,140,79,-0.307,0.111,0.419,0.0026878555877845,Non-HIV-
s__Fusicatenibacter_saccharivorans,s__Gallintestinimicrobium_propionicum,150,82,0.372,-0.027,0.4,0.00270875713346963,Non-HIV+
s__Blautia_obeum,s__Eggerthella_lenta,151,82,0.257,0.591,0.334,0.00281767768820052,Pre-HIV+
s__Holdemanella_biformis,s__Intestinimonas_butyriciproducens,150,80,-0.25,-0.589,0.338,0.00283266625426992,Pre-HIV-
s__Coprococcus_eutactus,s__Simiaoa_sunii,148,81,0.029,0.42,0.391,0.00283664341555223,Pre-HIV+
s__Mogibacterium_kristiansenii,s__Paratractidigestivibacter_faecalis,131,74,0.516,0.128,0.388,0.00283666217880429,Non-HIV+
s__Holdemanella_porci,s__Prevotella_copri,134,78,0.099,-0.32,0.419,0.00293537887993178,Pre-HIV-
s__Adlercreutzia_equolifaciens,s__Escherichia_coli,148,80,0.091,-0.316,0.407,0.00301878505927955,Pre-HIV-
s__Intestinimonas_massiliensis,s__Oscillibacter_sp._ER4,147,82,0.306,0.623,0.318,0.00306863343748254,Pre-HIV+
s__Bacteriophage_sp.,s__Subdoligranulum_sp._APC924_74,121,64,-0.01,-0.444,0.434,0.00307584434137853,Pre-HIV-
s__Brotomerdimonas_butyrica,s__Eubacterium_ventriosum,149,81,-0.359,0.039,0.397,0.00316028176941319,Non-HIV-
s__Holdemanella_sp._MSK_7_32,s__Oscillibacter_sp._MSJ_31,136,81,-0.254,-0.592,0.338,0.00318819666939585,Pre-HIV-
s__Intestinimonas_butyriciproducens,s__Phascolarctobacterium_faecium,117,61,-0.079,0.377,0.456,0.00320120242984845,Pre-HIV+
s__Simiaoa_sunii,s__Vescimonas_coprocola,147,81,0.039,0.424,0.385,0.00329617722192466,Pre-HIV+
s__Bacteroides_thetaiotaomicron,s__Intestinimonas_sp._MSJ_38,147,77,-0.017,0.382,0.399,0.00333803201992278,Pre-HIV+
s__Prevotellamassilia_timonensis,s__Ruminococcus_gnavus,121,67,-0.346,0.094,0.44,0.00334018293251903,Non-HIV-
s__Dorea_sp._NSJ_36,s__Mogibacterium_kristiansenii,140,74,-0.054,0.358,0.412,0.00339814685162021,Pre-HIV+
s__Negativibacillus_massiliensis,s__Turicibacter_sanguinis,104,57,0.008,-0.45,0.459,0.00341825553711761,Pre-HIV-
s__Phocaeicola_vulgatus,s__Prevotella_sp._P5_64,80,53,-0.077,0.422,0.499,0.00368956860369929,Pre-HIV+
s__Dysosmobacter_sp._BX15,s__Holdemanella_sp._MSK_7_32,134,80,-0.268,-0.599,0.331,0.00370225493462728,Pre-HIV-
s__Adlercreutzia_equolifaciens,s__Anaerobutyricum_soehngenii,149,82,0.087,-0.308,0.395,0.00372393062151821,Pre-HIV-
s__Roseburia_inulinivorans,s__Waltera_sp._CLA_AA_H273,146,80,0.094,0.464,0.37,0.00385474920139295,Pre-HIV+
s__Holdemanella_sp._MSK_7_32,s__Ruminococcus_callidus,135,81,0.087,-0.312,0.399,0.00406715989826867,Pre-HIV-
s__Dorea_ammoniilytica,s__Phocaeicola_vulgatus,149,80,-0.001,-0.384,0.383,0.00414756585469145,Pre-HIV-
s__Ruminococcus_callidus,s__Ruminococcus_sp._Marseille_P6503,139,80,-0.056,0.339,0.395,0.0041584470982754,Pre-HIV+
s__Anaerotardibacter_sp._CLA_AA_M13,s__Slackia_isoflavoniconvertens,140,80,0.251,0.581,0.33,0.0042160646103333,Pre-HIV+
s__Bacteroides_xylanisolvens,s__Prevotella_sp._Marseille_P4119,112,63,0.25,0.613,0.363,0.00433866973181285,Pre-HIV+
s__Blautia_sp._OF03_15BH,s__Prevotellamassilia_timonensis,121,67,0.089,-0.338,0.427,0.00448347096576796,Pre-HIV-
s__Coprococcus_eutactus,s__Intestinimonas_sp._MSJ_38,149,82,0.03,0.403,0.373,0.00449579880837958,Pre-HIV+
s__Dorea_sp._AM10_31,s__Klebsiella_pneumoniae,141,80,0.088,-0.306,0.394,0.00449672184818528,Pre-HIV-
s__Negativibacillus_massiliensis,s__Terrisporobacter_glycolicus,99,61,0.133,-0.327,0.459,0.00449938069203326,Pre-HIV-
s__Coprococcus_eutactus,s__Mitsuokella_jalaludinii,131,73,-0.099,0.311,0.411,0.00456918892668146,Pre-HIV+
s__Mogibacterium_kristiansenii,s__Olsenella_uli,140,78,0.549,0.206,0.343,0.00457937604946879,Non-HIV+
s__Alistipes_ihumii,s__Anaerobutyricum_hallii,108,61,-0.088,-0.502,0.414,0.00461189158144037,Pre-HIV-
s__Mediterraneibacter_butyricigenes,s__Phocaeicola_vulgatus,150,81,0.01,-0.368,0.378,0.00463769724832108,Pre-HIV-
s__Senegalimassilia_anaerobia,s__Waltera_intestinalis,142,76,0.033,-0.359,0.392,0.00470548751221855,Pre-HIV-
s__Bacteroides_uniformis,s__Coprococcus_catus,148,79,0.049,-0.338,0.386,0.00472043592962179,Pre-HIV-
s__Brotomerdimonas_butyrica,s__Prevotella_hominis,114,69,0.052,-0.368,0.42,0.00476736035357406,Pre-HIV-
s__Blautia_schinkii,s__Intestinimonas_butyriciproducens,151,82,-0.118,-0.47,0.352,0.00490547392596508,Pre-HIV-
s__Simiaoa_sunii,s__Vescimonas_fastidiosa,144,81,0.159,0.505,0.346,0.00507318326783435,Pre-HIV+
s__Catenibacterium_mitsuokai,s__Ruminococcus_flavefaciens,138,79,0.088,-0.303,0.391,0.00513955128815846,Pre-HIV-
s__Bacteroides_xylanisolvens,s__Blautia_schinkii,146,75,0.075,-0.318,0.392,0.00521209237631104,Pre-HIV-
s__Coprococcus_catus,s__Romboutsia_timonensis,132,73,-0.074,0.327,0.401,0.00527377204022206,Pre-HIV+
s__Bacteroides_fragilis,s__Mediterraneibacter_faecis,151,80,-0.163,-0.505,0.342,0.00530067222930675,Pre-HIV-
s__Blautia_obeum,s__Waltera_intestinalis,146,77,-0.14,-0.493,0.353,0.00537129945764381,Pre-HIV-
s__Blautia_sp._Marseille_P3087,s__Vescimonas_fastidiosa,146,82,0.046,-0.33,0.377,0.00543316373599123,Pre-HIV-
s__Alistipes_putredinis,s__Mogibacterium_kristiansenii,124,59,-0.445,-0.029,0.416,0.00544200679216789,Non-HIV-
s__Catenibacterium_mitsuokai,s__Oscillibacter_sp._MCC667,139,79,-0.003,-0.381,0.378,0.00547170403984709,Pre-HIV-
s__Collinsella_sp._AM34_10,s__Veillonella_parvula,132,76,0.09,-0.306,0.396,0.00548441881288086,Pre-HIV-
s__Catenibacterium_mitsuokai,s__Faecalibacillus_intestinalis,136,78,-0.354,0.031,0.385,0.00549002606065763,Non-HIV-
s__Holdemanella_porci,s__Ruminococcus_flavefaciens,139,80,-0.149,-0.497,0.348,0.005543193215922,Pre-HIV-
s__Holdemanella_sp._MSK_7_32,s__Mitsuokella_jalaludinii,120,73,0.028,-0.372,0.4,0.00556634646923948,Pre-HIV-
s__Holdemanella_porci,s__Oscillibacter_sp._MSJ_31,139,80,-0.265,-0.582,0.318,0.00565673637249975,Pre-HIV-
s__Coprococcus_eutactus,s__Vescimonas_fastidiosa,146,82,-0.024,0.349,0.372,0.00567197307099954,Pre-HIV+
s__Blautia_sp._Marseille_P3087,s__Vescimonas_coprocola,150,82,-0.01,-0.377,0.366,0.0057001781370134,Pre-HIV-
s__Blautia_sp._MCC270,s__Phocea_massiliensis,144,82,-0.105,-0.457,0.352,0.00575774926845618,Pre-HIV-
s__Brotolimicola_acetigignens,s__Senegalimassilia_anaerobia,143,77,-0.046,-0.416,0.37,0.0057927972879972,Pre-HIV-
s__Anaerostipes_hadrus,s__Eubacterium_ramulus,151,82,0.308,-0.065,0.373,0.00593144273635215,Non-HIV+
s__Anthropogastromicrobium_aceti,s__Dorea_sp._AF24_7LB,148,78,-0.054,-0.418,0.364,0.00594682878073138,Pre-HIV-
s__Parabacteroides_merdae,s__Prevotella_sp._Marseille_P4119,112,64,-0.095,0.331,0.426,0.00598367725206761,Pre-HIV+
s__Brotomerdimonas_butyrica,s__Waltera_sp._CLA_AA_H273,145,80,-0.093,-0.448,0.355,0.00603752123707468,Pre-HIV-
s__Blautia_obeum,s__Collinsella_aerofaciens,151,82,0.239,0.556,0.316,0.00605770303493802,Pre-HIV+
s__Dysosmobacter_sp._BX15,s__Holdemanella_porci,137,79,-0.262,-0.579,0.318,0.00612889652349713,Pre-HIV-
s__Bacteroides_fragilis,s__Senegalimassilia_faecalis,139,80,0.021,-0.354,0.375,0.00614145201434191,Pre-HIV-
s__Dorea_sp._AF36_15AT,s__Phascolarctobacterium_sp._Marseille_Q4147,119,68,-0.015,-0.413,0.398,0.00615538289279294,Pre-HIV-
s__Blautia_stercoris,s__Ruminococcus_sp._M6_2020,150,82,-0.313,0.057,0.37,0.00626715916814158,Non-HIV-
s__Blautia_faecis,s__Faecalibacterium_sp._Marseille_Q4896,149,76,0.362,-0.013,0.374,0.00631883005602818,Non-HIV+
s__Holdemanella_sp._MSK_7_32,s__Oliverpabstia_intestinalis,137,81,0.165,0.504,0.34,0.00632113275368651,Pre-HIV+
s__Pseudoflavonifractor_sp._MSJ_30,s__Simiaoa_sunii,147,81,0.083,0.436,0.352,0.00642844100446638,Pre-HIV+
s__Anaerotardibacter_sp._CLA_AA_M13,s__Dorea_ammoniilytica,140,79,0.048,0.411,0.363,0.00658661339408328,Pre-HIV+
s__Oscillibacter_sp._MCC667,s__Waltera_intestinalis,146,77,0.19,0.524,0.333,0.00665695920321707,Pre-HIV+
s__Blautia_massiliensis,s__Phocea_massiliensis,149,82,-0.17,-0.5,0.331,0.00672497736983368,Pre-HIV-
s__Simiaoa_sunii,s__Veillonella_parvula,143,80,-0.045,0.327,0.372,0.00677125691765346,Pre-HIV+
s__Collinsella_sp._TF05_9AC,s__Phascolarctobacterium_sp._Marseille_Q4147,114,66,0.004,-0.399,0.403,0.0067892137796699,Pre-HIV-
s__Holdemanella_biformis,s__Mediterraneibacter_faecis,150,80,0.162,0.496,0.334,0.00682232219793422,Pre-HIV+
s__Collinsella_aerofaciens,s__Senegalimassilia_anaerobia,146,81,0.198,0.524,0.326,0.00683198026413057,Pre-HIV+
