Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Absicoccus_porci,data2 - HMDB0010321,94,65,0.161482872230482,0.400025669814378,0.238542797583896,0.113298106335884,g2+
data1 - s__Absicoccus_porci,data2 - HMDB0028832,94,65,-0.0220476194881016,-0.317318828432236,0.295271208944135,0.0626152426829798,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0029135,94,65,-0.108393382066946,-0.306154090533718,0.197760708466773,0.207704269451676,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0115815,94,65,0.0923216032572435,0.303946277834102,0.211624674576859,0.179041410669783,g2+
data1 - s__Absicoccus_porci,data2 - HMDB0242602,94,65,0.148038014191547,0.315692451446319,0.167654437254772,0.28048855901053,g2+
data1 - s__Absicoccus_porci,data2 - HMDB0296920,94,65,0.0822659436427981,0.337260943747007,0.254995000104209,0.102940865408719,g2+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0000152,149,82,0.0771739951087,-0.343053965148829,0.420227960257529,0.00184807106517515,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0240662,149,82,-0.363344234504835,-0.135884261700217,0.227459972804618,0.0806361291513025,g1-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0244060,149,82,-0.0266002747367948,0.331065794449833,0.357666069186628,0.00796304197551256,g2+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0252122,149,82,0.0936960749170756,0.301866203553888,0.208170128636812,0.119241741914681,g2+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0302502,149,82,-0.035575410786849,0.328612290885493,0.364187701672342,0.00697062556722172,g2+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0304915,149,82,-0.0124733821022872,-0.337106080797651,0.324632698695364,0.0154138811055426,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0000228,151,82,-0.0703315115454452,0.307888535803011,0.378220047348456,0.00528169330065542,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0000933,151,82,-0.0531952890915693,0.370376923352962,0.423572212444531,0.00150920932842413,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0304944,151,82,-0.0508541618114531,-0.320999537742229,0.270145375930776,0.0430857943590726,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0000413,143,79,0.153700372854512,0.310855197705417,0.157154824850905,0.242393146446924,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0001870,143,79,-0.140930645001715,-0.360030436125462,0.219099791123747,0.0990107813854817,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0002428,143,79,-0.0743701986317941,-0.311851740362918,0.237481541731124,0.0816483410769999,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0255516,143,79,0.0345908308057234,0.344290196963173,0.30969936615745,0.0228204715940845,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0304928,143,79,0.34604760330375,0.189576175768229,0.156471427535521,0.235436563404329,g1+
data1 - s__Akkermansia_muciniphila,data2 - HMDB0002596,129,65,0.402802429728738,-0.116899043408364,0.519701473137102,0.000449012000480531,g1+
data1 - s__Alistipes_communis,data2 - HMDB0000765,118,61,-0.0138318098089663,0.302519473538848,0.316351283347815,0.0428689878412274,g2+
data1 - s__Alistipes_communis,data2 - HMDB0002982,118,61,-0.0514879810911735,-0.310387687660813,0.25889970656964,0.0943217482558352,g2-
data1 - s__Alistipes_ihumii,data2 - HMDB0010325,108,61,0.0850261514027164,0.302633661425859,0.217607510023143,0.164938819550858,g2+
data1 - s__Alistipes_ihumii,data2 - HMDB0059980,108,61,0.0688407281026584,0.328694495758429,0.259853767655771,0.0958896317676459,g2+
data1 - s__Alistipes_ihumii,data2 - HMDB0296921,108,61,-0.0502787841993089,-0.310669349048391,0.260390564849083,0.0976696952530458,g2-
data1 - s__Alistipes_indistinctus,data2 - HMDB0000394,99,44,0.302239540859638,0.127768820809495,0.174470720050143,0.32529887976086,g1+
data1 - s__Alistipes_indistinctus,data2 - HMDB0030055,99,44,0.316092575473562,0.0624103510906349,0.253682224382927,0.155787979372177,g1+
data1 - s__Alistipes_indistinctus,data2 - HMDB0038304,99,44,0.33564359773903,-0.0208596286841505,0.356503226423181,0.0473213644538049,g1+
data1 - s__Alistipes_onderdonkii,data2 - HMDB0002340,129,67,0.0991548873598847,-0.316537288921248,0.415692176281133,0.00537592857866587,g2-
data1 - s__Alistipes_onderdonkii,data2 - HMDB0004193,129,67,0.0362382596340964,-0.301027181069208,0.337265440703304,0.0238219158799349,g2-
data1 - s__Alistipes_onderdonkii,data2 - HMDB0028831,129,67,-0.0318145770993329,0.329637146621058,0.361451723720391,0.014763631839918,g2+
data1 - s__Alistipes_onderdonkii,data2 - HMDB0029737,129,67,-0.0147946865884731,0.32355514737351,0.338349833961983,0.0224404759787855,g2+
data1 - s__Alistipes_putredinis,data2 - HMDB0002285,126,61,-0.347479885968097,0.0102701491814605,0.357750035149557,0.0192448246057701,g1-
data1 - s__Alistipes_putredinis,data2 - HMDB0004309,126,61,-0.0456901670180154,-0.32112285408554,0.275432687067524,0.0714009107359241,g2-
data1 - s__Alistipes_putredinis,data2 - HMDB0006236,126,61,-0.00617515433334164,0.310778764843769,0.316953919177111,0.0397256126016052,g2+
data1 - s__Alistipes_putredinis,data2 - HMDB0240371,126,61,-0.0291324999214593,0.326936369354884,0.356068869276343,0.020684540190274,g2+
data1 - s__Alistipes_putredinis,data2 - HMDB0240662,126,61,-0.323655078290413,-0.102065461629743,0.221589616660669,0.143004836108008,g1-
data1 - s__Alistipes_shahii,data2 - HMDB0000849,121,56,0.04264721712969,-0.311605121498774,0.354252338628464,0.0272907127269997,g2-
data1 - s__Allisonella_histaminiformans,data2 - HMDB0004710,94,58,-0.148336038072798,-0.326310192797793,0.177974154724995,0.267826377032842,g2-
data1 - s__Allisonella_histaminiformans,data2 - HMDB0013302,94,58,0.0404554621726438,-0.324464343696364,0.364919805869008,0.0272477089336116,g2-
data1 - s__Allisonella_histaminiformans,data2 - HMDB0030916,94,58,0.0531916681325531,0.383329966791993,0.33013829865944,0.0400305954541071,g2+
data1 - s__Allisonella_histaminiformans,data2 - HMDB0060049,94,58,-0.096925799593037,-0.322011881410354,0.225086081817317,0.165858455483502,g2-
data1 - s__Allisonella_histaminiformans,data2 - HMDB0247284,94,58,0.0219806622121256,0.311984789337216,0.290004127125091,0.0782492579473899,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0004158,151,82,0.306432928300401,0.13609116610905,0.170341762191351,0.197256283453522,g1+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0247937,151,82,0.153208409124987,0.336828328577319,0.183619919452332,0.15934606236287,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0296920,151,82,-0.0399352199327993,-0.346900482390779,0.30696526245798,0.0208526537930052,g2-
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0000873,151,82,0.0504965258932065,0.376955500740405,0.326458974847199,0.0130304220365969,g2+
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0010363,151,82,0.050944631781021,0.345734993192414,0.294790361411393,0.0262859729444689,g2+
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0013854,151,82,0.103098348665816,-0.343150408260496,0.446248756926311,0.000934938099153237,g2-
