,species_SC,go_SC,mtb_SC,plasma_mtb_SC
s__Collinsella_aerofaciens,2.21238938053097,0.727883538633819,0.956882585596756,0.450646505350052
s__Blautia_wexlerae,0.442477876106195,0.111982082866741,0.159744408945687,0.114678899082569
s__Faecalibacterium_prausnitzii,0.442477876106195,0.83986562150056,0.0708215297450425,0.450646505350052
s__Prevotella_copri,1.32743362831858,1.95968645016797,0.28328611898017,0.114678899082569
s__Catenibacterium_mitsuokai,2.21238938053097,1.00783874580067,0.443030527925857,0.319829424307036
s__Dorea_longicatena,0,0.279955207166853,0.301387468435772,0.114678899082569
s__Mediterraneibacter_faecis,1.76991150442478,0.783874580067189,0.788087501923268,0.573394495412844
s__Fusicatenibacter_saccharivorans,0,-0.783874580067189,0.0708215297450425,0.54111813149195
s__Holdemanella_biformis,6.19469026548673,1.39977603583427,0.611825611599345,0.106609808102345
s__Ruminococcus_bromii,0,0.671892497200448,0.381259672908615,0.565325404432621
s__Blautia_obeum,1.76991150442478,3.47144456886898,0.550054756582103,0.335967606267483
s__Extibacter_muris,0,0.0559910414333707,0.0708215297450425,0.426439232409382
s__Gemmiger_formicilis,0.884955752212389,0.727883538633818,0.452081202653658,1.54095185931418
s__Holdemanella_porci,3.53982300884956,1.56774916013438,1.063906814253,0.442577414369828
s__Bifidobacterium_adolescentis,0.442477876106195,0.167973124300112,0.0708215297450425,0
s__Blautia_massiliensis,0.442477876106195,0.0559910414333706,0.495750708215297,0.229357798165138
s__Coprococcus_comes,0,0.223964165733483,0.372208998180814,0
s__Anaerobutyricum_hallii,1.32743362831858,0.615901455767077,0.461131877381459,0.106609808102345
s__Anaerostipes_hadrus,0,0.279955207166853,0.504801382943099,0.442577414369829
s__Dorea_formicigenerans,0,0.503919372900336,0.620876286327146,0.344036697247706
s__Roseburia_faecis,0,-0.0559910414333706,0.221515263962928,0.32789851528726
s__Subdoligranulum_sp._APC924_74,0.442477876106195,-0.0559910414333707,0.141643059490085,1.3680776980106
s__Methanobrevibacter_smithii,0,0,0.150693734217886,0
s__Oliverpabstia_intestinalis,0.884955752212389,1.06382978723404,0.593724262143743,0.106609808102345
s__Bifidobacterium_longum,0.884955752212389,0.447928331466965,0.354107648725212,1.86078128362121
s__Phocaeicola_vulgatus,3.53982300884956,1.56774916013438,0.150693734217886,0.557256313452397
s__Mogibacterium_kristiansenii,0,-0.727883538633819,-0.221515263962928,0.434508323389605
s__Cyclospora_cayetanensis,0.442477876106195,0.559910414333707,0.301387468435772,0.098540717122122
s__Eubacterium_coprostanoligenes,0,0.223964165733483,0,0.114678899082569
s__Roseburia_inulinivorans,0.884955752212389,3.07950727883539,0.23961661341853,0.114678899082569
s__Ruminococcus_torques,0,0,-0.0617708550172415,0.106609808102345
s__Ruminococcus_callidus,2.21238938053097,0.335946248600224,0.974983935052358,0.229357798165138
s__Paratractidigestivibacter_faecalis,-1.32743362831858,-1.17581187010078,0.310438143163573,0
s__Bifidobacterium_catenulatum,0,0,0.221515263962928,0.221288707184914
s__Blautia_faecis,-1.76991150442478,0.783874580067189,0.141643059490085,0.106609808102345
s__Blautia_glucerasea,0,0.447928331466965,0.0708215297450425,0.106609808102345
s__Blautia_luti,0,0.223964165733483,-0.159744408945687,0.106609808102345
s__Slackia_isoflavoniconvertens,0.442477876106195,0.223964165733483,1.96648535148295,2.22095616282937
s__Romboutsia_timonensis,0.442477876106195,0.895856662933931,1.063906814253,1.20498425304669
s__Blautia_faecicola,0.442477876106195,0.167973124300112,0.602774936871544,0.229357798165138
s__Bacteroides_uniformis,0.442477876106195,-0.111982082866741,0.798722044728434,1.07416717200368
s__Ruminococcus_gnavus,0,0,0.221515263962928,0
s__Anaerobutyricum_soehngenii,0.884955752212389,0.279955207166853,0.762519345817231,0.442577414369828
s__Oscillibacter_sp._ER4,3.98230088495575,6.04703247480403,0.99308528450796,-0.106609808102345
s__Prevotella_stercorea,1.32743362831858,2.40761478163494,0.310438143163573,0.213219616204691
s__Prevotella_hominis,0,1.00783874580067,0.815239526106671,0
s__Roseburia_intestinalis,0,0.0559910414333707,0.221515263962928,0.885154828739657
s__Ellagibacter_isourolithinifaciens,0,0.167973124300112,2.5511589388989,1.23726061696759
s__Coprococcus_eutactus,2.65486725663717,1.17581187010078,0.390310347636416,0.442577414369828
s__Akkermansia_muciniphila,0,0,0,-0.0080690909802234
s__Blautia_sp._BIOML_A1,0,0.111982082866741,0.0708215297450425,0.213219616204691
s__Vescimonas_coprocola,1.76991150442478,3.86338185890258,0.531953407126501,0.106609808102345
s__Eubacterium_ramulus,-0.884955752212389,0.391937290033595,0.230565938690729,0.114678899082569
s__Faecalibacterium_sp._HTFF,0,-0.223964165733483,-0.0708215297450425,0.32789851528726
s__Coprococcus_catus,1.32743362831858,0.503919372900336,0.691697816072188,0
s__Evtepia_gabavorous,0,0.335946248600224,0.221515263962928,0
s__Dialister_succinatiphilus,0,0,0,0
s__Blautia_stercoris,-1.32743362831858,-0.167973124300112,0.602774936871544,0.221288707184914
s__Lentihominibacter_faecis,-0.442477876106195,0.111982082866741,0.867959706396112,0.114678899082569
s__Parolsenella_catena,0.442477876106195,0,1.33972612658274,0.114678899082569
s__Senegalimassilia_anaerobia,3.09734513274336,2.07166853303471,0.584673587415942,0.754337747696641
s__Collinsella_bouchesdurhonensis,0,0.111982082866741,0.372208998180814,0.794683202597758
s__Escherichia_coli,1.32743362831858,0.951847704367301,0.47018255210926,0.221288707184914
s__Lachnospira_eligens,0,0.0559910414333707,0.0798722044728434,0.229357798165138
s__Anthropogastromicrobium_aceti,0.442477876106195,0.391937290033595,0.28328611898017,0.205150525224467
s__Ruminococcus_bicirculans,0.442477876106195,0.111982082866741,0.230565938690729,0.114678899082569
s__Veillonella_parvula,0.884955752212389,0.0559910414333707,0.602774936871544,0.114678899082569
s__Ruminococcus_flavefaciens,1.32743362831858,1.95968645016797,0.629926961054947,0.106609808102345
s__Prevotella_sp._885,0,0.559910414333707,0.381259672908615,0
s__Phascolarctobacterium_succinatutens,2.65486725663717,4.1993281075028,0.221515263962928,0.106609808102345
s__Oscillibacter_valericigenes,0,0.447928331466965,0.230565938690729,0.106609808102345
s__Lachnoclostridium_sp._210928_DFI_6_3,0,0.167973124300112,0.230565938690729,0.213219616204691
s__Ruminococcus_lactaris,0,0.111982082866741,0.0708215297450425,0.434508323389605
s__Ruminococcus_sp._NSJ_71,0.442477876106195,0.223964165733483,0.833340875562273,0.213219616204691
s__Ruthenibacterium_lactatiformans,0,-0.0559910414333707,0.568156106037705,-0.0080690909802234
s__Butyrivibrio_crossotus,0,0.111982082866741,0.141643059490085,0.786614111617535
s__Flavonifractor_plautii,0,0.223964165733483,0.0798722044728434,0.213219616204691
s__Prevotellamassilia_timonensis,0,0.615901455767077,0.0798722044728435,0.442577414369828
s__Roseburia_sp._BX1005,0.884955752212389,0.279955207166853,0.0708215297450425,0.557256313452397
s__Olsenella_uli,-0.884955752212389,-0.503919372900336,0.869543574473477,0.114678899082569
s__Gallintestinimicrobium_propionicum,-0.884955752212389,-0.335946248600224,0.461131877381459,0.770475929657088
s__Roseburia_hominis,0,0.167973124300112,0.230565938690729,0.106609808102345
s__Ruminococcus_sp._BSD2780120874_150323_B10,0,0.335946248600224,0,0
s__Vescimonas_fastidiosa,2.21238938053097,3.47144456886898,0,0.106609808102345
s__Faecalicatena_fissicatena,0,0.0559910414333707,0.141643059490085,0
s__Simiaoa_sunii,4.86725663716814,3.35946248600224,0.531953407126501,0.335967606267483
s__Ruminococcus_sp._FMBCY1,0,0,0,0
s__Collinsella_sp._AM34_10,0.884955752212389,0.279955207166853,0.531953407126501,0.114678899082569
s__Senegalimassilia_faecalis,0.442477876106195,2.40761478163494,0.593724262143743,0.32789851528726
s__Mediterraneibacter_sp._NSJ_151,0,0.167973124300112,0.150693734217886,0.319829424307036
s__Agathobaculum_butyriciproducens,0.442477876106195,0.279955207166853,0.28328611898017,0.229357798165138
s__Anaerotardibacter_sp._CLA_AA_M13,0.884955752212389,0.335946248600224,1.47073464326766,1.20498425304669
s__Phascolarctobacterium_sp._Marseille_Q4147,1.32743362831858,1.73572228443449,0.221515263962928,0.54111813149195
