Taxa,species_NC,species_SC,go_NC,go_SC,mtb_NC,mtb_SC,plasma_mtb_NC,plasma_mtb_SC
s__Collinsella_aerofaciens,0,2.21238938053097,0,0.727883538633819,0,0.956882585596756,0.114678899082569,0.565325404432621
s__Blautia_wexlerae,0,0.442477876106195,0.447928331466965,0.559910414333707,0,0.159744408945687,0,0.114678899082569
s__Faecalibacterium_prausnitzii,0,0.442477876106195,0.167973124300112,1.00783874580067,0,0.0708215297450425,0,0.450646505350052
s__Prevotella_copri,0,1.32743362831858,0.0559910414333707,2.01567749160134,0.159744408945687,0.443030527925857,0.106609808102345,0.221288707184914
s__Catenibacterium_mitsuokai,1.32743362831858,3.53982300884956,0.83986562150056,1.84770436730123,0,0.443030527925857,0,0.319829424307036
s__Dorea_longicatena,0,0,0.0559910414333707,0.335946248600224,0,0.301387468435772,0.114678899082569,0.229357798165138
s__Mediterraneibacter_faecis,0,1.76991150442478,0.0559910414333707,0.83986562150056,0,0.788087501923268,0,0.573394495412844
s__Fusicatenibacter_saccharivorans,0.442477876106195,0.442477876106195,0.83986562150056,0.0559910414333707,0,0.0708215297450425,0,0.54111813149195
s__Holdemanella_biformis,0,6.19469026548673,0.223964165733483,1.62374020156775,0.0798722044728434,0.691697816072188,0,0.106609808102345
s__Ruminococcus_bromii,0,0,0.0559910414333707,0.727883538633819,0,0.381259672908615,0,0.565325404432621
s__Blautia_obeum,0.442477876106195,2.21238938053097,0.615901455767077,4.08734602463606,0,0.550054756582103,0,0.335967606267483
s__Extibacter_muris,0,0,0,0.0559910414333707,0,0.0708215297450425,0.114678899082569,0.54111813149195
s__Gemmiger_formicilis,0,0.884955752212389,0.111982082866741,0.83986562150056,0,0.452081202653658,0,1.54095185931418
s__Holdemanella_porci,0,3.53982300884956,0,1.56774916013438,0,1.063906814253,0,0.442577414369828
s__Bifidobacterium_adolescentis,0,0.442477876106195,0,0.167973124300112,0,0.0708215297450425,0,0
s__Blautia_massiliensis,0,0.442477876106195,0.111982082866741,0.167973124300112,0.0708215297450425,0.56657223796034,0,0.229357798165138
s__Coprococcus_comes,0,0,0,0.223964165733483,0,0.372208998180814,0,0
s__Anaerobutyricum_hallii,0,1.32743362831858,0,0.615901455767077,0,0.461131877381459,0,0.106609808102345
s__Anaerostipes_hadrus,0.884955752212389,0.884955752212389,0.559910414333707,0.83986562150056,0,0.504801382943099,0.114678899082569,0.557256313452397
s__Dorea_formicigenerans,0,0,0,0.503919372900336,0.150693734217886,0.771570020545032,0,0.344036697247706
s__Roseburia_faecis,0,0,0.167973124300112,0.111982082866741,0,0.221515263962928,0.106609808102345,0.434508323389605
s__Subdoligranulum_sp._APC924_74,0,0.442477876106195,0.0559910414333707,0,0,0.141643059490085,0,1.3680776980106
s__Methanobrevibacter_smithii,0,0,0,0,0,0.150693734217886,0,0
s__Oliverpabstia_intestinalis,0,0.884955752212389,0,1.06382978723404,0,0.593724262143743,0,0.106609808102345
s__Bifidobacterium_longum,0,0.884955752212389,0,0.447928331466965,0,0.354107648725212,0,1.86078128362121
s__Phocaeicola_vulgatus,0,3.53982300884956,0.111982082866741,1.67973124300112,0,0.150693734217886,0,0.557256313452397
s__Mogibacterium_kristiansenii,2.21238938053097,2.21238938053097,0.951847704367301,0.223964165733483,0.221515263962928,0,0,0.434508323389605
s__Cyclospora_cayetanensis,0,0.442477876106195,0,0.559910414333707,0,0.301387468435772,0.221288707184914,0.319829424307036
s__Eubacterium_coprostanoligenes,0,0,0.111982082866741,0.335946248600224,0.159744408945687,0.159744408945687,0,0.114678899082569
s__Roseburia_inulinivorans,0,0.884955752212389,0.0559910414333707,3.13549832026876,0.0708215297450425,0.310438143163573,0,0.114678899082569
s__Ruminococcus_torques,0,0,0.223964165733483,0.223964165733483,0.141643059490085,0.0798722044728434,0,0.106609808102345
s__Ruminococcus_callidus,0,2.21238938053097,0.0559910414333707,0.391937290033595,0,0.974983935052358,0,0.229357798165138
s__Paratractidigestivibacter_faecalis,1.32743362831858,0,1.23180291153415,0.0559910414333707,0,0.310438143163573,0.106609808102345,0.106609808102345
s__Bifidobacterium_catenulatum,0,0,0,0,0,0.221515263962928,0,0.221288707184914
s__Blautia_faecis,2.65486725663717,0.884955752212389,1.79171332586786,2.57558790593505,0.150693734217886,0.292336793707971,0.114678899082569,0.221288707184914
s__Blautia_glucerasea,0,0,0.0559910414333707,0.503919372900336,0,0.0708215297450425,0.106609808102345,0.213219616204691
s__Blautia_luti,0,0,0,0.223964165733483,0.230565938690729,0.0708215297450425,0,0.106609808102345
s__Slackia_isoflavoniconvertens,0,0.442477876106195,0,0.223964165733483,0.0798722044728434,2.0463575559558,0,2.22095616282937
s__Romboutsia_timonensis,0,0.442477876106195,0,0.895856662933931,0,1.063906814253,0,1.20498425304669
s__Blautia_faecicola,0,0.442477876106195,0,0.167973124300112,0,0.602774936871544,0,0.229357798165138
s__Bacteroides_uniformis,0,0.442477876106195,0.391937290033595,0.279955207166853,0,0.798722044728434,0.442577414369828,1.51674458637351
s__Ruminococcus_gnavus,0.442477876106195,0.442477876106195,0.223964165733483,0.223964165733483,0.221515263962928,0.443030527925857,0.229357798165138,0.229357798165138
s__Anaerobutyricum_soehngenii,0,0.884955752212389,0,0.279955207166853,0.0798722044728434,0.842391550290074,0,0.442577414369828
s__Oscillibacter_sp._ER4,0,3.98230088495575,0.335946248600224,6.38297872340426,0,0.99308528450796,0.106609808102345,0
s__Prevotella_stercorea,0,1.32743362831858,0,2.40761478163494,0,0.310438143163573,0.106609808102345,0.319829424307036
s__Prevotella_hominis,0.442477876106195,0.442477876106195,0.0559910414333707,1.06382978723404,0,0.815239526106671,0,0
s__Roseburia_intestinalis,0,0,0,0.0559910414333707,0,0.221515263962928,0,0.885154828739657
s__Ellagibacter_isourolithinifaciens,0,0,0,0.167973124300112,0,2.5511589388989,0,1.23726061696759
s__Coprococcus_eutactus,0,2.65486725663717,0,1.17581187010078,0,0.390310347636416,0,0.442577414369828
s__Akkermansia_muciniphila,0,0,0,0,0,0,0.114678899082569,0.106609808102345
s__Blautia_sp._BIOML_A1,0,0,0.111982082866741,0.223964165733483,0,0.0708215297450425,0,0.213219616204691
s__Vescimonas_coprocola,0,1.76991150442478,0.279955207166853,4.14333706606943,0.150693734217886,0.682647141344387,0.114678899082569,0.221288707184914
s__Eubacterium_ramulus,0.884955752212389,0,0.167973124300112,0.559910414333707,0,0.230565938690729,0,0.114678899082569
s__Faecalibacterium_sp._HTFF,0,0,0.503919372900336,0.279955207166853,0.0708215297450425,0,0,0.32789851528726
s__Coprococcus_catus,0,1.32743362831858,0.279955207166853,0.783874580067189,0,0.691697816072188,0,0
s__Evtepia_gabavorous,0,0,0,0.335946248600224,0,0.221515263962928,0,0
s__Dialister_succinatiphilus,0,0,0,0,0,0,0,0
s__Blautia_stercoris,1.32743362831858,0,0.167973124300112,0,0,0.602774936871544,0,0.221288707184914
s__Lentihominibacter_faecis,0.442477876106195,0,0,0.111982082866741,0,0.867959706396112,0,0.114678899082569
s__Parolsenella_catena,0,0.442477876106195,0,0,0,1.33972612658274,0,0.114678899082569
s__Senegalimassilia_anaerobia,0,3.09734513274336,0.0559910414333707,2.12765957446809,0,0.584673587415942,0,0.754337747696641
s__Collinsella_bouchesdurhonensis,0,0,0,0.111982082866741,0,0.372208998180814,0,0.794683202597758
s__Escherichia_coli,0,1.32743362831858,0,0.951847704367301,0,0.47018255210926,0,0.221288707184914
s__Lachnospira_eligens,0,0,0,0.0559910414333707,0.0798722044728434,0.159744408945687,0,0.229357798165138
s__Anthropogastromicrobium_aceti,0,0.442477876106195,0.671892497200448,1.06382978723404,0,0.28328611898017,0.114678899082569,0.319829424307036
s__Ruminococcus_bicirculans,0,0.442477876106195,0,0.111982082866741,0,0.230565938690729,0,0.114678899082569
s__Veillonella_parvula,0,0.884955752212389,0.0559910414333707,0.111982082866741,0,0.602774936871544,0,0.114678899082569
s__Ruminococcus_flavefaciens,0,1.32743362831858,0,1.95968645016797,0,0.629926961054947,0,0.106609808102345
s__Prevotella_sp._885,0,0,0,0.559910414333707,0,0.381259672908615,0,0
s__Phascolarctobacterium_succinatutens,0,2.65486725663717,0.0559910414333707,4.25531914893617,0,0.221515263962928,0.114678899082569,0.221288707184914
s__Oscillibacter_valericigenes,0,0,0.223964165733483,0.671892497200448,0,0.230565938690729,0.114678899082569,0.221288707184914
s__Lachnoclostridium_sp._210928_DFI_6_3,0,0,0.111982082866741,0.279955207166853,0,0.230565938690729,0,0.213219616204691
s__Ruminococcus_lactaris,0,0,0,0.111982082866741,0,0.0708215297450425,0,0.434508323389605
