Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Abiotrophia_defectiva,data2 - GO:0001680,68,36,0.0624012000517176,0.335229742034603,0.272828541982885,0.180541166242997,g2+
data1 - s__Abiotrophia_defectiva,data2 - GO:0006813,85,45,0.0320509484547737,-0.31205844471129,0.344109393166064,0.0614429934746745,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0008194,82,43,0.0212987090071968,-0.322307258442375,0.343605967449572,0.0669447419556661,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0008195,68,34,-0.301251989053682,0.00910631640080223,0.310358305454484,0.142628624033412,g1-
data1 - s__Abiotrophia_defectiva,data2 - GO:0008643,85,45,0.0599157328957043,-0.356448009618235,0.416363742513939,0.0225542687893667,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0008942,64,36,0.0105092552097895,-0.393171303259992,0.403680558469782,0.0486526071337599,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0015035,85,45,-0.0864814874443625,-0.321694429822956,0.235212942378593,0.193304270068427,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0015093,82,40,-0.0485303841719739,-0.300336676388463,0.25180629221649,0.189595542108465,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0015649,66,36,0.0311627092538173,-0.311692488543616,0.342855197797433,0.0998699895157813,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0019152,79,43,0.0609601519376589,-0.396141650148628,0.457101802086287,0.013980673765311,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0022872,61,28,-0.0091612349338503,-0.371373571486851,0.362212336553001,0.111417325373222,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0030430,65,36,0.000615052236989291,0.312344347128634,0.311729294891645,0.134452462005997,g2+
data1 - s__Abiotrophia_defectiva,data2 - GO:0043107,70,38,0.0895088492437141,0.304649294873309,0.215140445629595,0.280903040192142,g2+
data1 - s__Abiotrophia_defectiva,data2 - GO:0045150,79,43,0.0609601519376514,-0.396141650148638,0.457101802086289,0.0139806737653103,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0046411,66,36,0.031162709253811,-0.311692488543613,0.342855197797424,0.0998699895157911,g2-
data1 - s__Abiotrophia_defectiva,data2 - GO:0046718,67,37,0.0533409272148673,0.352998823839644,0.299657896624777,0.137133635508812,g2+
data1 - s__Abiotrophia_defectiva,data2 - GO:0098015,65,36,0.000615052237010147,0.312344347128639,0.311729294891629,0.134452462006017,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0003871,94,47,0.0284582641024779,-0.315477825927458,0.343936090029936,0.0531385225716172,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0003935,93,47,0.0960015894252591,0.347559522613533,0.251557933188274,0.147610288351694,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0008194,89,45,-0.00330925367633036,-0.311813440996575,0.308504187320245,0.0899115552716863,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0008643,94,47,0.0848852791542035,-0.32323967525992,0.408124954414123,0.0220652574886682,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0009035,93,43,0.186619250097801,0.30722279418383,0.120603544086029,0.498426206314643,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0009086,94,47,0.0746285213765822,-0.364894944242213,0.439523465618795,0.0127596306390112,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0019152,88,44,0.100860899319051,-0.383460645431277,0.484321544750328,0.00787146358166724,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0022872,67,27,0.0148875013811289,-0.350713657930139,0.365601159311268,0.111300352688312,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0030430,72,37,-0.00867926660742648,0.317405124019043,0.326084390626469,0.107305648754677,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0030699,84,39,0.338409020086987,-0.0360655488091018,0.374474568896089,0.0525147789061706,g1+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - GO:0030700,84,39,0.338409020086971,-0.0360655488090804,0.374474568896051,0.0525147789061948,g1+
