Taxa,name,cooccurrence_Non-HIV,cooccurrence_Pre-HIV,cor_Non-HIV,cor_Pre-HIV,diff_cor,p,sign
s__Actinomyces_sp._oral_taxon_172,s__Streptococcus_sp._343_SSPC,122,62,-0.147,0.399,0.546,0.000340702541854032,Pre-HIV+
s__Rothia_mucilaginosa,s__Streptococcus_sp._HMSC074B11,142,76,0.166,0.592,0.425,0.000392375461736982,Pre-HIV+
s__Actinomyces_sp._oral_taxon_172,s__Streptococcus_sp._1001283B150225_161107_H12,123,64,-0.163,0.37,0.533,0.000433256423666428,Pre-HIV+
s__Actinomyces_sp._ICM58,s__Streptococcus_sp._343_SSPC,126,65,-0.22,0.309,0.529,0.000488970939323874,Pre-HIV+
s__Actinomyces_sp._oral_taxon_172,s__Streptococcus_sp._XMC,124,66,-0.162,0.354,0.517,0.000582999860363476,Pre-HIV+
s__Rothia_sp._HMSC065C12,s__Streptococcus_sp._oral_taxon_431,142,76,0.174,0.585,0.412,0.000617939402979273,Pre-HIV+
s__Candidatus_Nanosynbacter_sp._TM7_008,s__Streptococcus_sp._1001283B150225_161107_H12,89,50,-0.511,0.042,0.552,0.000846359777195715,Non-HIV-
s__Candidatus_Nanosynbacter_sp._TM7_075,s__Veillonella_nakazawae,95,50,0.34,-0.234,0.575,0.000936571539998043,Non-HIV+
s__Rothia_sp._HMSC065C12,s__Streptococcus_sp._Marseille_Q4154,138,74,0.163,0.571,0.408,0.000955069706696232,Pre-HIV+
s__Rothia_sp._HMSC062F03,s__Streptococcus_sp._HPH0090,130,72,0.117,0.543,0.425,0.00105266703492046,Pre-HIV+
s__Rothia_sp._HMSC072E10,s__Streptococcus_sp._SK140,133,71,0.014,0.465,0.451,0.00108272630719397,Pre-HIV+
s__Rothia_sp._HMSC062F03,s__Streptococcus_sp._oral_taxon_431,131,74,-0.167,0.304,0.471,0.00110502408748592,Pre-HIV+
s__Streptococcus_sp._HMSC061D10,s__Veillonella_parvula,141,75,-0.395,0.048,0.443,0.00136059725638527,Non-HIV-
s__Rothia_sp._HMSC072B04,s__Streptococcus_sp._HMSC062D07,137,75,0.227,0.603,0.376,0.00141023318659705,Pre-HIV+
s__Lachnoanaerobaculum_saburreum,s__Schaalia_odontolytica,114,58,0.355,-0.153,0.507,0.00146410318854628,Non-HIV+
s__Candidatus_Nanosynbacter_sp._TM7_075,s__Veillonella_dispar,96,50,0.328,-0.225,0.552,0.00147899176771982,Non-HIV+
