Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0000626,134,73,-0.0501863501209025,-0.303461133565824,0.253274783444921,0.0755560000029227,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0001311,134,73,0.0174122397458605,-0.323007653546509,0.340419893292369,0.0172959929227989,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0029952,134,73,-0.0231887724985976,-0.315533045624587,0.292344273125989,0.0403779196380567,g2-
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0034679,135,71,0.318008309180525,0.165797572206538,0.152210736973986,0.277538755540677,g1+
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0248874,135,71,-0.0960102953383337,0.329042360223888,0.425052655562222,0.00333890587777441,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0028873,127,67,0.0458720492346993,-0.332153413225925,0.378025462460624,0.0110421798036966,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0028886,127,67,-0.0248637415323338,0.341861222408388,0.366724963940722,0.0132920719084051,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0028990,127,67,-0.303963216708499,-0.383694398840141,0.0797311821316417,0.556520347388643,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0031936,127,67,0.101993753638507,0.420764387431471,0.318770633792964,0.0244636457557557,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0241231,127,67,0.106153784236293,0.382307510156359,0.276153725920066,0.0542946560322115,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0255868,127,67,-0.0725297351123066,-0.305628576952287,0.233098841839981,0.1142929625658,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0280068,127,67,-0.10277493266102,-0.336085917541924,0.233310984880903,0.109207135938875,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0296915,127,67,0.0977330892913243,0.302257800142564,0.20452471085124,0.164497209955317,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0303182,127,67,0.0631376062000568,0.316839891551606,0.253702285351549,0.0852239977148783,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0304025,127,67,0.148307812807762,0.331671171748182,0.18336335894042,0.2044915322562,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0304338,127,67,-0.0793412680700386,-0.313175093085462,0.233833825015424,0.112083572996145,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0000243,132,75,-0.150224483739961,-0.310415742273503,0.160191258533542,0.248855838000046,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0000617,132,75,-0.0805399510183892,-0.38098734073314,0.300447389714751,0.0293566470493365,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0028886,132,75,0.0454786681958396,0.323320101966278,0.277841433770438,0.0488094511087251,g2+
data1 - s__Actinomyces_oris,data2 - HMDB0031046,132,75,-0.102052884027117,-0.311126939558981,0.209074055531865,0.13588138843125,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0031936,132,75,0.18087442509374,0.3711653071409,0.190290882047159,0.159616713413667,g2+
data1 - s__Actinomyces_oris,data2 - HMDB0248539,132,75,-0.085375290381932,-0.353340620053472,0.26796532967154,0.0538149304154119,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0304025,132,75,0.137827166487939,0.339207800765663,0.201380634277724,0.144834380336085,g2+
data1 - s__Actinomyces_oris,data2 - HMDB0304338,132,75,-0.0492900321416597,-0.376444358238513,0.327154326096853,0.0184751191439725,g2-
data1 - s__Actinomyces_sp._ICM47,data2 - HMDB0000626,136,75,-0.0664579184170379,-0.320104686004162,0.253646767587124,0.0698939700982064,g2-
data1 - s__Actinomyces_sp._ICM47,data2 - HMDB0248874,136,75,-0.109911681670727,0.34213638250712,0.452048064177847,0.00141845725289103,g2+
data1 - s__Actinomyces_sp._ICM47,data2 - HMDB0304067,136,75,0.413252793242017,0.248472328076927,0.16478046516509,0.204266552971041,g1+
data1 - s__Actinomyces_sp._ICM47,data2 - HMDB0304801,136,75,0.311921600605546,0.235537863538573,0.0763837370669734,0.572255491534757,g1+
data1 - s__Actinomyces_sp._ICM47,data2 - HMDB0304808,136,75,0.311501179251677,0.150614048037859,0.160887131213818,0.244066137519995,g1+
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0304067,131,71,0.414982686013051,0.0384925674867509,0.3764901185263,0.00722562552345951,g1+
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0304801,131,71,0.301577190733464,-0.0663382423180144,0.367915433051478,0.0118391739230894,g1+
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0028738,125,68,-0.0337091287041974,0.339623335348223,0.37333246405242,0.0116463444198891,g2+
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0304067,125,68,0.388581496537011,0.131730108543377,0.256851387993634,0.0706189933010188,g1+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0252832,94,54,0.124775666776418,0.309176235755434,0.184400568979016,0.266889961007715,g2+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0255056,94,54,0.316911277671317,0.056061965809425,0.260849311861892,0.119824861543463,g1+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0304953,94,54,-0.325157601533683,-0.239934280792041,0.0852233207416423,0.596143637560952,g1-
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0244966,85,52,0.302256746406192,0.074280642397619,0.227976104008573,0.188245200329967,g1+
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0255056,85,52,0.327443526579105,0.0860583848350365,0.241385141744069,0.160024336956116,g1+
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0272648,85,52,0.0262646101118653,0.323831465754993,0.297566855643127,0.0863615002449736,g2+
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0304953,85,52,-0.306491063082712,-0.235383411905037,0.0711076511776748,0.670645419902145,g1-
data1 - s__Actinomyces_sp._S6_Spd3,data2 - HMDB0012986,96,61,-0.0995704488524037,-0.357286973469869,0.257716524617466,0.101658636557944,g2-
data1 - s__Actinomyces_sp._S6_Spd3,data2 - HMDB0242632,96,61,-0.155524215583898,-0.338719153522502,0.183194937938604,0.241783107259252,g2-
data1 - s__Aggregatibacter_segnis,data2 - HMDB0011474,126,61,0.314511013603291,0.104517131644052,0.20999388195924,0.16598540715104,g1+
data1 - s__Aggregatibacter_segnis,data2 - HMDB0012986,126,61,0.0761527191017911,0.471099775704538,0.394947056602747,0.00629296017151559,g2+
data1 - s__Aggregatibacter_segnis,data2 - HMDB0039553,126,61,-0.32861487758271,-0.0849103589590158,0.243704518623694,0.107793480143887,g1-
data1 - s__Aggregatibacter_segnis,data2 - HMDB0271082,126,61,0.120991120608337,0.321408706579837,0.2004175859715,0.183968458284397,g2+
data1 - s__Aggregatibacter_segnis,data2 - HMDB0272648,126,61,-0.170193051346298,-0.30789060371943,0.137697552373132,0.358207979757772,g2-
data1 - s__Aggregatibacter_segnis,data2 - HMDB0296943,126,61,0.0896067479417159,0.313237976149177,0.223631228207461,0.141330478468376,g2+
data1 - s__Aggregatibacter_segnis,data2 - HMDB0304953,126,61,0.106928723779251,0.339055268118642,0.232126544339391,0.122967802660581,g2+
