Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Abiotrophia_defectiva,data2 - HMDB0000122,84,45,-0.0356668427562173,-0.34220159645885,0.306534753702633,0.0914749406593909,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0000228,84,45,-0.0535172313135639,0.309032996408876,0.36255022772244,0.049775067529461,g2+
data1 - s__Abiotrophia_defectiva,data2 - HMDB0000710,84,45,0.149938804417194,-0.307844749392064,0.457783553809258,0.0135945761015006,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0001229,84,45,-0.0619417370607055,-0.32389575896511,0.261954021904404,0.149624842116209,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0002497,84,45,-0.0129223959469271,0.318981374257031,0.331903770203958,0.0708907877175855,g2+
data1 - s__Abiotrophia_defectiva,data2 - HMDB0002829,84,45,-0.100922551019615,-0.332856123268388,0.231933572248772,0.197997833534376,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0032036,84,45,-0.104637652181087,-0.300553601980385,0.195915949799298,0.280730043589608,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0041706,84,45,-0.10759916086133,-0.337468786320476,0.229869625459147,0.20085966841274,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0041734,84,45,-0.0692961282645221,-0.310567887724868,0.241271759460346,0.18547830840917,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0041785,84,45,-0.126288151947719,-0.330286670327041,0.203998518379322,0.255562788882923,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0059990,84,45,-0.112802501774039,-0.317802074613395,0.204999572839356,0.256153056252503,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0240652,84,45,-0.175695171441936,-0.305791607591586,0.13009643614965,0.466828316269961,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0252816,84,45,-0.156571946499633,-0.310944055441417,0.154372108941784,0.389224722511025,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0304809,84,45,-0.00794670203325701,-0.307016357817354,0.299069655784097,0.103809962949259,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0000228,93,47,-0.0647511701016676,0.326623967352019,0.391375137453687,0.0281202106585008,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0002829,93,47,-0.0385469137603271,-0.301389282238882,0.262842368478555,0.138537240509653,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0041785,93,47,-0.0721562854252267,-0.352683848736997,0.28052756331177,0.107325798871573,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0060054,93,47,-0.0651760831650495,-0.336198571280201,0.271022488115151,0.121918417587143,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0304809,93,47,-0.0301539294560904,-0.326091147033053,0.295937217576963,0.0937582279123994,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0000158,134,73,-0.100300328133268,0.347511083877314,0.447811412010582,0.00175421753185301,g2+
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0000391,134,73,0.0988771774398618,-0.406078745001573,0.504955922441435,0.000342858335847129,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0000501,134,73,0.0368643287498326,-0.318997254821702,0.355861583571534,0.0130778284974193,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0000559,134,73,0.0543566715243374,0.305814944542134,0.251458273017797,0.0773364517608877,g2+
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0002261,134,73,-0.0316205681729486,0.32723489430805,0.358855462480999,0.0121310236214565,g2+
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0061116,134,73,-0.0809231215109042,0.305600443558313,0.386523565069218,0.0073611256958146,g2+
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0010402,135,71,0.0792218294919639,-0.335148956847398,0.414370786339361,0.00413965368537594,g2-
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0241978,135,71,-0.161650892796461,-0.329203111621126,0.167552218824665,0.230846788667437,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0002982,127,67,0.0989790788413066,0.328287833545301,0.229308754703994,0.116477280883165,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0005060,127,67,0.0314151623690428,0.350220349568211,0.318805187199168,0.0298712509683825,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0029737,127,67,-0.00785461168302359,-0.31331860875743,0.305463997074407,0.0398332029833435,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0245498,127,67,-0.0550532440353442,-0.304497118002954,0.24944387396761,0.091969979494479,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0004148,132,75,0.0749057401252175,-0.302190498990395,0.377096239115613,0.00852480482718554,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0012851,132,75,0.326036819857394,0.044079946447522,0.281956873409872,0.0454545754987854,g1+
data1 - s__Actinomyces_oris,data2 - HMDB0241978,132,75,0.00988626996466542,-0.354248368959699,0.364134638924365,0.00975609375637032,g2-
data1 - s__Actinomyces_oris,data2 - HMDB0245498,132,75,-0.0962476446965611,-0.306434203773889,0.210186559077328,0.13468039006142,g2-
data1 - s__Actinomyces_sp._ICM47,data2 - HMDB0028831,136,75,-0.111444894950357,0.307850884944449,0.419295779894806,0.00328812558946412,g2+
data1 - s__Actinomyces_sp._ICM47,data2 - HMDB0040668,136,75,0.014591578891379,-0.300813208143651,0.31540478703503,0.0263308476437765,g2-
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0000734,131,71,0.0638228527045486,0.301400028156916,0.237577175452367,0.0995605292653927,g2+
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0010394,131,71,0.0282610860623556,-0.479514213664219,0.507775299726575,0.000243202379428986,g2-
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0010402,131,71,0.0876584659447082,-0.484515135979795,0.572173601924504,3.95658921326092e-05,g2-
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0034148,131,71,-0.14865224013749,-0.3330744960104,0.18442225587291,0.190330601701804,g2-
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0036093,131,71,-0.0246034497258854,0.349029224788391,0.373632674514276,0.00954428589479539,g2+
data1 - s__Actinomyces_sp._ICM58,data2 - HMDB0039539,131,71,-0.0326128188931499,0.355838461583611,0.388451280476761,0.00699363801086261,g2+
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0000158,125,68,-0.171205015967622,0.305892961872208,0.47709797783983,0.00145340089652568,g2+
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0000517,125,68,0.02313900672709,0.328643496646541,0.305504489919451,0.0382758838880324,g2+
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0004710,125,68,0.0290799640069421,-0.353374895504563,0.382454859511505,0.00947894003517114,g2-
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0010394,125,68,0.0967305710491673,-0.450397380821984,0.547127951871151,0.000149733394180007,g2-
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0010402,125,68,0.11721288197904,-0.444966691887298,0.562179573866338,0.00010351058454372,g2-
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0036093,125,68,-0.00985142498230713,0.347265790176436,0.357117215158743,0.0153648423398418,g2+
data1 - s__Actinomyces_sp._oral_taxon_172,data2 - HMDB0039539,125,68,-0.013096352205926,0.368969548547102,0.382065900753028,0.00913562413514613,g2+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0000391,94,54,0.00860975054870592,-0.343016883234037,0.351626633782743,0.0363435219292665,g2-
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0001976,94,54,0.180623453750507,0.322096004977881,0.141472551227374,0.386877326316417,g2+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0006797,94,54,-0.0328463944113647,-0.354151726774076,0.321305332362711,0.0537983955157544,g2-
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0013713,94,54,0.354010554982964,0.0721556848380152,0.281854870144949,0.0887262858142124,g1+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0029156,94,54,0.145015936738875,0.376990666819943,0.231974730081068,0.152116350707005,g2+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0029697,94,54,0.370229387110738,0.181805173669905,0.188424213440833,0.241577752657004,g1+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0033243,94,54,-0.202927694611484,-0.310548763716948,0.107621069105464,0.509541457896629,g2-
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0059980,94,54,0.113543139240137,-0.320474946958251,0.434018086198388,0.0107429476702259,g2-
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0060039,94,54,0.105564241179833,0.307746794251596,0.202182553071763,0.225308831649305,g2+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0062551,94,54,0.361904083369133,0.204015382734151,0.157888700634982,0.325015448280778,g1+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0246847,94,54,0.0685709515888809,0.435348310215564,0.366777358626683,0.0229553119496007,g2+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0296948,94,54,0.346486575030218,0.227846805729428,0.11863976930079,0.4589956050322,g1+
data1 - s__Actinomyces_sp._oral_taxon_181,data2 - HMDB0304934,94,54,0.410536682209721,0.26498702951608,0.145549652693641,0.346140568112992,g1+
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0000617,85,52,-0.0697965569445358,-0.314342518598553,0.244545961654017,0.157151632787023,g2-
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0001514,85,52,0.0746314935197424,-0.303761976019265,0.378393469539008,0.031460207767493,g2-
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0001976,85,52,0.12229274836658,0.376982624966743,0.254689876600163,0.129666332277711,g2+
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0004160,85,52,0.168446125311158,0.315195286000523,0.146749160689365,0.386890767986192,g2+
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0013292,85,52,0.281406477798179,0.305343605481544,0.0239371276833653,0.884660473754857,g2+
data1 - s__Actinomyces_sp._ph3,data2 - HMDB0013622,85,52,-0.16150304338048,-0.355857138742378,0.194354095361897,0.246611456359104,g2-
