"t1","t2","r1","r2","n1","n2","p","BH_p"
"g__[Eubacterium]_hallii_group","g__Actinomyces",-0.0666666666666667,-0.825174825174825,10,12,0.0333632260348329,0.0831671145557226
"g__Alistipes","g__Bacteroides",0.605418719211823,0.449753694581281,29,29,0.439320690053939,0.510561883035659
"g__Anaerostipes","g__Blautia",0.410557184750733,0.54130648867491,32,38,0.500863202187737,0.559405654391498
"g__Bacteroides","g__Butyricimonas",0.735652173913043,0.446886446886447,24,27,0.12973671952374,0.232243710346834
"g__[Eubacterium]_hallii_group","g__Catenibacterium",0.0580186097427477,0.56491935483871,28,31,0.0371052849583925,0.0886404029561598
"g__Christensenellaceae_R-7_group","g__Clostridium_sensu_stricto_1",-0.0934065934065934,0.664596273291925,13,22,0.0251174851231628,0.0720034573530667
"g__Catenibacterium","g__Coprococcus",0.352307692307692,0.634692513368984,25,33,0.17741856081279,0.274419098748047
"g__Blautia","g__Dorea",0.242338709677419,0.535222672064777,31,39,0.168261980371505,0.267972783554619
"g__Coprococcus","g__Dorea",0.185592185592186,0.673669467787115,27,35,0.020979733241786,0.0644377520997712
"g__Coprococcus","g__Faecalibacterium",0.187423687423687,0.589915966386555,27,35,0.0737847684777033,0.154768050953231
"g__Dorea","g__Faecalibacterium",-0.0895161290322581,0.538259109311741,31,39,0.00672609608627302,0.04820368861829
"f__Lachnospiraceae","g__Flavonifractor",0.735294117647059,-0.135064935064935,17,21,0.00322219005336961,0.0448093314343652
"g__Anaerostipes","g__Fusicatenibacter",0.454949944382647,0.548005148005148,30,36,0.631072000400448,0.68698977258783
"g__Catenibacterium","g__Intestinibacter",-0.0021978021978022,0.667532467532468,14,21,0.0385747340173166,0.0896601925807899
"g__Lachnoclostridium","g__Lachnospiraceae_UCG-004",-0.0136836343732895,0.662068965517241,28,29,0.00438255278648517,0.0448093314343652
"g__Alistipes","g__Odoribacter",0.736842105263158,0.119565217391304,19,23,0.016307147679986,0.0606479486412098
