"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"g__Dorea","g__Faecalibacterium",-0.0895161290322581,0.538259109311741,31,39,0.00672609608627302,0.04820368861829,0.627775238343999,1,1
"f__Lachnospiraceae","g__Flavonifractor",0.735294117647059,-0.135064935064935,17,21,0.00322219005336961,0.0448093314343652,0.870359052711994,1,1
"g__Lachnoclostridium","g__Lachnospiraceae_UCG-004",-0.0136836343732895,0.662068965517241,28,29,0.00438255278648517,0.0448093314343652,0.675752599890531,1,1
"g__Flavonifractor","g__Prevotella",0.144117647058824,-0.72781954887218,16,20,0.00455445252693749,0.0448093314343652,0.871937195931004,1,1
"g__Streptococcus","o__Lactobacillales",0.890909090909091,-0.133399209486166,10,23,0.000595095804779359,0.0255891196055124,1.02430830039526,1,1
"g__Holdemanella","s__[Clostridium]_leptum",-0.832167832167832,0.0525127046866177,12,22,0.00281873714474474,0.0448093314343652,0.88468053685445,1,1
"s__Alistipes_obesi","s__Alistipes_sp.",0.9,0.0909090909090909,11,10,0.00956226618293483,0.0577059756974075,0.809090909090909,1,1
"f__Ruminococcaceae","s__Bacteroides_stercoris",-0.647656691134952,0.225,22,15,0.00807723127490819,0.0534339915109311,0.872656691134952,1,1
"g__Collinsella","s__Campylobacter_hominis",0.878787878787879,-0.265934065934066,10,14,0.00105344132512287,0.0301986513201889,1.14472194472194,1,1
"g__Fusobacterium","s__uncultured_Alistipes",0.0636363636363636,0.915151515151515,11,10,0.00517726445184521,0.0448093314343652,0.851515151515152,1,1
"g__Lachnospira","s__uncultured_Clostridium",-0.65,0.0730769230769231,25,25,0.00570600177334653,0.0448093314343652,0.723076923076923,1,1
"g__Christensenellaceae_R-7_group","s__uncultured_Eubacterium",-0.76140350877193,-0.0298701298701299,19,21,0.00573142611369787,0.0448093314343652,0.7315333789018,1,1
"g__Bacteroides","s__uncultured_Lachnospiraceae",0.782142857142857,-0.281761716544325,15,22,0.000398078405249723,0.0255891196055124,1.06390457368718,1,1
"g__[Eubacterium]_ruminantium_group","s__uncultured_organism",0.725490196078431,-0.207017543859649,18,19,0.00216557101775973,0.0448093314343652,0.93250773993808,1,1
