Pre-HIV Gut Species	Pre-HIV Gut GO	Post-HIV Gut Species	Post-HIV Gut GO
Ruminococcus torques	2.51402224202093	2.70310896782122	0	1.90120287959448
Prevotella bivia	2.40370649397214	2.81052855425541	2.18518221470652	1.90682848016986
Anaerobutyricum hallii	2.31958246922961	2.09591599468063	1.33037734278532	2.13599764595335
Roseburia intestinalis	2.24487494901921	3.06159353189827	1.40087668410337	1.565920380763
Oscillibacter sp. ER4	2.24364803204962	2.40003983991064	1.35983226589349	2.90821540998746
Oscillibacter valericigenes	2.23788878979707	3.95424145473779	0.827139224126753	1.186868148885
Prevotella ihumii	2.22144581197888	2.54791427666302	2.07485902602374	1.89796488842978
Streptococcus mitis	2.21106652861002	14.8906250810948	1.96777933671508	14.8619798996452
Vescimonas coprocola	0.597411300283613	4.28080453854007	1.07379856243628	2.01647214220054
Prevotella sp. 885	1.33348338408687	4.01150847959346	0.519541630313973	2.78374815226449
Prevotella disiens	1.61516159221726	3.81651894731179	2.01115443275862	2.73849850066129
Prevotella stercorea	1.21884936756005	2.9582712337051	0.416722250430288	1.88561775553681
Faecalibacterium prausnitzii	1.11000694938676	2.93372948547278	2.7684315864595	3.03763151964287e-15
Prevotella buccalis	1.81081301310932	2.42795808870219	2.34647460274743	1.99245472126568
Prevotellamassilia timonensis	1.27848134216688	2.28953449178547	0.89732338699719	1.73129851177276
Oscillibacter sp. MSJ 31	0.770978891512346	2.06437171821902	0.47107686419029	1.01275166383523
Collinsella aerofaciens	1.95864419985203	1.38111460541347	2.88658707915012	2.1534274849553
Dorea formicigenerans	1.85017231084536	1.62863783921356	2.17668949923487	4.80231379600769
Roseburia faecis	1.71185475688777	1.26008473657409	1.06520535893722	3.44548888498221
Ruminococcus gnavus	0	1.65215318426085	0	2.12548051800884
