"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Prevotella_stercorea","GO_none",-0.160561660561661,0.670769230769231,27,25,0.00118520872019017,0.0268676607067451
"s__Prevotella_sp._Marseille_P4119","GO_none",-0.111304347826087,0.769762845849802,24,23,0.000373983304771593,0.0206158296755341
"s__Mitsuokella_jalaludinii","GO_none",0.789285714285714,0.294736842105263,15,20,0.0480554631466474,0.112951148555211
"s__Roseburia_inulinivorans","GO.0005524.InterPro.",0.624347826086956,0.238142292490119,24,23,0.123578730488784,0.196124948791917
"s__Mediterraneibacter_faecis","GO.0005524.InterPro.",0.732354601919819,0.41501976284585,22,23,0.130744411469933,0.203469908983645
"s__Roseburia_intestinalis","GO.0005524.InterPro.",0.66304347826087,-0.16699604743083,23,23,0.00272082381362463,0.033446224440654
"s__Blautia_wexlerae","GO.0003677.InterPro.",0.718260869565217,0.349565217391304,24,24,0.0852698966328408,0.155776004684224
"s__Dorea_longicatena","GO.0003677.InterPro.",0.658461538461538,0.147826086956522,25,24,0.0387120794086663,0.102380971629516
"s__Ruminococcus_gnavus","GO.0016020.InterPro.",0.651304347826087,0.309230769230769,24,25,0.140074192679194,0.212093604188774
"s__Faecalibacterium_prausnitzii","GO.0005975.InterPro.",0.269059829059829,0.688311688311688,26,22,0.0719347436475846,0.140217152834528
"s__Ruminococcus_gnavus","GO.0005975.InterPro.",0.733913043478261,0.429230769230769,24,25,0.122471026212105,0.195245269081024
"s__Dorea_formicigenerans","GO.0006355.InterPro.",0.704545454545455,0.357707509881423,23,23,0.118150701074005,0.190888918565222
"s__Veillonella_parvula","GO.0006355.InterPro.",0.791228070175439,-0.0882352941176471,19,17,0.00186580613665025,0.0301611214881288
"s__Mediterraneibacter_faecis","GO.0016887.InterPro.",0.654432523997741,0.452569169960474,22,23,0.365692204300995,0.423142701467337
"s__Collinsella_aerofaciens","GO.0005829.PANTHER.",0.647656691134952,0.324675324675325,22,21,0.194132876389702,0.263220619385522
"s__Mediterraneibacter_faecis","GO.0005829.PANTHER.",0.74025974025974,0.381422924901186,22,23,0.0916493523132313,0.16201293449523
"s__Ruminococcus_gnavus","GO.0055085.InterPro.",0.754782608695652,0.423076923076923,24,25,0.0853059073270753,0.155776004684224
"s__Ruminococcus_gnavus","GO.0005515.InterPro.",0.719130434782609,0.392307692307692,24,25,0.112738832432734,0.185041385303667
"s__Vescimonas_fastidiosa","GO.0005515.InterPro.",-0.287912087912088,-0.744117647058824,14,16,0.112804189016263,0.185041385303667
"s__Ruminococcus_gnavus","GO.0003700.InterPro.",0.703478260869565,0.45,24,25,0.208694217631347,0.277076544293076
"s__Dorea_formicigenerans","GO.0003700.InterPro.",0.636363636363636,0.41304347826087,23,23,0.330555782243051,0.388604065229418
"s__Veillonella_parvula","GO.0003700.InterPro.",0.76140350877193,0.0931372549019608,19,17,0.0152578142066805,0.065116701372874
"s__Blautia_wexlerae","GO.0005886.PANTHER.",0.256521739130435,0.645217391304348,24,24,0.107842103455349,0.180230668399087
"s__Ruminococcus_gnavus","GO.0005886.PANTHER.",0.679130434782609,0.200769230769231,24,25,0.0443711210639961,0.109012057878676
"s__Extibacter_muris","GO.0006508.InterPro.",0.694736842105263,0.331269349845201,20,18,0.154597461649186,0.225135595786022
"s__Mediterraneibacter_faecis","GO.0006508.InterPro.",0.648785996612084,0.303359683794466,22,23,0.158796930527983,0.229131465537229
"s__Bacteroides_fragilis","GO.0007165.InterPro.",0.673913043478261,0.419413919413919,24,27,0.2227598202222,0.289891791126493
"s__Ruminococcus_gnavus","GO.0007165.InterPro.",0.856719367588933,0.703846153846154,23,25,0.19410433977588,0.263220619385522
"s__Oscillibacter_sp._ER4","GO.0007165.InterPro.",-0.244582043343653,-0.712781954887218,18,20,0.074590912745709,0.143207578021135
"s__Oscillibacter_sp._MSJ_31","GO.0007165.InterPro.",-0.0352941176470588,-0.724561403508772,16,19,0.0208315070305866,0.0761591262216679
"s__Oscillibacter_valericigenes","GO.0007165.InterPro.",0.153162055335968,-0.664935064935065,23,21,0.00396942823289951,0.0390952266516503
"s__Vescimonas_fastidiosa","GO.0007165.InterPro.",0.0021978021978022,-0.735294117647059,14,16,0.0250763735197705,0.0826817250259349
