"species","t","p","num_corr","BH_p"
"s__Streptococcus_mitis",247443020502993,1.28639670473122e-15,132,7.71838022838733e-14
"s__Vescimonas_coprocola",6076.51622595274,5.23836144715186e-05,61,0.00157150843414556
"s__Prevotella_sp._885",3268.57604393738,9.73848770759887e-05,213,0.00166667071423832
"s__Oscillibacter_valericigenes",2864.78190205226,0.000111111380949221,43,0.00166667071423832
"s__Prevotella_disiens",2086.2629301994,0.000152574182859962,66,0.00183089019431954
"s__Ligilactobacillus_ruminis",515.982870489998,0.000616899331086129,7,0.00616899331086129
"s__Roseburia_intestinalis",366.811196281195,0.000867773668955894,116,0.00659499559304537
"s__Blautia_faecicola",361.989335669826,0.000879332745739383,2,0.00659499559304537
"s__Prevotella_stercorea",289.147625044845,0.00110085157041057,144,0.00698910821563763
"s__Faecalibacterium_prausnitzii",273.261013086275,0.00116485136927294,125,0.00698910821563763
"s__Prevotella_bivia",205.766780492732,0.00154693279193449,34,0.00748275556812823
"s__Veillonella_parvula",196.332732523688,0.00162126370642778,9,0.00748275556812823
"s__Simiaoa_sunii",210.329002891278,0.0015133789605399,6,0.00748275556812823
"s__Ruminococcus_torques",160.676916189372,0.00198102990782266,39,0.00792411963129064
"s__Fusicatenibacter_saccharivorans",162.972805365362,0.00195312273558643,7,0.00792411963129064
"s__Waltera_intestinalis",125.361230195241,0.00253908751862925,3,0.00952157819485969
"s__Prevotella_ihumii",112.396540753248,0.00283195092605564,16,0.00999512091549051
"s__Sutterella_wadsworthensis",102.662084419902,0.00310046129839426,2,0.0103348709946475
"s__Prevotella_buccalis",85.2684378267069,0.0037328617979007,61,0.0111985853937021
"s__Holdemanella_porci",86.5740529741333,0.00367657190537421,40,0.0111985853937021
"s__Oscillibacter_sp._ER4",79.9589948495708,0.00398070651953101,41,0.01137344719866
"s__Prevotellamassilia_timonensis",61.9936141101109,0.00513411400611136,44,0.013016976247142
"s__Prevotella_pectinovora",66.4933731154729,0.00478673101825811,17,0.013016976247142
"s__Oliverpabstia_intestinalis",61.0776308425897,0.00521109683005313,7,0.013016976247142
"s__Faecalibacterium_sp._HTFF",58.6825832690367,0.00542374010297585,11,0.013016976247142
"s__Prevotella_corporis",50.2545622720375,0.00633311423550604,30,0.0140735871900134
"s__Anaerostipes_hadrus",52.0076195474785,0.00611969303277491,15,0.0140735871900134
"s__Finegoldia_magna",38.3329981563988,0.00830192584183217,30,0.0169554276643344
"s__Peptostreptococcus_anaerobius",36.3263085919661,0.00876030429323943,58,0.0169554276643344
"s__Anaerobutyricum_hallii",39.6893738537502,0.00801833146489684,21,0.0169554276643344
"s__Oscillibacter_sp._MSJ_31",36.9075829187259,0.00862240229369161,44,0.0169554276643344
"s__Blautia_massiliensis",34.9386728458284,0.00910804514574702,13,0.0170775846482757
"s__Phocaeicola_massiliensis",27.4681433598764,0.0115832135517441,11,0.0210603882758984
"s__Phocaeicola_vulgatus",24.3238538707979,0.0130789608799107,64,0.0224210757941326
"s__Prevotella_sp._Marseille_P4119",24.5261463575365,0.0129712050473455,104,0.0224210757941326
"s__Dorea_longicatena",21.2094653783194,0.0149968104520019,95,0.0249946840866698
"s__Gemmiger_formicilis",19.3261971155054,0.0164557084233852,14,0.0266849325784624
"s__Vescimonas_fastidiosa",18.6889951292194,0.0170157157355235,27,0.0268669195824055
"s__Prevotella_hominis",16.8590287943025,0.018858581426281,55,0.0278620456551794
"s__Extibacter_muris",15.6264625064936,0.0203421876741073,60,0.0278620456551794
"s__Roseburia_inulinivorans",15.0861040674614,0.0210687204193227,79,0.0278620456551794
"s__Prevotella_timonensis",15.2763701948858,0.0208070625195753,41,0.0278620456551794
"s__Coprococcus_comes",14.879143389672,0.0213609016689709,19,0.0278620456551794
"s__Mitsuokella_jalaludinii",15.7693738997924,0.0201583294949365,93,0.0278620456551794
"s__Holdemanella_biformis",15.3695299064781,0.0206812998638226,29,0.0278620456551794
"s__Dialister_invisus",16.7474348179723,0.0189839459224338,8,0.0278620456551794
"s__Ruminococcus_gnavus",14.2657130319403,0.0222764927468505,140,0.0284380758470432
"s__Dorea_formicigenerans",13.511291057149,0.0235159301101507,56,0.0293949126376884
"s__Mediterraneibacter_faecis",13.1507536249632,0.0241581962992281,217,0.0295814648561976
"s__Escherichia_coli",12.7669945406646,0.0248814484172219,169,0.0298577381006662
"s__Ruminococcus_bromii",12.2957806846182,0.0258308814311395,50,0.0303892722719289
"s__Ruminococcus_callidus",11.8104318970828,0.0268874561507515,16,0.0310239878662517
"s__Catenibacterium_mitsuokai",11.1586850251957,0.028449754076896,103,0.0322072687662973
"s__Prevotella_copri",9.65954506107242,0.0328359148168555,173,0.0364843497965061
"s__Blautia_wexlerae",8.16465575298976,0.0387931101858655,207,0.0423197565663987
"s__Collinsella_aerofaciens",7.61175220577233,0.0415800870856949,61,0.0445500933061017
"s__Bacteroides_fragilis",6.08663794493,0.0518334409319276,140,0.0545615167704501
"s__Roseburia_faecis",5.73576682673529,0.0549433661654001,26,0.0568379649986897
"s__Tyzzerella_nexilis",3.85841131485222,0.0807215507234408,7,0.0820897126001093
"s__Bacteroides_caccae",3.08456744992724,0.0997911798499853,7,0.0997911798499853
