"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Prevotella_copri","s__Prevotella_stercorea",0.447496947496948,0.722608695652174,27,24,0.155502901932191,0.270090124851953
"s__Prevotella_copri","s__Prevotella_hominis",0.845454545454545,0.498245614035088,21,19,0.0459591087951431,0.118187944164324
"s__Prevotella_stercorea","s__Prevotella_sp._885",0.71038961038961,0.0959752321981424,21,18,0.026294187468038,0.0881367001693204
"s__Prevotella_copri","s__Prevotellamassilia_timonensis",0.681818181818182,0.378947368421053,21,20,0.207169457755314,0.312785259748219
"s__Prevotella_corporis","s__Prevotella_disiens",0.6,0.67012987012987,15,21,0.742366824580863,0.783044458804472
"s__Prevotella_disiens","s__Finegoldia_magna",0.702941176470588,0.688735177865613,16,23,0.955752248251066,0.968327935728054
"s__Faecalibacterium_prausnitzii","s__Blautia_wexlerae",0.685217391304348,0.320779220779221,24,21,0.11993622552308,0.219883080125648
"s__Prevotella_disiens","s__Blautia_wexlerae",-0.736842105263158,0.0197628458498024,20,23,0.00423673658971336,0.046604102486847
"s__Prevotellamassilia_timonensis","s__Catenibacterium_mitsuokai",0.282142857142857,0.816305469556244,15,18,0.0297604442130173,0.0881367001693204
"s__Faecalibacterium_prausnitzii","s__Extibacter_muris",0.793984962406015,0.343653250773994,20,18,0.0441117725403043,0.118187944164324
"s__Prevotella_stercorea","s__Prevotella_sp._Marseille_P4119",0.800869565217391,0.665725578769057,24,22,0.349133273758336,0.44070921441626
"s__Prevotella_sp._885","s__Prevotella_sp._Marseille_P4119",0.688311688311688,0.356037151702786,21,18,0.182867092562197,0.287362574026309
"s__Prevotella_corporis","s__Prevotella_timonensis",0.665934065934066,0.764935064935065,14,21,0.581239356296644,0.630358175138614
"s__Prevotella_disiens","s__Prevotella_timonensis",0.75735294117647,0.82905138339921,17,23,0.566118180230258,0.623915111747104
"s__Finegoldia_magna","s__Prevotella_timonensis",0.701098901098901,0.65974025974026,14,21,0.861779061546463,0.884759836521035
"s__Blautia_wexlerae","s__Dorea_longicatena",0.779130434782609,0.573122529644269,24,23,0.215383902131618,0.318933855079511
"s__Faecalibacterium_prausnitzii","s__Collinsella_aerofaciens",0.697346132128741,0.31578947368421,22,20,0.114534214408132,0.219883080125648
"s__Prevotella_corporis","s__Collinsella_aerofaciens",-0.75,-0.00515995872033024,17,18,0.0110328456433197,0.058969637821399
"s__Blautia_wexlerae","s__Mediterraneibacter_faecis",0.54488989271598,0.662055335968379,22,23,0.567195556133731,0.623915111747104
"s__Prevotella_corporis","s__Prevotella_buccalis",0.525,0.804511278195489,15,20,0.163283255666864,0.273321971442359
"s__Prevotella_timonensis","s__Prevotella_buccalis",0.634803921568627,0.750423489553924,17,22,0.520235696024442,0.59788281483406
"s__Escherichia_coli","s__Roseburia_faecis",-0.677922077922078,-0.107826086956522,21,24,0.0287593281603708,0.0881367001693204
"s__Extibacter_muris","s__Roseburia_faecis",0.771428571428571,-0.0196078431372549,20,18,0.00389383720780715,0.046604102486847
"s__Roseburia_inulinivorans","s__Roseburia_faecis",0.45304347826087,0.758893280632411,24,23,0.111188483248377,0.219525979746795
"s__Collinsella_aerofaciens","s__Roseburia_faecis",0.701298701298701,0.328571428571429,21,21,0.119251673369767,0.219883080125648
"s__Prevotella_disiens","s__Prevotella_bivia",0.698245614035088,0.475296442687747,19,23,0.313037538761084,0.408540516688195
"s__Collinsella_aerofaciens","s__Prevotella_bivia",-0.77296181630547,0.0180451127819549,18,20,0.00389722753146149,0.046604102486847
"s__Blautia_wexlerae","s__Coprococcus_comes",0.712450592885375,0.479249011857708,23,23,0.248620481480931,0.345506422514181
"s__Roseburia_inulinivorans","s__Dorea_formicigenerans",0.598814229249012,0.705533596837945,23,23,0.559570841572949,0.623915111747104
