"species","t","p","num_corr","BH_p"
"s__Prevotella_bivia",80.636999480741,0.00394723975338275,4,0.0361361052377442
"s__Ruminococcus_torques",103.958253512642,0.00306180662186437,3,0.0361361052377442
"s__Oscillibacter_sp._ER4",55.7765480786651,0.00570626541316195,3,0.0361361052377442
"s__Roseburia_intestinalis",55.9343778823688,0.00569016750238944,3,0.0361361052377442
"s__Prevotella_ihumii",52.9961601340231,0.00600556937241211,3,0.0361361052377442
"s__Anaerobutyricum_hallii",66.4354376855205,0.00479090468622006,2,0.0361361052377442
"s__Streptococcus_mitis",51.7443096279691,0.00615082642344583,6,0.0361361052377442
"s__Oscillibacter_valericigenes",55.0416114371598,0.005782440999681,5,0.0361361052377442
"s__Fusicatenibacter_saccharivorans",40.5558143180173,0.00784709679029685,1,0.0362686759225235
"s__Simiaoa_sunii",37.4904483850575,0.00848841351378209,1,0.0362686759225235
"s__Waltera_intestinalis",37.4904483850575,0.00848841351378209,1,0.0362686759225235
"s__Extibacter_muris",31.6553438693467,0.0100521436685222,3,0.0393708960350453
"s__Collinsella_aerofaciens",28.9282010399822,0.0109990658000493,4,0.0397658532771013
"s__Coprococcus_comes",23.3896784790866,0.0136007065297287,4,0.0442419527946205
"s__Dorea_formicigenerans",22.5287686904265,0.0141197721684959,3,0.0442419527946205
"s__Prevotella_buccalis",20.5741307164614,0.0154591989707114,3,0.0454113969764647
"s__Blautia_wexlerae",15.488994680473,0.0205222308292721,8,0.0535858249430994
"s__Roseburia_faecis",16.3744164789724,0.0194153508558632,6,0.0535858249430994
"s__Prevotella_disiens",13.0969413066019,0.0242570737036256,6,0.0542896411462098
"s__Blautia_massiliensis",13.2413212385075,0.0239935870820229,5,0.0542896411462098
"s__Oliverpabstia_intestinalis",13.1443464464704,0.02416992695029,2,0.0542896411462098
"s__Catenibacterium_mitsuokai",11.8760566895547,0.0267395811840481,4,0.0548368857868064
"s__Escherichia_coli",11.0379239975997,0.0287593281603708,1,0.0548368857868064
"s__Ruminococcus_callidus",10.882212458955,0.0291685562695779,3,0.0548368857868064
"s__Vescimonas_fastidiosa",11.1975960150822,0.0283514157806389,4,0.0548368857868064
"s__Prevotella_corporis",7.35021549684287,0.0430419313465281,4,0.0778065682033393
"s__Prevotella_hominis",6.56471655129372,0.048118079955777,2,0.0807696342114829
"s__Prevotella_sp._885",6.81148962861801,0.0463998542019745,2,0.0807696342114829
"s__Prevotella_copri",5.5734583202263,0.0565104583446122,4,0.0820148092195231
"s__Prevotella_stercorea",5.20523200717079,0.0604158141673229,4,0.0820148092195231
"s__Prevotellamassilia_timonensis",5.98884647900624,0.0526645839770645,2,0.0820148092195231
"s__Prevotella_timonensis",5.00107059959275,0.062819853870273,5,0.0820148092195231
"s__Mediterraneibacter_faecis",5.67457631974422,0.0555239520320634,2,0.0820148092195231
"s__Veillonella_parvula",6.0532807681143,0.0521140106490982,1,0.0820148092195231
"s__Blautia_faecicola",5.12773054116536,0.0613066954729336,5,0.0820148092195231
"s__Faecalibacterium_sp._HTFF",5.26516767271985,0.0597442023611437,1,0.0820148092195231
"s__Faecalibacterium_prausnitzii",4.01908008799081,0.0776234695567645,6,0.0986027856531874
"s__Prevotella_pectinovora",3.68478807178237,0.0843531497592934,2,0.104331527333863
"s__Roseburia_inulinivorans",2.77570342886898,0.110069562803387,3,0.132647934660492
"s__Oscillibacter_sp._MSJ_31",1.6976927437384,0.169442015419394,5,0.199094368117788
"s__Dorea_longicatena",1.36693810223915,0.201043249740841,4,0.23046421311755
"s__Peptostreptococcus_anaerobius",1.28557299643701,0.210433528653384,4,0.235485139207358
"s__Prevotella_sp._Marseille_P4119",1.02634155076943,0.245862344252117,3,0.2687332599965
"s__Vescimonas_coprocola",0.983237157482079,0.252690374882954,3,0.269919264079519
"s__Holdemanella_porci",0.0716920500565281,0.477218688437483,1,0.487593007751342
"s__Holdemanella_biformis",0.0716920500565281,0.477218688437483,1,0.487593007751342
"s__Finegoldia_magna",-4.65186113902172,0.932599374613005,2,0.932599374613005
"s__Bacteroides_fragilis",NA,NA,0,NA
"s__Phocaeicola_vulgatus",NA,NA,0,NA
"s__Bacteroides_caccae",NA,NA,0,NA
"s__Ruminococcus_gnavus",NA,NA,0,NA
"s__Mitsuokella_jalaludinii",NA,NA,0,NA
"s__Phocaeicola_massiliensis",NA,NA,0,NA
"s__Tyzzerella_nexilis",NA,NA,0,NA
"s__Gemmiger_formicilis",NA,NA,0,NA
"s__Dialister_invisus",NA,NA,0,NA
"s__Ruminococcus_bromii",NA,NA,0,NA
"s__Ligilactobacillus_ruminis",NA,NA,0,NA
"s__Sutterella_wadsworthensis",NA,NA,0,NA
"s__Anaerostipes_hadrus",NA,NA,0,NA
