"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Catenibacterium_mitsuokai","GO_none",0.259803921568627,0.720300751879699,17,20,0.0801411531069731,0.20999292169438
"s__Mitsuokella_jalaludinii","GO_none",0.789285714285714,0.184641445511011,15,22,0.0198337815411556,0.13582819014943
"s__Faecalibacterium_prausnitzii","GO.0005524.InterPro.",0.444102564102564,0.735384615384615,26,25,0.125755725713964,0.26152543574567
"s__Escherichia_coli","GO.0005524.InterPro.",-0.415584415584416,-0.722077922077922,21,21,0.165776178968769,0.300124089615232
"s__Roseburia_inulinivorans","GO.0005524.InterPro.",0.624347826086956,0.53811405985319,24,22,0.681746741195633,0.742237762653157
"s__Mediterraneibacter_faecis","GO.0005524.InterPro.",0.732354601919819,0.722077922077922,22,21,0.945634752366555,0.957792045090359
"s__Coprococcus_comes","GO.0005524.InterPro.",0.325217391304348,0.762608695652174,24,24,0.033680866744708,0.156954458263989
"s__Dorea_formicigenerans","GO.0005524.InterPro.",0.484189723320158,0.708498023715415,23,23,0.267533281981987,0.385070266484371
"s__Roseburia_intestinalis","GO.0005524.InterPro.",0.66304347826087,0.371428571428571,23,20,0.222013902253154,0.34695095551443
"s__Faecalibacterium_prausnitzii","GO.0003677.InterPro.",0.501538461538461,0.656153846153846,26,25,0.438511307403456,0.535732761602495
"s__Prevotella_sp._885","GO.0003677.InterPro.",0.466233766233766,0.679220779220779,21,21,0.341460981661925,0.448935924553477
"s__Blautia_wexlerae","GO.0003677.InterPro.",0.718260869565217,0.680830039525692,24,23,0.814658200898716,0.847653382269036
"s__Catenibacterium_mitsuokai","GO.0003677.InterPro.",0.595588235294118,0.724812030075188,17,20,0.522196717072036,0.608886009274671
"s__Dorea_longicatena","GO.0003677.InterPro.",0.658461538461538,0.66798418972332,25,23,0.959889730651842,0.968501782955893
"s__Ruminococcus_gnavus","GO.0016020.InterPro.",0.651304347826087,0.203557312252964,24,23,0.0722686883777541,0.203341720215264
"s__Ruminococcus_gnavus","GO.0005975.InterPro.",0.733913043478261,0.477272727272727,24,23,0.186641726179494,0.317243955286037
"s__Dorea_formicigenerans","GO.0006355.InterPro.",0.704545454545455,0.153162055335968,23,23,0.0248841331949277,0.145915371144655
"s__Mediterraneibacter_faecis","GO.0016887.InterPro.",0.654432523997741,0.374025974025974,22,21,0.24340880119868,0.364227098216575
"s__Coprococcus_comes","GO.0016887.InterPro.",0.282608695652174,0.625217391304348,24,24,0.158131567332296,0.291933983007683
"s__Faecalibacterium_prausnitzii","GO.0005829.PANTHER.",0.543931623931624,0.747692307692308,26,25,0.236157431826574,0.358547132042354
"s__Blautia_wexlerae","GO.0005829.PANTHER.",0.479130434782609,0.689723320158103,24,23,0.305270016097684,0.41657372000397
"s__Escherichia_coli","GO.0005829.PANTHER.",-0.396103896103896,-0.694805194805195,21,21,0.196322928466899,0.324906231405646
"s__Dorea_longicatena","GO.0005829.PANTHER.",0.578461538461538,0.637351778656126,25,23,0.768050085699201,0.807152680102295
"s__Collinsella_aerofaciens","GO.0005829.PANTHER.",0.647656691134952,0.150762281197064,22,22,0.0611454355562786,0.18928256311364
"s__Mediterraneibacter_faecis","GO.0005829.PANTHER.",0.74025974025974,0.742857142857143,22,21,0.988296776119678,0.989762470491042
"s__Coprococcus_comes","GO.0005829.PANTHER.",0.319130434782609,0.759130434782609,24,24,0.0340964347289574,0.156954458263989
"s__Dorea_formicigenerans","GO.0005829.PANTHER.",0.531620553359684,0.737154150197628,23,23,0.272305117040809,0.3887605823775
"s__Fusicatenibacter_saccharivorans","GO.0005829.PANTHER.",0.1914172783738,0.708498023715415,22,23,0.0341003233842007,0.156954458263989
"s__Ruminococcus_gnavus","GO.0055085.InterPro.",0.754782608695652,0.402173913043478,24,23,0.0780964233482062,0.208694492458465
"s__Blautia_wexlerae","GO.0003824.InterPro.",0.470434782608696,0.708498023715415,24,23,0.239303846326758,0.361233616163163
"s__Mediterraneibacter_faecis","GO.0003824.InterPro.",0.427442123094297,0.681818181818182,22,21,0.262086531460081,0.380142078616693
"s__Roseburia_faecis","GO.0003824.InterPro.",0.348695652173913,0.671936758893281,24,23,0.156587198253135,0.290383556744829
"s__Coprococcus_comes","GO.0003824.InterPro.",0.34,0.746086956521739,24,24,0.0514211742426642,0.17891670473103
"s__Ruminococcus_gnavus","GO.0005515.InterPro.",0.719130434782609,0.320158102766798,24,23,0.070224200398429,0.201670592517238
"s__Ruminococcus_gnavus","GO.0003700.InterPro.",0.703478260869565,0.341897233201581,24,23,0.102350410054327,0.236253488354475
"s__Dorea_formicigenerans","GO.0003700.InterPro.",0.636363636363636,0.0691699604743083,23,23,0.034149116267393,0.157006149022918
"s__Ruminococcus_gnavus","GO.0005886.PANTHER.",0.679130434782609,0.265810276679842,24,23,0.0803091425629753,0.210316519055504
"s__Roseburia_faecis","GO.0005886.PANTHER.",0.286086956521739,0.641304347826087,24,23,0.142915805459947,0.276078059832108
"s__Fusicatenibacter_saccharivorans","GO.0005886.PANTHER.",-0.102202145680407,0.684782608695652,22,23,0.00397727393608921,0.096646615418246
"s__Faecalibacterium_prausnitzii","GO.0000166.InterPro.",0.208205128205128,0.713076923076923,26,25,0.0243546004112184,0.14481030961488
"s__Coprococcus_comes","GO.0000166.InterPro.",0.16501976284585,0.687826086956522,23,24,0.033019982013371,0.156954458263989
"s__Dorea_formicigenerans","GO.0000166.InterPro.",0.33300395256917,0.67094861660079,23,23,0.147012205884314,0.279657892850367
"s__Faecalibacterium_prausnitzii","GO.0006508.InterPro.",0.426324786324786,0.693846153846154,26,25,0.186427390179378,0.317221840668797
"s__Blautia_wexlerae","GO.0006508.InterPro.",0.413913043478261,0.707509881422925,24,23,0.164060686399018,0.298990627168849
"s__Extibacter_muris","GO.0006508.InterPro.",0.694736842105263,0.512254901960784,20,17,0.423271160928089,0.521515611066177
"s__Dorea_longicatena","GO.0006508.InterPro.",0.557692307692308,0.676877470355731,25,23,0.53838925320737,0.622545498999813
"s__Mediterraneibacter_faecis","GO.0006508.InterPro.",0.648785996612084,0.787012987012987,22,21,0.384385835969005,0.486868126105436
"s__Coprococcus_comes","GO.0006508.InterPro.",0.273913043478261,0.689565217391304,24,24,0.071091961834373,0.202440785295832
"s__Bacteroides_fragilis","GO.0007165.InterPro.",0.673913043478261,0.42,24,25,0.232452067793209,0.355944581943149
"s__Ruminococcus_gnavus","GO.0007165.InterPro.",0.856719367588933,0.459486166007905,23,23,0.0142311578947108,0.122404719357425
"s__Bacteroides_fragilis","GO.0000155.InterPro.",0.656521739130435,0.442307692307692,24,25,0.31502770833559,0.426076102232427
"s__Ruminococcus_gnavus","GO.0000155.InterPro.",0.861739130434783,0.485177865612648,24,23,0.0146526282314472,0.123024819982328
"s__Ruminococcus_gnavus","GO.0004553.InterPro.",0.717391304347826,0.459486166007905,24,23,0.199968167313599,0.32866812478838
"s__Faecalibacterium_prausnitzii","GO.0005525.InterPro.",0.397606837606838,0.74,26,25,0.0799254632680428,0.20989314714891
"s__Blautia_wexlerae","GO.0005525.InterPro.",0.386086956521739,0.706521739130435,24,23,0.136383581036565,0.27127063791124
"s__Escherichia_coli","GO.0005525.InterPro.",-0.297402597402597,-0.746753246753247,21,21,0.0520137356134383,0.17891670473103
"s__Mediterraneibacter_faecis","GO.0005525.InterPro.",0.675889328063241,0.744155844155844,22,21,0.679902558458158,0.740700482560893
"s__Coprococcus_comes","GO.0005525.InterPro.",0.188695652173913,0.776521739130435,24,24,0.00696453271791582,0.109430501700703
"s__Dorea_formicigenerans","GO.0005525.InterPro.",0.391304347826087,0.723320158102767,23,23,0.118481333947495,0.254002779335763
"s__Ruminococcus_gnavus","GO.0016491.InterPro.",0.672173913043478,0.407114624505929,24,23,0.227339661245271,0.352169324767329
"s__Faecalibacterium_prausnitzii","GO.0003723.InterPro.",0.427692307692308,0.769230769230769,26,25,0.0632572425337077,0.192417622559097
"s__Prevotella_sp._885","GO.0003723.InterPro.",0.716883116883117,0.538961038961039,21,21,0.377671698174488,0.481849964175655
"s__Escherichia_coli","GO.0003723.InterPro.",-0.47012987012987,-0.666233766233766,21,21,0.386270021198493,0.488458495312806
"s__Mediterraneibacter_faecis","GO.0003723.InterPro.",0.769621682665161,0.711688311688312,22,21,0.696553925146969,0.753981727831691
"s__Coprococcus_comes","GO.0003723.InterPro.",0.219130434782609,0.73304347826087,24,24,0.0230463522329178,0.142296535302219
"s__Dorea_formicigenerans","GO.0003723.InterPro.",0.422924901185771,0.725296442687747,23,23,0.145233236935174,0.278393151254083
"s__Faecalibacterium_prausnitzii","GO.0005737.InterPro.",0.385982905982906,0.703846153846154,26,25,0.122246084077465,0.258202519854414
"s__Roseburia_inulinivorans","GO.0005737.InterPro.",0.688695652173913,0.582156973461321,24,22,0.572615551259265,0.651131515709056
"s__Mediterraneibacter_faecis","GO.0005737.InterPro.",0.731225296442688,0.738961038961039,22,21,0.96176677118805,0.969767817279418
"s__Coprococcus_comes","GO.0005737.InterPro.",0.184347826086957,0.741739130434783,24,24,0.0143305239825681,0.122404719357425
"s__Dorea_formicigenerans","GO.0005737.InterPro.",0.478260869565217,0.715415019762846,23,23,0.23935669596739,0.361233616163163
"s__Roseburia_intestinalis","GO.0005737.InterPro.",0.677865612648221,0.273684210526316,23,20,0.104132227286134,0.238600600281899
"s__Faecalibacterium_prausnitzii","GO.0003676.InterPro.",0.452991452991453,0.742307692307692,26,25,0.122351632633226,0.258210852695245
"s__Prevotella_sp._885","GO.0003676.InterPro.",0.675324675324675,0.572727272727273,21,21,0.617783558210759,0.689148363961749
"s__Blautia_wexlerae","GO.0003676.InterPro.",0.429565217391304,0.672924901185771,24,23,0.261600528253195,0.37955362094931
"s__Escherichia_coli","GO.0003676.InterPro.",-0.468831168831169,-0.675324675324675,21,21,0.357465967896529,0.464199535012297
"s__Extibacter_muris","GO.0003676.InterPro.",0.73984962406015,0.509803921568627,20,17,0.287151171537209,0.401149873651183
"s__Dorea_longicatena","GO.0003676.InterPro.",0.563076923076923,0.733201581027668,25,23,0.342364468779395,0.449778086814814
"s__Mediterraneibacter_faecis","GO.0003676.InterPro.",0.716544325239977,0.766233766233766,22,21,0.741406900793179,0.787380458335061
"s__Coprococcus_comes","GO.0003676.InterPro.",0.245217391304348,0.754782608695652,24,24,0.0192098180625934,0.135529567137133
"s__Dorea_formicigenerans","GO.0003676.InterPro.",0.41897233201581,0.739130434782609,23,23,0.117625685837236,0.253741438923973
"s__Faecalibacterium_prausnitzii","GO.0005737.PANTHER.",0.538461538461538,0.636153846153846,26,25,0.62154985610306,0.692123950482724
"s__Blautia_wexlerae","GO.0005737.PANTHER.",0.607826086956522,0.689723320158103,24,23,0.655248140557071,0.719479201025151
"s__Dorea_longicatena","GO.0005737.PANTHER.",0.690769230769231,0.58399209486166,25,23,0.560579105885912,0.641668731101202
"s__Mediterraneibacter_faecis","GO.0005737.PANTHER.",0.639751552795031,0.744155844155844,22,21,0.545970138335475,0.629156714751777
"s__Roseburia_faecis","GO.0005737.PANTHER.",0.501739130434783,0.643280632411067,24,23,0.504747306717076,0.59351754200289
"s__Coprococcus_comes","GO.0005737.PANTHER.",0.429565217391304,0.72695652173913,24,24,0.139153567034862,0.274363382992368
"s__Dorea_formicigenerans","GO.0005737.PANTHER.",0.522727272727273,0.642292490118577,23,23,0.570794201263965,0.649842049464057
"s__Roseburia_intestinalis","GO.0005737.PANTHER.",0.691699604743083,0.386466165413534,23,20,0.184246442299584,0.315555410416714
"s__Fusicatenibacter_saccharivorans","GO.0005737.PANTHER.",0.20609824957651,0.662055335968379,22,23,0.0715750217060751,0.202617968867656
"s__Ruminococcus_gnavus","GO.0000160.InterPro.",0.809565217391304,0.229249011857708,24,23,0.00485540353425942,0.100744179141098
"s__Catenibacterium_mitsuokai","GO.0006310.InterPro.",-0.208333333333333,0.697744360902256,17,20,0.00363950836817627,0.0958481863929893
"s__Sutterella_wadsworthensis","GO.0006310.InterPro.",0.7,-0.230392156862745,19,17,0.00330156582785199,0.0958481863929893
"s__Ruminococcus_gnavus","GO.0043565.InterPro.",0.666086956521739,0.361660079051383,24,23,0.180296446960637,0.312986156732622
"s__Faecalibacterium_prausnitzii","GO.0009058.InterPro.",0.476239316239316,0.653846153846154,26,25,0.383689232180981,0.486246380836326
