"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"s__Fusicatenibacter_saccharivorans","GO.0005886.PANTHER.",-0.102202145680407,0.684782608695652,22,23,0.00397727393608921,0.096646615418246,0.786984754376059,3,1
"s__Catenibacterium_mitsuokai","GO.0006310.InterPro.",-0.208333333333333,0.697744360902256,17,20,0.00363950836817627,0.0958481863929893,0.906077694235589,7,2
"s__Sutterella_wadsworthensis","GO.0006310.InterPro.",0.7,-0.230392156862745,19,17,0.00330156582785199,0.0958481863929893,0.930392156862745,2,2
"s__Catenibacterium_mitsuokai","GO.0015074.InterPro.",-0.252450980392157,0.681203007518797,17,20,0.00320922452063029,0.0958481863929893,0.933653987910954,7,1
"s__Coprococcus_comes","GO.0003924.InterPro.",0.172173913043478,0.791304347826087,24,24,0.00402779421142256,0.096646615418246,0.619130434782609,10,1
"s__Fusicatenibacter_saccharivorans","GO.0006355.PANTHER.",0.262563523433089,0.894268774703557,22,23,0.000293884917753918,0.0448127098781538,0.631705251270469,3,1
"s__Coprococcus_comes","GO.0140662.InterPro.",0.0256916996047431,0.79304347826087,23,24,0.00090095288180304,0.0801931557841221,0.767351778656126,10,1
"s__Faecalibacterium_prausnitzii","GO.0009055.InterPro.",0.200769230769231,0.804615384615385,25,25,0.00297916818540924,0.0958481863929893,0.603846153846154,5,1
"s__Coprococcus_comes","GO.0051301.InterPro.",0.229813664596273,0.824347826086957,22,24,0.00352690504787726,0.0958481863929893,0.594534161490683,10,1
"s__Fusicatenibacter_saccharivorans","GO.0000976.PANTHER.",0.296442687747036,0.862648221343874,22,23,0.00209776597702864,0.0958481863929893,0.566205533596838,3,1
"s__Coprococcus_comes","GO.0006415.InterPro.",0.10695652173913,0.78,24,24,0.00277095290764017,0.0958481863929893,0.67304347826087,10,1
"s__Mitsuokella_jalaludinii","GO.0016620.InterPro.",-0.814285714285714,0.00846979107848673,15,22,0.00241191300255672,0.0958481863929893,0.822755505364201,1,1
"s__Roseburia_intestinalis","GO.0016810.InterPro.",0.74703557312253,-0.0977443609022556,23,20,0.00154056374280288,0.0958481863929893,0.844779934024785,3,1
"s__Coprococcus_comes","GO.0004222.PANTHER.",-0.206521739130435,0.646086956521739,23,24,0.00213699876085662,0.0958481863929893,0.852608695652174,10,1
"s__Prevotella_hominis","GO.0006629.InterPro.",-0.791228070175439,-0.0428571428571429,19,21,0.00325889862421576,0.0958481863929893,0.748370927318296,5,1
"s__Roseburia_intestinalis","GO.0006189.InterPro.",0.782608695652174,0.0195488721804511,23,20,0.00208691272931294,0.0958481863929893,0.763059823471723,3,2
"s__Peptostreptococcus_anaerobius","GO.0006189.InterPro.",-0.805882352941176,0.0875211744776962,16,22,0.00110786854023958,0.0918753436791664,0.893403527418873,5,2
"s__Coprococcus_comes","GO.0006261.InterPro.",-0.057029926595144,0.778656126482213,22,23,0.000748566986476265,0.0725155041576523,0.835686053077357,10,1
"s__Ruminococcus_bromii","GO.0004347.InterPro.",0.694736842105263,-0.247549019607843,19,17,0.00308811200245716,0.0958481863929893,0.942285861713106,2,1
"s__Prevotella_sp._885","GO.0004019.InterPro.",0.768833849329205,-0.0859649122807018,18,19,0.0026886319136287,0.0958481863929893,0.854798761609907,20,1
"s__Coprococcus_comes","GO.0032153.PANTHER.",0.134952004517222,0.805217391304348,22,24,0.00234926569681798,0.0958481863929893,0.670265386787126,10,1
"s__Roseburia_intestinalis","GO.0006012.InterPro.",0.76171654432524,0.0180451127819549,22,20,0.00386124583316606,0.0965340210916538,0.743671431543285,3,1
"s__Blautia_wexlerae","GO.0008295.InterPro.",-0.162055335968379,0.696640316205534,22,23,0.00171461598162252,0.0958481863929893,0.858695652173913,7,1
"s__Peptostreptococcus_anaerobius","GO.0006164.PANTHER.",-0.764705882352941,0.087012987012987,16,21,0.00337259204410166,0.0958481863929893,0.851718869365928,5,1
"s__Prevotella_hominis","GO.0008081.InterPro.",-0.76140350877193,0.0480519480519481,19,21,0.0028449361430207,0.0958481863929893,0.809455456823878,5,1
"s__Roseburia_faecis","GO.0003938.InterPro.",0.136081309994353,0.808300395256917,22,23,0.00246202719922261,0.0958481863929893,0.672219085262564,6,1
