"species","t","p","num_corr","BH_p"
"s__Streptococcus_mitis",231648785151718,1.37410557096302e-15,141,7.55758064029659e-14
"s__Dorea_formicigenerans",20191.283329158,1.57647179099244e-05,259,0.000433529742522921
"s__Prevotella_pectinovora",1463.45655731863,0.000217505490716794,16,0.00398760066314123
"s__Roseburia_faecis",887.848425060567,0.00035851812381181,112,0.00492962420241239
"s__Oscillibacter_sp._ER4",257.669703017802,0.00123533455573874,5,0.0135886801131261
"s__Prevotella_sp._885",193.461438071867,0.00164532557230317,250,0.0143471668455875
"s__Prevotella_disiens",174.318654058547,0.00182600305307477,24,0.0143471668455875
"s__Faecalibacterium_sp._HTFF",150.154251634921,0.00211985459502479,10,0.0145740003407954
"s__Prevotella_hominis",101.835296529574,0.00312563193990945,25,0.017744734311297
"s__Ruminococcus_bromii",98.6571222039917,0.00322631532932673,4,0.017744734311297
"s__Prevotella_corporis",48.7296587156833,0.00653124242768227,11,0.0242344545888503
"s__Ruminococcus_gnavus",42.4864521667451,0.00749064960019009,122,0.0242344545888503
"s__Prevotella_timonensis",59.9145767960703,0.005312235367467,24,0.0242344545888503
"s__Collinsella_aerofaciens",45.3113620781541,0.00702380611883565,53,0.0242344545888503
"s__Anaerobutyricum_hallii",43.5282679167241,0.00731143046555121,19,0.0242344545888503
"s__Sutterella_wadsworthensis",46.1958685678136,0.0068893645903901,12,0.0242344545888503
"s__Vescimonas_fastidiosa",49.392615413227,0.00644360300968566,4,0.0242344545888503
"s__Phocaeicola_massiliensis",35.9550352557752,0.00885071721573652,4,0.0270438581591949
"s__Phocaeicola_vulgatus",27.4779536922708,0.0115790816961301,60,0.0275278051771602
"s__Prevotella_stercorea",24.4470149167253,0.0130131442655666,109,0.0275278051771602
"s__Prevotella_buccalis",31.272088341447,0.0101752544595972,13,0.0275278051771602
"s__Prevotella_bivia",25.6719639874073,0.0123928593224494,13,0.0275278051771602
"s__Ruminococcus_torques",25.3412323561602,0.0125544334942821,26,0.0275278051771602
"s__Prevotella_ihumii",25.1528009640979,0.0126483860222239,15,0.0275278051771602
"s__Fusicatenibacter_saccharivorans",25.820593743224,0.0123215943894717,77,0.0275278051771602
"s__Vescimonas_coprocola",33.0513955292558,0.00962781768584672,42,0.0275278051771602
"s__Bacteroides_caccae",18.7589816967459,0.0169523531919193,6,0.0282539219865322
"s__Catenibacterium_mitsuokai",20.6754912536862,0.0153835292844929,248,0.0282539219865322
"s__Roseburia_inulinivorans",19.098153260535,0.0166518436540277,91,0.0282539219865322
"s__Prevotella_sp._Marseille_P4119",18.9981244942247,0.016739357668183,61,0.0282539219865322
"s__Coprococcus_comes",20.2567905102323,0.0157009911231397,244,0.0282539219865322
"s__Peptostreptococcus_anaerobius",19.1223720153458,0.0166307922418127,58,0.0282539219865322
"s__Anaerostipes_hadrus",19.6355341385991,0.0161969170064277,72,0.0282539219865322
"s__Prevotellamassilia_timonensis",17.1259942431512,0.0185652793426457,18,0.0291740103955862
"s__Ligilactobacillus_ruminis",17.5625064295823,0.0181048506435605,10,0.0291740103955862
"s__Holdemanella_porci",13.3881724605939,0.0237313874656813,96,0.0352503108846742
"s__Blautia_massiliensis",13.2004863035953,0.0240675277172576,128,0.0352503108846742
"s__Oliverpabstia_intestinalis",13.0442053470142,0.0243547602475931,8,0.0352503108846742
"s__Roseburia_intestinalis",11.6872955922783,0.0271693731948805,115,0.038315782710729
"s__Dialister_invisus",10.3405446783348,0.0306872731940279,1,0.0421950006417884
"s__Mitsuokella_jalaludinii",9.18152505732214,0.0345324043527439,32,0.0463239570585589
"s__Holdemanella_biformis",6.22427384924644,0.0507067649083286,11,0.0664017159513827
"s__Prevotella_copri",5.77581296823518,0.054569866127027,195,0.0697986659764299
"s__Blautia_wexlerae",5.55175896901784,0.0567266943171424,334,0.070908367896428
"s__Mediterraneibacter_faecis",5.31449743188579,0.0592024079189529,408,0.0723584985676091
"s__Escherichia_coli",4.85611974101245,0.0646445456009931,159,0.0761021072887719
"s__Oscillibacter_valericigenes",4.82631970156119,0.0650327098649505,3,0.0761021072887719
"s__Dorea_longicatena",4.36551288966067,0.071678033863795,262,0.0821310804689317
"s__Finegoldia_magna",4.14460821832019,0.0753606269231754,8,0.0838725306890196
"s__Extibacter_muris",4.09452521258753,0.076247755171836,90,0.0838725306890196
"s__Ruminococcus_callidus",3.80733049248253,0.0817578297098593,26,0.0881702085106326
"s__Bacteroides_fragilis",3.55468481009603,0.0872905319839187,209,0.0923265242137602
"s__Oscillibacter_sp._MSJ_31",3.17561969867798,0.0971065078244323,2,0.100770904346109
"s__Blautia_faecicola",2.16567675702825,0.137695024962918,1,0.140244932832602
"s__Faecalibacterium_prausnitzii",-42864145283972,0.999999999999993,381,0.999999999999993
"s__Gemmiger_formicilis",NA,NA,0,NA
