"","s__Prevotella_copri","s__Bacteroides_fragilis","s__Phocaeicola_vulgatus","s__Prevotella_stercorea","s__Faecalibacterium_prausnitzii","s__Prevotella_hominis","s__Prevotella_sp._885","s__Prevotella_corporis","s__Prevotellamassilia_timonensis","s__Prevotella_disiens","s__Finegoldia_magna","s__Blautia_wexlerae","s__Bacteroides_caccae","s__Catenibacterium_mitsuokai","s__Escherichia_coli","s__Extibacter_muris","s__Roseburia_inulinivorans","s__Ruminococcus_gnavus","s__Prevotella_sp._Marseille_P4119","s__Prevotella_timonensis","s__Dorea_longicatena","s__Collinsella_aerofaciens","s__Mediterraneibacter_faecis","s__Prevotella_buccalis","s__Roseburia_faecis","s__Prevotella_bivia","s__Coprococcus_comes","s__Mitsuokella_jalaludinii","s__Ruminococcus_torques","s__Phocaeicola_massiliensis","s__Oscillibacter_sp._ER4","s__Dorea_formicigenerans","s__Gemmiger_formicilis","s__Roseburia_intestinalis","s__Holdemanella_porci","s__Holdemanella_biformis","s__Peptostreptococcus_anaerobius","s__Ruminococcus_callidus","s__Dialister_invisus","s__Ruminococcus_bromii","s__Prevotella_ihumii","s__Fusicatenibacter_saccharivorans","s__Ligilactobacillus_ruminis","s__Anaerobutyricum_hallii","s__Sutterella_wadsworthensis","s__Anaerostipes_hadrus","s__Vescimonas_coprocola","s__Blautia_massiliensis","s__Streptococcus_mitis","s__Prevotella_pectinovora","s__Oscillibacter_sp._MSJ_31","s__Oliverpabstia_intestinalis","s__Oscillibacter_valericigenes","s__Blautia_faecicola","s__Vescimonas_fastidiosa","s__Faecalibacterium_sp._HTFF"
"s__Prevotella_copri",0,-0.118332257246146,0.119871955605402,-0.298556622815222,-0.115345422167554,-0.895778494934742,0.106108111129793,0.14712627492964,-0.637451798443855,-0.00861560361212516,-0.10014188171782,-0.0271147336671662,-0.077521465524367,-0.189056317921089,0.166902826944402,0.128412666159751,0.331095037210429,0.0575529483660605,-0.455423216360199,-0.0462542118973785,0.128281420570109,-0.129313191006747,-0.0722841773237083,-0.0887400797042376,0.280213993567644,-0.00211931971799695,0.123045858303429,-0.271268118829841,-0.607079671150073,-0.00619273031203013,0.0926066274160098,-0.100158163841614,-0.343775974294455,0.33519480214803,-0.219874331129662,-0.197873769421615,-0.0472763969768177,-0.468406736269072,-0.047956985808454,0.124587163821687,-0.215442520383055,0.360253164826741,0.138210841772092,0.454067866170918,0.303990733889716,0.547068787633126,0.796258374358597,0.639373246619294,0.933769434584512,-0.502354270251365,0.279170737876195,-0.189516839159386,0.0786192688653505,0.10639945138577,0.516316648550757,-0.324186818842696
"s__Bacteroides_fragilis",-0.118332257246146,0,-0.30764115207728,0.267048695623551,0.11642217836746,0.077692628591429,0.0256507549893395,0.00149253980781883,-0.0336601476215236,-0.241728369987416,-0.129040954329106,0.00127715772032905,0.00332855975412724,-0.0583837194114092,0.237151198279157,0.115335016773959,-0.480573463579934,-0.368312781507582,0.278260792329317,-0.0463658731926934,-0.504033609716157,-0.506151911389187,-0.190865528785013,-0.0358293685299292,0.0257106664217967,0.0415126876161785,0.0670869415047541,-0.13441104553547,0.000859835285398972,0.308511297221929,-0.390226709699544,-0.617905660946027,0.162214271081199,-0.259074136188703,0.0742034518276385,0.0324215184310171,-0.0635470140990049,-0.167747150566709,0.275936781120281,0.439502454665283,-0.238921849580004,-0.0149556275192312,0.0198586449527447,-0.305258550712047,-0.282827511349014,-0.0503838415405146,-0.434246789491575,-0.408161837034278,-0.0890305296132076,0.394408656839835,-0.293483538498874,0.0272874605880572,-0.319657497813463,-0.270790027226197,-0.0960051459023128,-0.69223779692976
"s__Phocaeicola_vulgatus",0.119871955605402,-0.30764115207728,0,0.152996146615721,0.269772200241784,0.150196264337285,0.448693374769754,-0.321833046714925,0.00274551183987415,-0.0223575202757465,0.00746082844203201,0.234716548102477,0.2433403196006,0.105707214862353,-0.236836235065856,-0.0760850377443106,0.191109623538243,-0.269812447275128,0.581268397721402,-0.31201938229839,0.268711956638664,0.200652298966843,0.375654232349255,-0.265791769198555,-0.0609543236050108,0.0425981094707441,-0.14383680436728,-0.262421050382754,0.0715448308298821,-0.0851293247269819,-0.215143086205083,0.18458018914735,0.480483097564553,0.148269392300765,0.40238964277782,0.239339839054328,0.374224806283895,0.402240465782987,-0.381755344525002,0.148785255776696,0.148938310843917,-0.209716762472519,0.236806753035037,-0.270514111455554,0.0709825840131855,-0.410154520831111,-0.523295728282752,-0.103527742797702,0.0669139979648903,0.470088800833571,-0.587903477119006,0.346225892810914,-0.390147496911094,-0.135144129651893,-0.37004168481388,0.0587496717249099
"s__Prevotella_stercorea",-0.298556622815222,0.267048695623551,0.152996146615721,0,0.176932544627868,0.154165417797305,-0.469280076341089,-0.287980240094611,-0.0589247134191015,-0.179747855644759,0.341593300602214,0.0517411166453851,0.562883474611125,-0.192710704959705,0.460867882918924,-0.740188091163337,-0.168316081125912,-0.137520066120247,-0.305491497879063,-0.0441346939055839,-0.297972263119256,-0.3382097005906,-0.48799350545321,-0.0970016085294352,-0.364074265275966,-0.143763272922571,0.059704249406833,0.11363397080257,0.013908446959668,-0.0907446005008942,-0.219163496136814,-0.285065739624732,-0.0506447495582114,-0.199095003069322,-0.263870957081842,-0.59287876192737,0.0230217051762608,-0.49409792096037,-0.0270906638376933,0.146764666599351,-0.297605988634012,0.186693457997588,-0.368516357833913,0.232149912731913,-0.100553145663521,0.45657780128468,0.758823488926867,-0.0641571110738468,-0.205294251629373,-0.100006897952613,0.305932422847934,-0.430918817268478,0.483521848838395,-0.278580505814541,0.600682084078912,-0.00264709496219659
"s__Faecalibacterium_prausnitzii",-0.115345422167554,0.11642217836746,0.269772200241784,0.176932544627868,0,0.165870304216129,0.142132353513276,0.896214679087972,0.0059203255534392,0.626864582401184,0.336179722589956,-0.202065996957202,0.0694624114238651,-0.341264322961393,0.0924526525861382,-0.775152306367706,-0.1051928590619,-0.15983119827436,-0.0371722741847719,0.61898687001565,-0.133394399312214,-1.18083690189011,0.0695811516162663,0.127499376702065,-0.233233304938582,0.944391780889268,0.0961690591728421,-0.274954995482917,-0.104080905298991,0.160258859008009,-0.227928518848436,0.570134593925991,0.0467515666646606,-0.0825408496256592,-0.410949389323493,-0.280373790824889,0.943262842085058,-0.71470244530715,-0.284520288103039,-0.172888894280985,1.03938900781646,-0.319886067665269,-0.542176896551794,-0.260962277682249,-0.350889153392607,0.265366660243528,0.118356747309833,-0.0874674255307823,0.469431775170088,0.14281393858265,0.0854460964380606,-0.561065749495657,-0.159064810648272,-0.0821663420518778,-0.19048627067632,-0.137116157508911
"s__Prevotella_hominis",-0.895778494934742,0.077692628591429,0.150196264337285,0.154165417797305,0.165870304216129,0,-0.0373193737456144,0.179522264724446,-0.27376805162907,-0.226032967360424,-0.189022367143017,0.0330672635378978,0.506164292767369,-0.58733807175358,-0.125681045232033,-0.0703507549268274,-0.157057835676814,0.0587886939947861,-0.488651180111426,0.243178326550914,-0.0342992587012942,-0.570663435806182,-0.477328638414821,0.232908752484838,0.109742169210625,0.384329575778898,0.308709778548869,-0.104840213953652,-0.449734841241389,0.460739957580981,-0.263418436783653,-0.188698653254774,-0.429496669593727,0.642058822779884,-0.504061582304002,-0.620280246694216,0.0482277520235526,-0.780869333631683,-0.083498932143866,0.392556235839128,-0.223136339887603,0.442855086703322,0.0275443772053138,-0.181283057291437,0.115514687269673,0.440976117058612,0.0545096150636741,0.229153625170795,0.737417647948318,-0.0787637176165251,0.202414164828795,-0.338962810390161,0.184534835129595,0.363649569790086,0.292940524099746,-0.0051436403639955
"s__Prevotella_sp._885",0.106108111129793,0.0256507549893395,0.448693374769754,-0.469280076341089,0.142132353513276,-0.0373193737456144,0,-0.180623254769285,0.118295897028402,-0.0222517511755258,-0.0425421598307468,0.0842035750135428,0.696537163555218,0.111654539475674,-0.0415444267384936,0.117610236840853,0.109981215811123,0.040098340960848,-0.423131292214236,-0.320456314911208,0.117528672528441,-0.0740832126330819,-0.145705695904567,-0.0874507878939155,0.0855701399528445,0.211418587043145,0.370660153378019,0.199521948206998,-0.0519201644928111,-0.036432959097806,-0.611262168878142,0.0583846769507222,-0.119393236199492,0.0646535452257751,0.476879250565391,0.0306583649174373,0.15591137904215,-0.12104358354592,0.0613311966015185,-0.355199960462191,-0.058837819841315,0.41153617967042,-0.0206009541320458,0.148073872528346,0.119945771611192,0.23213717242572,0.629456413054737,0.405682108705977,-0.104701521585435,0.0666876995895208,-0.255331871925904,0.275999515189311,0.294178130664716,0.363989135526728,-0.306496085338444,-0.0152848898161544
"s__Prevotella_corporis",0.14712627492964,0.00149253980781883,-0.321833046714925,-0.287980240094611,0.896214679087972,0.179522264724446,-0.180623254769285,0,-0.378815177070442,0.0079524706473173,-0.364771230654927,0.287144473114075,-0.00280701754385965,0.634338566431942,-0.377729148771869,1.17738233149186,0.355940829800607,0.0447998906469611,-0.29991600737803,0.13774213437215,0.333221070275992,0.867323206222125,0.0659843823279947,0.480850509999923,0.451095942177267,-0.463748818302716,0.591084741811636,-0.0302433618180186,0.548019392924562,0.327373673010603,0.058177232113906,0.532742136638096,-0.250056369287351,0.395236455268682,0.269199467977913,0.125427314085966,-0.162164887637645,0.588147768840777,1.04828830303544,-0.552116701550455,-0.248329131558846,0.338194010134794,0.830837905346022,0.651285858913777,0.171796971433103,0.490252520473842,0.390224554888485,0.456580952024854,-0.710320049357789,-0.092660975464748,0.025714850045254,0.329570800992966,0.0424314306106541,0.482667413878851,0.430935874069622,0.304132761083736
"s__Prevotellamassilia_timonensis",-0.637451798443855,-0.0336601476215236,0.00274551183987415,-0.0589247134191015,0.0059203255534392,-0.27376805162907,0.118295897028402,-0.378815177070442,0,-0.147888066755132,-0.251537494191251,0.0530791816018883,0.296298295680378,0.0750455819711207,0.172078231464725,0.415961929923031,0.645822723133287,0.114613520020897,-0.0945313934900943,-0.161801640334186,0.162337414006083,0.425907731200758,0.211899624074833,-0.308565100696907,0.102686046469179,-0.233433527707795,0.590834504598253,-0.328549107681696,-0.0437847323012941,-0.45671368596936,-0.303317691893907,0.140289015214958,-0.161790603770027,0.333183727965355,0.633866324147604,0.209415135612579,0.212310170654984,-0.0671180447048039,0.15097474048427,-0.179463444126005,0.355593727915931,0.266010124882333,0.257839432359831,0.240358796792018,0.398636151396841,0.274797056919361,0.108115946711346,0.549007197838965,0.139739291780165,0.352515531881018,-0.0169516732312876,0.597439775861304,0.515075155536301,0.497702089339031,0.496812769004236,-0.159875783168533
"s__Prevotella_disiens",-0.00861560361212516,-0.241728369987416,-0.0223575202757465,-0.179747855644759,0.626864582401184,-0.226032967360424,-0.0222517511755258,0.0079524706473173,-0.147888066755132,0,-0.5696643487651,1.00665081420764,0.20274103079344,0.6091723775258,-0.374310962040972,0.472233332779077,0.08328538551637,-0.174917557231791,0.341440607653485,-0.122966580570383,0.593922575826119,0.179282655575972,0.103544055773679,-0.322462169748944,0.291082120228475,-0.727406115355952,0.580356192601327,-0.239233351167957,0.33182157167506,0.654627317331502,-0.407069825726355,0.380606192601347,-0.494556376667062,0.260013156056009,0.50327983462091,0.454782839279883,0.0368179010473312,0.16669560793181,0.59735689740536,-0.396339700401846,0.152407344454887,0.170728876531687,0.65578295858166,0.222983872344327,0.451891332639272,0.557205909599783,-0.36736701698217,0.809059416362596,-0.644260098118005,0.328950454937903,-0.215285853457495,0.270464166555463,-0.536765657505287,0.293692071219916,0.0442315636708251,-0.0196473033846292
