"","s__Prevotella_copri","s__Bacteroides_fragilis","s__Phocaeicola_vulgatus","s__Prevotella_stercorea","s__Faecalibacterium_prausnitzii","s__Prevotella_hominis","s__Prevotella_sp._885","s__Prevotella_corporis","s__Prevotellamassilia_timonensis","s__Prevotella_disiens","s__Finegoldia_magna","s__Blautia_wexlerae","s__Bacteroides_caccae","s__Catenibacterium_mitsuokai","s__Escherichia_coli","s__Extibacter_muris","s__Roseburia_inulinivorans","s__Ruminococcus_gnavus","s__Prevotella_sp._Marseille_P4119","s__Prevotella_timonensis","s__Dorea_longicatena","s__Collinsella_aerofaciens","s__Mediterraneibacter_faecis","s__Prevotella_buccalis","s__Roseburia_faecis","s__Prevotella_bivia","s__Coprococcus_comes","s__Mitsuokella_jalaludinii","s__Ruminococcus_torques","s__Phocaeicola_massiliensis","s__Oscillibacter_sp._ER4","s__Dorea_formicigenerans","s__Gemmiger_formicilis","s__Roseburia_intestinalis","s__Holdemanella_porci","s__Holdemanella_biformis","s__Peptostreptococcus_anaerobius","s__Ruminococcus_callidus","s__Dialister_invisus","s__Ruminococcus_bromii","s__Prevotella_ihumii","s__Fusicatenibacter_saccharivorans","s__Ligilactobacillus_ruminis","s__Anaerobutyricum_hallii","s__Sutterella_wadsworthensis","s__Anaerostipes_hadrus","s__Vescimonas_coprocola","s__Blautia_massiliensis","s__Streptococcus_mitis","s__Prevotella_pectinovora","s__Oscillibacter_sp._MSJ_31","s__Oliverpabstia_intestinalis","s__Oscillibacter_valericigenes","s__Blautia_faecicola","s__Vescimonas_fastidiosa","s__Faecalibacterium_sp._HTFF"
"s__Prevotella_copri",NA,NA,NA,NA,NA,0.00720245723718713,NA,NA,0.0558306250527701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0226490630508488,NA,NA,NA,NA,NA,NA,NA
"s__Bacteroides_fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Phocaeicola_vulgatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_stercorea",NA,NA,NA,NA,NA,NA,0.165264219767265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341568574051454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770617170246601,NA,NA,NA,NA,NA,NA
"s__Faecalibacterium_prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517803862058909,NA,NA,NA,0.031729318005697,NA,NA,NA,NA,NA,0.00027307909504192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0714001685686923,NA,NA,NA,NA,0.00877666745949339,NA,NA,NA,0.00353667204949254,NA,NA,NA,NA,NA,NA,NA,0.236978610553335,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_hominis",0.00720245723718713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120038288930122,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_sp._885",NA,NA,NA,0.165264219767265,NA,NA,NA,NA,0.730626976835166,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210887685046187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_corporis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725082154827822,NA,0.0162526200037951,NA,0.202188733820345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotellamassilia_timonensis",0.0558306250527701,NA,NA,NA,NA,NA,0.730626976835166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_disiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00291561341529812,NA,NA,NA,NA,NA,NA,NA,0.727001505913067,NA,NA,NA,NA,NA,0.034254521532972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243757901639125,NA,NA,NA,NA,NA,NA,NA,NA
"s__Finegoldia_magna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Blautia_wexlerae",NA,NA,NA,NA,0.517803862058909,NA,NA,NA,NA,0.00291561341529812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794472569642748,NA,0.28494406438057,NA,NA,NA,0.769183708215182,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0529419449399233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451249519710158,NA,NA,NA,NA,NA,0.101473252306269,NA,NA
"s__Bacteroides_caccae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Catenibacterium_mitsuokai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914134378545666,NA,NA,0.179621009537995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0438995354120041,NA,NA,NA,NA,NA,NA,NA
"s__Escherichia_coli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494618795901801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0060288984433469,NA,NA
"s__Extibacter_muris",NA,NA,NA,NA,0.031729318005697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454518111200142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131121576769905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
