"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Prevotella_stercorea","GO_none",0.00296442687747036,0.377837837837838,23,75,0.120853985584497,0.522586247614081
"s__Gemmiger_formicilis","GO_none",0.350790513833992,-0.47485987696514,23,76,0.000554024262745556,0.0707628795776902
"s__Ruminococcus_flavefaciens","GO.0005524.InterPro.",-0.0266798418972332,0.491062569418734,23,74,0.0269094030674702,0.301369054897619
"s__Bacteroides_thetaiotaomicron","GO.0005524.InterPro.",0.0731225296442688,-0.399837005100163,23,77,0.050714867251064,0.385262208248326
"s__Vescimonas_fastidiosa","GO.0005524.InterPro.",0.165443252399774,0.39560697518444,22,71,0.330405683350817,0.734489597984268
"s__Ruminococcus_sp._210702_SL_1_03","GO.0005524.InterPro.",0.2343308865048,0.388155017058875,22,70,0.504131799647613,0.836301924747055
"s__Flavonifractor_plautii","GO.0005524.InterPro.",0.0523715415019763,0.399337504600662,23,77,0.143141481436998,0.550089812631261
"s__Pumilibacter_sp._CLA_AA_M10","GO.0005524.InterPro.",0.575438596491228,0.612291980682273,19,58,0.811951575038546,0.952286165906226
"s__Pseudoflavonifractor_sp._MSJ_30","GO.0005524.InterPro.",0.251948051948052,0.511293850056863,21,70,0.243569765892996,0.668026838193012
"s__Anaerocaecibacter_sp._CLA_AA_M11","GO.0005524.InterPro.",0.25077399380805,0.50469100864376,18,58,0.299375586425845,0.714087883739912
"s__Pumilibacter_sp._CLA_AA_M10","GO.0003677.InterPro.",0.292982456140351,0.493924759297425,19,58,0.391850809871701,0.772239132628274
"s__Prevotella_sp._885","GO.0016020.InterPro.",0.0988142292490119,-0.476927453769559,22,75,0.0175466575934168,0.25912922464411
"s__Prevotella_sp._Marseille_P4119","GO.0016020.InterPro.",-0.0705815923207228,-0.45126600284495,22,75,0.108266533007518,0.506468685285368
"s__Bacteroides_fragilis","GO.0016020.InterPro.",-0.101778656126482,0.385772122614228,23,77,0.0454716510490054,0.367240545618002
"s__Prevotella_sp._P4_67","GO.0016020.InterPro.",-0.0683229813664596,-0.44916163648558,22,71,0.110932625895241,0.510643587924711
"s__Prevotella_sp._P5_64","GO.0016020.InterPro.",-0.136363636363636,-0.45962441314554,23,71,0.1576523132226,0.569607334421226
