"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Prevotella_copri","s__Prevotella_stercorea",0.355731225296443,0.483926031294452,23,75,0.524347981554728,0.783485207960153
"s__Prevotella_copri","s__Prevotella_hominis",0.568181818181818,0.680977415771936,23,74,0.442648988088671,0.720373210712889
"s__Prevotella_stercorea","s__Prevotella_hominis",0.352766798418972,0.519763050721955,23,74,0.402623006089511,0.697430210221693
"s__Prevotella_copri","s__Prevotellamassilia_timonensis",0.565217391304348,0.430729359496483,23,74,0.502431085023679,0.769595078585518
"s__Prevotella_stercorea","s__Prevotellamassilia_timonensis",0.325098814229249,0.609537208441318,23,74,0.139507361397716,0.486390530278524
"s__Prevotella_hominis","s__Prevotellamassilia_timonensis",0.730237154150198,0.510767616932,23,73,0.164542215602296,0.501400294788099
"s__Prevotella_copri","s__Prevotella_sp._885",0.604743083003953,0.480853485064011,22,75,0.52146204657927,0.782193069868905
"s__Prevotella_stercorea","s__Prevotella_sp._885",0.185770750988142,0.663413940256045,22,75,0.0178601873935494,0.198709140670459
"s__Prevotella_hominis","s__Prevotella_sp._885",0.612648221343874,0.542302850796001,22,74,0.713413492831849,0.926479938677602
"s__Prevotellamassilia_timonensis","s__Prevotella_sp._885",0.562958780350085,0.607315808959645,22,74,0.766366146635227,0.951723794510655
"s__Prevotella_sp._885","s__Bacteroides_caccae",-0.717673630717109,-0.275874822190612,22,75,0.0191095334374043,0.199875390277715
"s__Succinivibrio_dextrinosolvens","s__Succinivibrio_sp._AGMB01872",0.992857142857143,0.983864082643217,15,52,0.233279535595763,0.590060001801047
"s__Phocaeicola_vulgatus","s__Bacteroides_uniformis",0.302371541501976,0.563147378936853,23,77,0.192453958512386,0.542966103566308
"s__Catenibacterium_mitsuokai","s__Bacteroides_uniformis",-0.310276679841897,-0.413056892508947,23,73,0.62864694574436,0.862717617032153
"s__Phocaeicola_vulgatus","s__Bacteroides_ovatus",0.137351778656126,0.491403333508597,23,77,0.112856283686016,0.446296200179777
"s__Bacteroides_uniformis","s__Bacteroides_ovatus",0.219367588932806,0.637388926862611,23,77,0.0349252381783432,0.237123985526646
"s__Faecalibacterium_prausnitzii","s__Roseburia_inulinivorans",0.41403162055336,0.447026657552973,23,77,0.852120161604083,0.96614359010801
"s__Bacteroides_caccae","s__Roseburia_inulinivorans",-0.176877470355731,-0.377490930122509,23,77,0.382886128510789,0.679710696026034
"s__Roseburia_faecis","s__Roseburia_inulinivorans",0.33695652173913,0.399398496240602,23,76,0.759474379485644,0.951723794510655
"s__Prevotella_stercorea","s__Parabacteroides_distasonis",-0.0602766798418972,-0.429075391180654,23,75,0.116372169523648,0.446296200179777
"s__Phocaeicola_vulgatus","s__Parabacteroides_distasonis",0.378458498023715,0.619512066880488,23,77,0.189747202000787,0.542966103566308
"s__Prevotella_sp._885","s__Parabacteroides_distasonis",-0.0988142292490119,-0.534964438122333,22,75,0.0541386727143437,0.2993095191493
"s__Bacteroides_uniformis","s__Parabacteroides_distasonis",0.58498023715415,0.710657763289342,23,77,0.367458379820413,0.674896768825625
"s__Bacteroides_ovatus","s__Parabacteroides_distasonis",0.58596837944664,0.532598979967401,23,77,0.787529297907922,0.960500551969469
"s__Roseburia_inulinivorans","s__Roseburia_intestinalis",0.222332015810277,0.520874914559125,23,76,0.161902977466569,0.497273430790176
"s__Catenibacterium_mitsuokai","s__Dorea_longicatena",0.473320158102767,0.467481179809947,23,73,0.999960105503668,0.999960105503668
"s__Roseburia_inulinivorans","s__Dorea_longicatena",0.0345849802371542,0.370787107629213,23,77,0.161208411352322,0.497273430790176
"s__Roseburia_faecis","s__Extibacter_muris",-0.0502540937323546,0.503561643835616,22,74,0.0202418535198165,0.206147297688658
"s__Roseburia_inulinivorans","s__Extibacter_muris",0.27046866177301,0.533180303591262,22,74,0.215389050016208,0.575013478137242
"s__Roseburia_intestinalis","s__Extibacter_muris",0.0321852060982496,0.57503146982599,22,74,0.0164415757954261,0.198709140670459
"s__Prevotella_copri","s__Prevotella_sp._Marseille_P4119",0.557312252964427,0.54873399715505,22,75,0.991349638882534,0.998179121089892
"s__Prevotella_stercorea","s__Prevotella_sp._Marseille_P4119",0.466967814793902,0.751173639392817,22,74,0.0656723374610615,0.334410455229353
"s__Prevotella_hominis","s__Prevotella_sp._Marseille_P4119",0.654432523997741,0.467723065531285,22,74,0.307687546451392,0.64018860471338
