"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"s__Prevotella_sp._Marseille_P4119","s__Ruminococcus_bromii",-0.79785431959345,-0.105042576823399,22,74,0.000175835058474753,0.0226827225432431,0.692811742770051,1,1
"s__Ruminococcus_flavefaciens","s__Parabacteroides_merdae",-0.809288537549407,-0.236934468715291,23,74,0.000618079980873267,0.0280385954017865,0.572354068834116,1,1
"s__Ruminococcus_bicirculans","s__Waltera_intestinalis",-0.687182382834557,0.0698575082206796,22,69,0.000581026497603166,0.0280385954017865,0.757039891055236,1,1
"s__Bacteroides_stercoris","s__Gemmiger_formicilis",-0.822134387351779,0.135311004784689,23,76,3.95088070708003e-07,0.000152899083363997,0.957445392136468,2,3
"s__Sutterella_wadsworthensis","s__Gemmiger_formicilis",-0.693675889328063,0.0881650071123755,23,75,0.000244807333653336,0.0236851095309602,0.781840896440439,1,3
"s__Vescimonas_fastidiosa","s__Gemmiger_formicilis",0.665725578769057,-0.0134473507712944,22,71,0.00203585165912322,0.0585410463338164,0.679172929540351,1,3
"s__Odoribacter_splanchnicus","s__Alistipes_shahii",-0.457933370976849,0.477882265827471,22,74,0.000106859727226628,0.0206773572183526,0.93581563680432,1,1
"s__Succinivibrio_dextrinosolvens","s__Phascolarctobacterium_sp._Marseille_Q4147",-0.536764705882353,0.439525882922109,17,53,0.000514002387877454,0.0280385954017865,0.976290588804462,1,1
"s__Kineothrix_sp._MSJ_39","s__Eubacterium_coprostanoligenes",0.648785996612084,-0.123296299536349,22,70,0.000702207719095022,0.0280385954017865,0.772082296148432,1,1
"s__Bacteroides_stercoris","s__Megasphaera_elsdenii",-0.695087521174478,-0.0493298778230285,22,74,0.00216327522324665,0.0585410463338164,0.645757643351449,2,1
"s__Roseburia_intestinalis","s__Roseburia_sp._CLA_AA_H204",0.761857707509881,0.184539059607553,23,74,0.00162215711971892,0.0523145671109353,0.577318647902329,1,1
"s__Anaerostipes_hadrus","s__Blastocystis_sp._subtype_1",-0.79656862745098,0.0552631578947368,17,39,0.000381958381570724,0.0280385954017865,0.851831785345717,1,1
"s__Dialister_succinatiphilus","s__Blautia_luti",0.693675889328063,0.0535714285714286,23,64,0.00228391610757218,0.0585410463338164,0.640104460756635,1,1
"s__Mitsuokella_jalaludinii","s__Oscillibacter_sp._MCC667",0.374364765669113,-0.385565567316945,22,70,0.00242030165721205,0.0585410463338164,0.759930332986059,1,1
"s__Anaerovibrio_lipolyticus","s__Anthropogastromicrobium_aceti",0.772058823529412,0.0462269585253456,17,63,0.00128692012727408,0.0452761899322788,0.725831865004066,1,1
"s__Coprococcus_comes","s__Faecalibacterium_sp._CLA_AA_H233",-0.654432523997741,-0.0209432672590567,22,76,0.0037436918181012,0.085224043153245,0.633489256738685,1,1
"s__Clostridium_sp._1001270H_150608_G6","s__Microviridae_sp.",-0.778571428571429,0.126640926640927,15,36,0.00072451150909009,0.0280385954017865,0.905212355212355,1,1
