"","s__Prevotella_copri","s__Prevotella_stercorea","s__Prevotella_hominis","s__Phocaeicola_vulgatus","s__Succinivibrio_dextrinosolvens","s__Faecalibacterium_prausnitzii","s__Catenibacterium_mitsuokai","s__Prevotellamassilia_timonensis","s__Prevotella_sp._885","s__Bacteroides_caccae","s__Butyrivibrio_crossotus","s__Roseburia_faecis","s__Succinivibrio_sp._AGMB01872","s__Bacteroides_uniformis","s__Lachnospira_eligens","s__Bacteroides_ovatus","s__Roseburia_inulinivorans","s__Parabacteroides_distasonis","s__Roseburia_intestinalis","s__Dorea_longicatena","s__Extibacter_muris","s__Prevotella_sp._Marseille_P4119","s__Prevotella_pectinovora","s__Simiaoa_sunii","s__Bacteroides_fragilis","s__Coprococcus_eutactus","s__Bacteroides_stercoris","s__Ruminococcus_flavefaciens","s__Ruminococcus_callidus","s__Bacteroides_thetaiotaomicron","s__Blautia_wexlerae","s__Ruminococcus_bromii","s__Anaerostipes_hadrus","s__Coprococcus_comes","s__Holdemanella_biformis","s__Mitsuokella_jalaludinii","s__Parabacteroides_merdae","s__Holdemanella_porci","s__Brachyspira_aalborgi","s__Hallella_faecis","s__Odoribacter_splanchnicus","s__Oscillibacter_sp._ER4","s__Sutterella_wadsworthensis","s__Ruminococcus_bicirculans","s__Vescimonas_coprocola","s__Mediterraneibacter_faecis","s__Prevotella_sp._P3_122","s__Vescimonas_fastidiosa","s__Oscillibacter_valericigenes","s__Oscillibacter_sp._MSJ_31","s__Kineothrix_sp._MSJ_39","s__Anaerovibrio_lipolyticus","s__Prevotella_sp._P4_67","s__Waltera_intestinalis","s__Dialister_succinatiphilus","s__Duodenibacillus_massiliensis","s__Faecalibacterium_sp._HTFF","s__Blautia_obeum","s__Ruminococcus_sp._210702_SL_1_03","s__Bifidobacterium_adolescentis","s__Fusicatenibacter_saccharivorans","s__Prevotella_sp._P4_51","s__Anaerobutyricum_hallii","s__Collinsella_aerofaciens","s__Clostridium_sp._D43t1_170807_D5","s__Phascolarctobacterium_succinatutens","s__Gemmiger_formicilis","s__Flavonifractor_plautii","s__Prevotella_sp._P5_64","s__Alistipes_shahii","s__Prevotella_sp._P5_108","s__Veillonella_parvula","s__Ruminococcus_torques","s__Clostridium_sp._1001270H_150608_G6","s__Prevotella_multisaccharivorax","s__Brotolimicola_acetigignens","s__Paraprevotella_clara","s__Clostridium_sp._L2_50","s__Phascolarctobacterium_sp._Marseille_Q4147","s__Blautia_massiliensis","s__Roseburia_hominis","s__Roseburia_sp._CLA_AA_H209","s__Waltera_sp._CLA_AA_H273","s__Eubacterium_coprostanoligenes","s__Pumilibacter_sp._CLA_AA_M10","s__Megasphaera_elsdenii","s__Roseburia_sp._CLA_AA_H204","s__Pseudoflavonifractor_sp._MSJ_30","s__Dorea_formicigenerans","s__Parabacteroides_sp._AGMB00274","s__Clostridium_sp._BIOML_A1","s__Victivallis_vadensis","s__Blastocystis_sp._subtype_1","s__Clostridium_sp._AF15_41","s__Blautia_luti","s__Oscillibacter_sp._MCC667","s__Clostridium_sp._AF23_8","s__Butyricimonas_virosa","s__Clostridium_sp._AM42_36","s__Alistipes_communis","s__Ruminococcus_sp._NSJ_71","s__Butyricimonas_faecihominis","s__Alistipes_senegalensis","s__Dysosmobacter_sp._BX15","s__Oliverpabstia_intestinalis","s__Anaerocaecibacter_sp._CLA_AA_M11","s__Sutterella_sp._AM11_39","s__Sutterella_sp._KLE1602","s__Clostridium_sp._AF43_10","s__Anthropogastromicrobium_aceti","s__Lachnoclostridium_sp._210928_DFI_6_3","s__Absicoccus_porci","s__Faecalibacterium_sp._I3389","s__Ruminococcus_sp._FMBCY1","s__Eubacterium_ramulus","s__Faecalibacterium_sp._CLA_AA_H233","s__Mogibacterium_kristiansenii","s__Anaerotignum_faecicola","s__Methanobrevibacter_smithii","s__Ruminococcus_sp._BSD2780120874_150323_B10","s__Desulfovibrio_piger","s__Clostridium_sp._AF37_5","s__Clostridium_sp._AF36_4","s__Bacteriophage_sp.","s__Microviridae_sp.","s__Metaprevotella_massiliensis"
"s__Prevotella_copri",0,0.160923143379315,0.194349632095164,-0.0518071538696242,-0.073737021740946,-0.264582341891913,0.223018519365626,-0.169779438307439,-0.165347985041397,0.145780788149361,0.316215782698668,0.0265770850042017,-0.32639647709137,-0.0377938044873586,-0.10095166391227,-0.107645327608796,-0.0204542151682639,-0.0544653448618789,-0.142840465971799,0.050082606756105,-0.141925408353608,-0.00279627791085368,-0.261516101709576,-0.251616096779941,-0.144920941096223,-0.0527535850889305,-0.318947138338595,-0.0587243012928055,0.38412598668716,0.0173950755560082,0.305382155416237,0.378209954847412,-0.106283954884278,0.0235348274269048,-0.16029063424839,0.614084319560443,-0.0464777129358919,-0.162917800765601,-0.407105547993605,-0.118836517795972,0.0811737770933516,-0.409090175317368,-0.377796412004648,0.0271769153710863,-0.127610527980004,-0.159042152723483,-0.0395019209097653,-0.0160398600092508,-0.0603399208259964,0.105462007684463,0.456717686020741,-0.128005372576121,-0.0504542617588401,-0.301600024278861,-0.178727610922106,0.173525346553579,-0.0528204562481726,0.416359432439564,-0.0977166737967438,-0.600121720575667,0.22030395425765,-0.259355879747419,-0.211240523421426,-0.00143933069206012,0.191937630685014,-0.0368933850146602,0.219605353447975,0.104614150506958,-0.206577575176799,-0.286305372005171,-0.27920416476836,-0.183702917116145,-0.0157423201549676,0.0134726239836208,-0.0345293322002623,-0.277119719489961,-0.0733425371783812,-0.0437132609755513,-0.295268146463671,0.011701319936341,0.184291763459142,-0.0323988712267402,-0.178597924504298,0.371941206109083,-0.0397621437247153,0.3250320987139,-0.156516551524186,0.220104319359255,0.165720855901897,-0.173352511651185,-0.0459715915798775,0.296812017308707,-0.439502535426343,0.0669867544983475,-0.150367517177251,-0.00226284314275971,0.136378627574387,-0.0946062658851296,-0.0899790294797613,-0.287140560164795,0.00387879388771403,-0.147984959430241,0.151102977101028,-0.0485167002709631,0.302666431787905,-0.41285354705366,-0.0729407925679763,-0.20619730074887,0.00723138882206797,-0.00105737838290247,0.27074975952228,-0.36235730077571,-0.16259932022919,-0.214636068338831,0.0131392526494007,0.0232712956607592,-0.0779778490303087,-0.429360378095634,0.330170725201752,-0.0294344867113114,-0.0280800209523183,-0.118409306739664,-0.0905300175370637,-0.0907386628169594,-0.0335064382457344,0.334689699275766
"s__Prevotella_stercorea",0.160923143379315,0,0.211872155303206,-0.305089432113883,-0.168135679403465,-0.258539208059107,0.246797551141699,0.374060329094789,0.610874180553126,0.187403230439944,-0.0725250234182248,-0.0675492020436733,-0.38743351356625,-0.335312265412702,-0.111496761455277,-0.447314629189721,-0.176220608764398,-0.39688381004559,-0.0207429307017408,0.426042184487006,-0.0797371728208467,0.475430834318305,0.272718854255366,-0.329516878982547,-0.296024575582489,0.0670722940751673,-0.361683655683951,-0.177382536440749,0.196720062712884,-0.00865228753859875,0.0495678486368589,0.00740732596745652,0.0989090688900534,0.210056373269644,-0.204294467629762,0.189658646114659,-0.284361443307672,-0.470068332151306,0.0764125806108407,0.419957973605044,0.263511260750419,-0.161338888544283,-0.300813523360827,-0.0829128435868057,0.0585361715363479,0.173725160948125,0.460688462279605,0.409623131137601,0.216150102313547,0.176877365749279,0.0337379910874804,-0.273782874167278,0.283314416157361,-0.256737846583232,0.0649788338026308,-0.341218614303684,0.234310670601387,0.32368612623953,0.0711876651876953,-0.083879968278801,0.0879456903458384,0.182548574197683,-0.098583758406737,0.168800816574342,-0.223489968492798,-0.202184877942669,0.0617670330259607,0.30627929827366,0.0895290296854739,-0.404625561976649,0.0322492998682987,-0.0973094239594833,0.106524380957565,0.0649445552532465,0.346276727187613,-0.396766256848225,-0.025048440880171,-0.0136522200156005,-0.365475789861769,0.0682175020367309,-0.187639352920797,-0.192748165437623,-0.288781226277311,-0.264749005752323,0.559894984428606,0.692105029212225,-0.0417908118848468,0.59176080441584,0.402308944374034,-0.213448420534717,-0.14297288963834,-0.052383876666644,-0.460552344749359,-0.243278911251358,0.208577332625493,0.137214797463132,0.0955727111342857,0.303455544016919,0.139759707429985,0.529952577845453,0.0282479008396515,-0.328131835024876,0.0403930253461067,0.151799963975627,0.212381690686301,0.152056146625261,-0.234340284401082,-0.580884797892051,0.302083527734149,-0.350520682041905,-0.430422905310018,-0.387045363577063,-0.150248546219028,0.120618749870729,0.0395683426532769,0.126459862713557,0.0647340887842879,-0.259548891815275,0.0276662488815357,-0.312472290158955,-0.29347704787272,0.0185754688433516,0.233182904250159,0.145810591087004,-0.155691253633114,0.289249348864341
"s__Prevotella_hominis",0.194349632095164,0.211872155303206,0,0.248751898780004,-0.709042131018596,-0.418035804456765,-0.044687803127059,-0.352418187615762,-0.0948652800322252,0.320431459290026,0.126067432119555,-0.101111193218417,-0.83433720181775,0.12820008739049,-0.112617996306545,0.335551123057486,-0.179441394476983,0.168271335151291,0.0823743180404607,0.204030217701653,-0.0400908817141907,-0.263482747374793,-0.341552140687825,-0.425225277407576,0.0460781244807243,0.0722065647657429,0.360003069848566,-0.505476520748416,-0.110682076470835,0.450100138782753,0.40591592657699,-0.0609743420580776,0.341516628095764,0.294794648877596,0.242242844091589,0.0688081125370662,0.093433519841717,0.344955938258144,-0.25205050487218,-0.0111038628469377,0.131709203540451,-0.315925629249587,0.149783908427224,-0.163601493632942,-0.340677954515304,0.144339660937273,-0.235540534393628,0.13228255202294,-0.249291298233601,-0.152635773440035,0.442758617355951,-0.0625819479154436,-0.149719699496639,-0.242306561354999,-0.41009363581155,0.0639694129229564,-0.0527747321343913,0.0761639291520961,-0.403247118021681,-0.401237762574844,0.103977469523109,-0.269068670151624,-0.230721113703477,-0.00792220293686155,-0.414766100536181,0.219039916317329,-0.327734946931302,-0.250875876423161,-0.30632754528252,-0.214775583019883,-0.00407907697434368,-0.0435376502793617,0.427928577988479,-0.315234572041063,-0.149117277470968,-0.361210535564105,0.1670740145188,-0.298268210948684,0.163459605372726,-0.382322864934556,-0.216843468501629,0.0178376929655564,-0.375974320636896,-0.0568930673926531,0.0492649158633335,-0.0439252199636797,0.0480272717134249,0.133810132487185,0.278058149588911,-0.075028228373613,-0.28064353382193,-0.301803360608518,-0.171574850643236,-0.238195773090129,-0.271354048298176,0.0144302159492048,-0.0955780814374628,-0.0478033345242434,-0.516290616888994,-0.331709241476004,-0.239896111438703,-0.153353020936402,-0.281381529888402,-0.218113170558726,0.256456863151032,-0.0335089650226031,0.0715088556368415,-0.174807583425223,-0.301757204432638,-0.116641614945912,-0.0779122382597133,-0.157686465885174,0.163895608832876,-0.566777243630764,0.355902954262188,0.21028025566923,-0.0929112954102738,-0.0965436063348089,0.0810624293369657,-0.303933104928396,-0.430759134837265,-0.362063692874415,-0.182623970722612,-0.0468119874377432,-0.0368342556960175,0.00133221328488484
"s__Phocaeicola_vulgatus",-0.0518071538696242,-0.305089432113883,0.248751898780004,0,0.835554686792952,0.309786662992516,-0.099434396240323,0.457914888284262,0.12055846205268,-0.328297591431978,-0.522411505066563,0.00835112577372282,0.582614928412293,0.328469790577648,-0.0552844377361716,0.399572034013194,0.0482883232020558,0.330479236439337,-0.24240549770593,-0.115948051542008,-0.1188635387856,0.0571371466273953,0.310184478270716,0.177321982290638,0.550266725305252,-0.0359496976849578,0.12722403682627,0.368642244278005,-0.0630970606360985,0.048065744123813,-0.165252136239664,-0.0362439974133081,0.00949764811312177,-0.5191676530035,-0.453890909418667,-0.154706015312404,0.151420163623518,-0.0991242930005864,0.156399031048335,0.0801521902806565,0.215999446021091,0.296563672631019,0.285381171781517,-0.18280389647425,-0.0220033254056474,-0.101189491291483,-0.0477093856098434,-0.0332938657736263,0.225855560884993,0.20898914594178,-0.0302629351808521,-0.28999790860819,-0.19740602216541,0.0861559425261276,0.131401941065458,-0.106256003944076,-0.116266518543739,0.117351034693712,-0.0599532639018659,0.105391093905475,-0.094837327397701,0.0164538441850205,0.234224010797258,0.161295421396058,-0.190676890683859,0.0658164848272443,0.532875448992651,0.281840625320885,0.0575993449559233,-0.00669321604480136,-0.15682922180248,-0.129462860016298,-0.1491565151944,-0.241844860490187,-0.120600846529017,0.114877808686795,0.0318104255245828,-0.290440177581535,0.0546657259579439,0.0423426179625672,0.00418776084062839,-0.423659188681277,0.143404917655998,0.242313831418841,-0.103329350296638,0.167035839044536,-0.419436394404186,-0.260902899265166,-0.0507798143791034,0.0988397144796428,-0.0273788808754766,0.140401887510003,-0.169923988969293,-0.112554626280827,-0.193319289334362,0.0756366010916992,-0.165820429386329,0.359446850745045,-0.0772553841699769,-0.0389490140983021,0.124472330364445,0.315156706339318,0.231931267054642,0.0681741508560031,-0.467118014640194,0.151927493425089,0.166059445281753,0.307701307202142,-0.282784449157995,-0.161135496452677,0.0491774007270177,-0.170408156767087,-0.276877850306539,0.177898081908414,-0.154968591476597,-0.192104689974642,0.129645626249026,0.00559811351726078,-0.250358449529902,0.0985402517283616,0.629851158857399,-0.401117330067805,-0.488322220282963,-0.390389013676948,0.574815756310499,0.152672144268302
"s__Succinivibrio_dextrinosolvens",-0.073737021740946,-0.168135679403465,-0.709042131018596,0.835554686792952,0,-0.319605653778254,-0.0192395847952078,-0.39663105431781,-0.767221513998635,0.4129676423605,-0.0305461170332502,0.0641411374783372,-0.383915383640655,-0.253675296421928,-0.00608238406219697,0.0934027543924441,-0.0424895218092822,0.168011175653932,-0.350978752806489,-0.195621539862226,0.0393470511651557,-0.554483060375904,-0.390476814358958,-0.295646288129908,-0.0930496506711334,-0.163795471159255,0.222875461666564,-0.094611137971454,-0.175794107982452,-0.0160446552362349,-0.194938248495856,0.459710376393808,-0.263470302698318,-0.238583522677541,0.618189825419416,0.420284998087987,-0.0122933020385977,0.118008437900172,-0.145159503912133,-0.036035135246189,0.043122352401225,0.2427979434213,0.0106601293047458,0.546892089637468,-0.380969730836158,-0.193338197013836,-0.721320791951847,-0.236186764420941,-0.266719548042015,-0.202308080285542,-0.0377356159801934,-0.200649971824502,-0.23966798716179,-0.117217826601819,-0.380160903383864,-0.200974469123443,-0.422402736812599,-0.229612053510761,0.0480719673449356,0.0470809181357053,-0.18913608627713,-0.436400012363973,-0.703475025027686,-0.0770021342226034,-0.0453520694380835,0.77256143666391,0.186509564188412,-0.30456342723207,-0.469115696004402,-0.220568163550251,-0.260351107796328,0.288728324262276,0.124608457259663,0.150249257174307,0.0744931865664242,0.105192493003968,0.00206471087353596,-0.147597536230426,1.05024266892134,-0.463716215071216,-0.0478119479293656,0.197081362663206,-0.0309617993934013,-0.017376658050093,0.163604158772265,0.332700733217017,-0.0028018514664972,-0.266299045819712,-0.221346945038727,0.417329613621601,-0.0286858281444992,0.0825704580905257,0.0423227455765177,-0.0580378446666539,-0.518346362556903,-0.122470663065736,0.227684657695798,-0.18393023473993,0.174053456178186,-0.408518629352558,0.436659670661792,-0.102852819662685,-0.457578741797411,-0.394314301223337,0.131394197288467,0.472009392726913,-0.383942724397116,-0.12639231268706,-0.00707342245498127,-0.116189639876299,0.0127049802277494,-0.230632646723551,0.0538543808651554,-0.239590813883273,-0.125914045611447,0.0471117812557564,0.441806224343072,-0.119135198497076,0.245303384197249,-0.215519414221197,-0.344794455573055,0.162269732362448,0.0757079555671318,-0.203993283778171,0.409764470945919,-0.224536716105847
"s__Faecalibacterium_prausnitzii",-0.264582341891913,-0.258539208059107,-0.418035804456765,0.309786662992516,-0.319605653778254,0,0.111948271453439,-0.309882268341109,-0.342797596309965,0.0273696071402314,0.198887036842087,0.0949069561542376,-0.14004170269896,-0.0773015088278339,-0.19997416526508,0.260852838535461,0.0469798314645327,0.0670372199160977,0.33164986922911,0.1563606822902,-0.0787404720267598,-0.379621427162739,-0.176471094146325,-0.25256790841557,0.400406434680615,-0.0694494517628263,0.100276602335607,0.0152958135603101,0.0573152233434057,0.116460673087234,0.768179567727588,0.0947523836686775,0.178789047615636,0.444613735471637,-0.0671706422363217,0.158376980859039,-0.0154198539277896,-0.0975032855676304,-0.0882456157121812,-0.817522082917358,0.00225774041043048,-0.469509355130779,0.131766207558711,-0.160084571558542,-0.211410757724702,0.378172066254309,-0.595858132989872,-0.138727007786268,-0.454329980441673,0.103999918177365,0.267801800182741,-0.341925050910309,-0.248365942809602,-0.138549092041697,0.278807238926567,0.336947820892993,0.0467176672088168,0.466475378865663,-0.0320894604491273,0.246072659262445,0.121150127866035,-0.15620206387305,0.0299927154463805,0.69998618073952,-0.0103201741508596,0.0959198364206747,0.0788226303222059,0.0595240258995937,-0.00302961948489777,-0.0607932847410979,-0.178416470552185,0.0499879815199819,0.377486057227495,0.0886392677848375,-0.055143167393993,-0.326249509594303,-0.129505064827647,0.174218695944639,0.0795162722224741,0.210361422383846,-0.00609827188064177,0.0488415999013093,-0.195488000349931,0.207605377010927,-0.0569782502109199,0.107108576453882,0.0227205055043216,-0.143448815708557,0.650387212191732,0.0935924102743188,-0.0813669515634918,-0.0510740827654517,-0.399792088376235,0.330357497573055,0.186664006302322,-0.317727763706669,0.529107221814054,0.18714971641128,0.0420301903587838,0.0204272085387228,0.0527234562387134,0.476555884026513,-0.0204909418473703,-0.609030967675931,0.249059542436969,0.0236406100065473,0.289967077375765,0.0167116856719111,0.309324474902979,0.107374653271516,0.20547125627677,0.213867367033758,-0.0693540922559588,-0.139291865861949,0.271099065294968,-0.123696090883925,-0.0695486804315988,-0.0283348445037637,-0.0162823855915065,0.0588685913522559,-0.053123862014146,-0.283226603880267,-0.151775634429463,0.299883930921892,-0.0981561179269682,-0.0144213025670932
"s__Catenibacterium_mitsuokai",0.223018519365626,0.246797551141699,-0.044687803127059,-0.099434396240323,-0.0192395847952078,0.111948271453439,0,-0.0563107121297544,0.491396507046129,0.0351250181355144,-0.0608004719903012,0.160456012184969,0.114512023287225,-0.122623133675395,0.0597325526492304,-0.0595002892608968,0.593986541202423,-0.295500324073078,0.18949477715332,1.26773990820617e-05,0.00117761268400327,0.164745713341243,0.191186216725686,-0.148235708389985,-0.150384370573296,-0.137886683650517,0.42771510975211,-0.413647532710749,-0.614593059866736,0.0886200853902195,-0.229186236900507,-0.153948740636138,0.0710261748699361,-0.306891228570059,0.1221578320852,-0.15215668321601,-0.184449843055812,0.0300166212666642,-0.260052958267202,0.0645508946967372,-0.335026788047677,-0.205891324864434,0.338757455858395,-0.435926591451012,-0.79322711097889,0.187497380422109,0.591013957625955,-0.716186388234836,-0.528479769474706,-0.55994759562574,-0.0305401989122745,0.309886179069861,-0.333948722912552,-0.0202653516551264,0.240959549919325,0.555670120387777,0.0341938067463368,-0.0727041055145789,-0.306388236980232,0.179125619819338,-0.099127637331699,-0.0755175791449142,0.200320496055085,-0.117244588408519,-0.286307247240882,-0.254397476840957,-0.399970054694944,-0.934257482556999,-0.0392553283173261,-0.465332909826277,0.0778994135619008,0.254883817183803,0.0416777795354358,-0.249998814958097,0.0428736298555513,-0.10890141972008,-0.0382519743960265,0.128540621340256,0.00360257521123955,-0.20637958162525,0.187892780126872,0.08485877504485,-0.105633350603195,0.12802439596957,-0.028793053070622,-0.0453884687357824,0.464990552136356,0.0770145870038401,-0.138154428103932,-0.255027042192655,-0.179279634635228,-0.469053611637738,0.320558174278473,-0.135378936142325,0.298793213145727,-0.326331799953832,-0.379868768013595,-0.187005111168664,-0.106262327013946,-0.190575329576817,-0.0360529146342731,-0.00307556278400267,-0.314808233359415,-0.543485568424385,0.518626343885575,0.0599049037297297,0.317803441884746,0.292823918986397,-0.25530024831804,0.199535431563758,0.0920818401231904,-0.208301090821396,0.0567031081573143,0.0116306247488743,-0.00207711425716051,0.584088748128228,0.338138913475348,0.225608025204598,0.0296186051376458,0.0209223501269267,-0.0817490356545242,0.344111126387682,0.0247198063965765,0.213063426868356,-0.35872331295329,-0.203444931892034
"s__Prevotellamassilia_timonensis",-0.169779438307439,0.374060329094789,-0.352418187615762,0.457914888284262,-0.39663105431781,-0.309882268341109,-0.0563107121297544,0,0.0767474433731716,0.335234678794283,0.0448069997836338,0.0235701571898401,-0.342569518681661,0.30775464833687,-0.318134669664071,0.320505519968642,0.0505265654560252,0.164135701072792,0.153686212866109,0.0441674859923631,-0.137484008590162,-0.0283695848841613,0.0468447561325311,-0.608765768896156,0.128945426487976,-0.084686173403352,0.158459962863591,-0.645723877505873,-0.328172169672967,0.492067191592272,0.493857806759818,0.290313795523538,-0.0664119598024085,0.273107639492158,-0.0968913515219802,0.272848234869132,0.208168631322141,-0.0554786433420924,-0.714377265512962,-0.145829797949027,0.140027342729008,-0.231316823322893,0.0503876873289729,-0.348592332347516,-0.169436762733809,0.165003379051748,-0.0294972264876507,0.0957961018923459,-0.175561612570635,-0.176244353477196,-0.0354707954558362,-0.0611290789353548,-0.261303538795302,-0.609807821028711,0.00292663123888632,-0.122995255401919,0.0197281989485315,0.0546021116344349,-0.420222841779219,-0.0375280952502403,0.332568726949662,-0.0450588478567067,-0.0173285942791479,0.0514138538038576,-0.295369488176973,-0.00462437099751045,0.0352819004518845,-0.172720751536193,-0.00130152937115108,-0.0812836588266859,0.00382179282955708,-0.164290513159166,0.255689665859611,-0.105011525397849,-0.00512781389407155,-0.59989577538231,0.272789073737682,0.0202611050238137,-0.206972349227586,-0.140557415174951,-0.0362867437276964,-0.058628304510334,-0.426269029004075,-0.0628110020523197,-0.359477053549616,0.0637463639259041,-0.0606148200687339,0.0105426657319099,0.267286686874132,-0.00336561976006697,-0.0065518783840015,-0.0850207226794686,0.0553713213200652,0.213763649695424,-0.0800103703957378,0.203566162592309,-0.21718758089943,0.0359001555795728,-0.43935844222922,-0.114837375365192,-0.390749278368741,-0.00533190732965491,-0.107058866575908,-0.108975112349872,0.403964711631161,-0.135328040532125,-0.183556336342986,-0.0427482788995487,-0.239539510532516,-0.105825220428253,-0.207776904105215,0.0313425756591681,-0.0436032797970801,-0.645676771684616,0.101918930666395,-0.104833755309358,-0.0175233222273446,-0.153053588332421,0.0634247663572715,-0.311927161611402,-0.584738484782974,-0.124634611123363,-0.1576855497518,0.281757090619181,0.284205878288231,0.135735347913002
"s__Prevotella_sp._885",-0.165347985041397,0.610874180553126,-0.0948652800322252,0.12055846205268,-0.767221513998635,-0.342797596309965,0.491396507046129,0.0767474433731716,0,0.604396197672598,0.333477558627193,0.264712352870132,-0.878965734689593,-0.253686279459076,-0.0138983552837931,-0.313644438042497,0.0617818265683965,-0.496674659087276,-0.0134318338399672,0.248484170915124,-0.126557478611717,0.230851186958272,0.0052967533498085,0.0163049593662077,-0.308478526837934,0.212312058295736,-0.522264822833527,-0.00819861702921185,0.245438684108386,-0.122092455147983,0.40510718393404,0.368440494557197,0.07088570312269,0.568794751792259,0.462270961161297,0.48290502406367,-0.417779794391098,0.146270264544893,-0.303299372091158,0.0190288666790815,-0.164331735177476,-0.335869221122358,-0.369921997152289,-0.146084812344453,0.00918873771869866,0.0144335672140964,0.100484373890492,0.151666418485685,0.0890645074246428,-0.239317590846371,0.249605970803858,0.0435223074904876,0.173224860790453,0.00775156794129397,-0.335232384407202,-0.312670020675344,-0.0818982340577703,0.0286287105431527,-0.0463763925521294,-0.262573036265685,0.242175846476664,-0.268504062956541,-0.300185142290837,0.0576120425731982,-0.214079334317646,0.0214884139607609,0.123075638979357,-0.0125994107073053,0.0308103351628374,-0.0236357009738239,0.0541474214109812,-0.125305038805238,0.190456861873051,-0.174767575557352,-0.0971406999702837,-0.0476692321622429,-0.29884560600479,0.0288643210399776,-0.0878882822718911,-0.0382768692312372,0.109029974739389,0.0310001356983799,0.00726388594685815,0.0702094904197041,-0.159745337142264,0.448239578573567,-0.263935805361517,0.110557609204094,0.294414546846367,-0.0161223704547298,0.100074291226519,0.219693458138373,-0.253532629588742,0.0459432505667148,-0.132826004918713,0.0458618689718473,-0.0406692795630796,-0.554237674335522,-0.254988620949924,-0.268874808936127,0.00533741010728372,-0.462791823594917,0.173131745103774,-0.181535380035428,0.24578760242669,-0.473168037062222,-0.351802196838592,-0.57501876905075,-0.0386606278440881,0.156095961907587,0.146491094895823,0.0748503579469295,-0.36762091698341,-0.141538126170479,0.0612786664399702,-0.176688702366237,-0.178968599932503,-0.261337926570568,-0.0973630830688055,-0.0121424744489578,-0.534759351645006,-0.261327157817416,-0.0186036660322585,0.159232527990881,0.116951185921326,0.252335653928278
"s__Bacteroides_caccae",0.145780788149361,0.187403230439944,0.320431459290026,-0.328297591431978,0.4129676423605,0.0273696071402314,0.0351250181355144,0.335234678794283,0.604396197672598,0,-0.312384207829694,-0.230553930896145,0.329945311730514,-0.02816617771449,0.00416289884519346,0.0103842522748568,-0.21990936514516,-0.0613665895052107,-0.345583874276972,-0.300921709865101,-0.0560798481028101,0.550435676757748,0.52115105614679,0.105605814355475,0.123738290884281,0.171308161744836,0.175902127983502,0.444016131301489,0.0334267899638038,-0.320968950773618,-0.247806527958065,-0.147678185723738,-0.186642619091891,-0.601272224112358,-0.0616344149603197,-0.314150792782287,-0.163236168690797,0.116399468903118,0.697859924995695,0.565631967020761,0.0522046090569452,0.614425533163393,0.112255513351953,0.166420896557557,0.272632880685075,-0.16813165769793,0.105848680676919,0.139888326216591,0.235413030086796,0.23172366414085,0.223053005706094,0.425385867820864,0.176594703116188,-0.092804525183166,-0.0238737458027011,0.127141697689876,-0.35861332188902,-0.394593253497512,0.30973290675168,-0.224909634382801,-0.646856858096751,0.211072442600888,-0.00523475527133528,-0.137408154452317,0.0679321723451432,0.0800357132607476,-0.240671005366168,0.288433532520862,0.490176809937672,-0.0184548327745186,0.273928017725058,-0.240647482411379,-0.131294801962053,-0.0277576459476025,-0.068580676462493,0.0327047888500828,-0.37487290614288,0.0619421971869906,0.0669129050163198,-0.039451324159451,-0.113271691733404,-0.270128389013242,0.00599150053018002,0.486863191028376,-0.233055754824248,-0.672634281908008,0.017478707413283,-0.0741131874537832,-0.377174807315658,0.176181253662941,0.156176172602231,-0.0219576152313233,0.244951496545955,0.197521412508649,0.0367596197918922,0.0545486260304331,-0.0534141612442692,0.0246823651034076,0.00939280703026142,0.00340199633045596,-0.0809243814950517,-0.253585769899377,-0.0760175988895836,0.45857824681721,-0.646479816406318,0.121485908168411,0.221412138402802,0.355060401850757,-0.107647534173971,0.146240661276434,0.203875102941846,0.0529228567778365,-0.0390283139476126,0.224343644726744,-0.180804659410935,-0.281183806450039,0.0178876344224229,0.465348728770985,-0.0790780173271378,0.0761528673185406,0.322063651732913,-0.651473267968761,-0.586446194483532,-0.400118177184641,0.152099259203513,-0.335764072777955
