Post-HIV Gut Species	Post-HIV Gut GO
Gemmiger formicilis	5.55903634723336	4.96839869846004
Bacteroides stercoris	5.36200743566046	2.07433812251369
Alistipes shahii	3.13351789041747	3.19338073490522
Odoribacter splanchnicus	3.01705790871958	0.527082104516596
Anaerostipes hadrus	2.64358624868093	2.44706150745354
Prevotella sp. Marseille P4119	2.64315137411001	2.36036823288619
Sutterella wadsworthensis	2.5064923330802	1.37440090082875
Clostridium sp. 1001270H 150608 G6	2.43768845001764	2.16790509268716
Ruminococcus bicirculans	2.39200356141194	2.23876824192396
Parabacteroides merdae	2.06433813887844	1.0896907849456
Prevotella sp. 885	0.488769822534421	2.86501503645923
Prevotellamassilia timonensis	0.0264934312344444	2.39709532762896
Succinivibrio dextrinosolvens	2.98878442663761	2.2591490119963
Succinivibrio sp. AGMB01872	0.632123357938587	2.13538104911212
