Boston MSM	Boston Heterosexual	Botswana	Uganda
Oscillospira [Genus]	3.72705948256558	0.194184899930684	0.31279720423479	0.83722050661972
Anaerostipes hadrus	3.22641816938496	1.05159122761458	0.237871959066817	0.129057201378093
Ruminococcaceae [Family]	3.07829401326874	1.35451762662198	0.326960276641942	1.3696883881798
Prevotella copri	3.01707124791182	1.26486427966401	1.05151853860765	3.13225544784375
Desulfovibrio [Genus]	2.96384332382706	0	0	0
Peptococcus [Genus]	2.87869218752168	0	0	0
Lachnospiraceae [Family]	2.60753881485728	0.439905663411562	0.762872298381744	2.70641152047421
Catenibacterium mitsuokai	2.18929206910696	0	1.33883329865968	2.66597154139669
Lachnospira [Genus]	0	5.71059758637492	1.73945343977921	1.89661509618453
[Ruminococcus] [Genus]	0.395234052207742	4.00761540081347	0.289721559714445	1.9236902566442
Roseburia [Genus]	2.36446154863647	3.33744410595175	0.0504145948369245	1.89917639724638
Collinsella aerofaciens	0.63237661474845	3.30512315239856	1.39605531787545	2.0106745240394
Ruminococcus [Genus]	0.45860501540376	3.30367550418867	0.857285547004892	0.906855255535854
Ruthenibacterium lactatiformans	0.346304276710984	2.77099921668312	0	0
Blautia [Genus]	1.41733218620681	2.1617403726099	0.820594696943455	7.53800904067983
Blautia obeum	0	2.0293339357128	3.70273068584981	3.41099805111404
Blautia wexlerae	1.05914217376867	1.52306010313243	0.32332649631519	7.62230381950246
Actinomyces odontolyticus	0	1.06232689521216	0.972352761819567	3.22744970324562
Coriobacteriaceae [Family]	1.33574773544935	0.628830748694932	0.912705434336568	3.22028618410839
Senegalimassilia anaerobia	1.64092003299543	0	0.35513796059936	2.45572950115492
SMB53 [Genus]	0	0	2.63282507063952	2.33406523114925
