"t1","t2","r1","r2","n1","n2","p","BH_p"
"Coprococcus catus","Ruminococcus [Genus]",0.505263157894737,0.632820512820513,20,26,0.551656461247634,0.749163095521479
"Ruminococcus [Genus]","Ruminococcaceae [Family]",0.456284760845384,0.594864836655881,30,66,0.394539507626341,0.667682243675347
"Ruminococcus [Genus]","Clostridiales [Order]",0.544827586206897,0.455013932893079,30,68,0.618571846908529,0.796091137957281
"Ruminococcaceae [Family]","Clostridiales [Order]",0.61491935483871,0.627468004373272,31,72,0.906687131509174,0.946477042544252
"Ruminococcus [Genus]","Oscillospira [Genus]",0.631145717463849,0.531674062640684,30,72,0.526698092457711,0.733377090763902
"Ruminococcaceae [Family]","Oscillospira [Genus]",0.473387096774194,0.803924472417623,31,74,0.00741090408057733,0.077865299214886
"Clostridiales [Order]","Oscillospira [Genus]",0.510483870967742,0.655379746835443,31,79,0.307508997548702,0.563766495505954
"Clostridiales [Order]","Faecalibacterium prausnitzii",0.204838709677419,0.438535149061465,31,77,0.235578232495103,0.471156464990206
"Oscillospira [Genus]","Faecalibacterium prausnitzii",0.154838709677419,0.491747809152872,31,79,0.0842421438304142,0.264761023467016
"Ruminococcaceae [Family]","Christensenellaceae [Family]",0.436923076923077,0.698155467720685,25,45,0.13197917394243,0.356047917536019
"Clostridiales [Order]","Christensenellaceae [Family]",0.518461538461538,0.469873573851372,25,46,0.822672636208411,0.932927731782734
"Oscillospira [Genus]","Christensenellaceae [Family]",0.419230769230769,0.702374344742522,25,46,0.104010612885855,0.312231315858389
"Ruminococcus bromii","Sutterella [Genus]",-0.8,0.0909090909090909,16,10,0.0135030868707099,0.106095682555578
"Ruminococcaceae [Family]","Bacteroidales [Order]",0.56043956043956,0.609919028340081,14,39,0.796484753677731,0.918037885332468
"Clostridiales [Order]","Bacteroidales [Order]",0.446153846153846,0.545141700404858,14,39,0.681183309799485,0.861266253769464
"Oscillospira [Genus]","Bacteroidales [Order]",0.0593406593406593,0.643951057450774,14,42,0.0403486682982253,0.188636015971705
"Ruthenibacterium lactatiformans","Bacteroides vulgatus",0.68961038961039,0.536521739130435,21,24,0.450500962601924,0.699214531753905
"Bacteroides [Genus]","Bacteroides vulgatus",0.216727716727717,0.61283526456527,27,42,0.058971096276376,0.217600299901275
"Bacteroides vulgatus","Bacteroides uniformis",0.65018315018315,0.402955665024631,27,29,0.225437289746844,0.471156464990206
"Clostridiales [Order]","[Paraprevotellaceae] [Family]",0.388235294117647,0.560555723346421,16,43,0.470893083479239,0.699214531753905
"Bacteroides vulgatus","Paraprevotella [Genus]",0.505882352941176,0.568854282536151,16,30,0.776797906484918,0.918037885332468
"Ruminococcaceae [Family]","Prevotella copri",0.361957730812013,-0.465861837692824,30,71,0.000121167858712557,0.00609868423872517
"Clostridium orbiscindens","Prevotella copri",-0.673890608875129,-0.632173913043478,18,24,0.843521934265128,0.93724659362792
"Desulfovibrio [Genus]","Prevotella copri",-0.031055900621118,-0.529230769230769,22,51,0.0411569489392811,0.188636015971705
"Bacteroidales [Order]","Prevotella copri",-0.296703296703297,-0.501393728222997,14,41,0.464549046603885,0.699214531753905
"Bacteroides vulgatus","Prevotella copri",-0.557387057387057,-0.508033000434216,27,48,0.801196699926517,0.918037885332468
"Ruminococcus [Genus]","Prevotella stercorea",-0.200854700854701,-0.507985193019566,27,61,0.142419167014407,0.356047917536019
"Clostridium [Genus]","Prevotella stercorea",-0.666233766233766,-0.0421052631578947,21,20,0.0273439723469068,0.155648425396373
"Desulfovibrio [Genus]","Prevotella stercorea",0.139469226425748,-0.469483793517407,22,50,0.0182586523471792,0.125528234886857
"Bacteroides vulgatus","Prevotella stercorea",-0.622564102564103,-0.508362369337979,26,41,0.538326668921822,0.740199169767505
"Prevotella copri","Prevotella stercorea",0.415982484948002,0.392758376744485,28,72,0.922094498589907,0.947947615372802
"Bacteroides [Genus]","Parabacteroides distasonis",0.272727272727273,0.497956307258633,23,44,0.327277360912639,0.58065338226436
"Bacteroides vulgatus","Parabacteroides distasonis",0.553924336533032,0.642334494773519,22,41,0.610114733882238,0.796091137957281
"Bacteroides uniformis","Parabacteroides distasonis",0.714285714285714,0.281773399014778,22,29,0.0489451753398898,0.19883506320527
"Sutterella [Genus]","S24-7 [Family]",0.8,-0.05,15,15,0.00615782684075445,0.0761779990249245
"Bifidobacterium longum","Megasphaera elsdenii",0.621978021978022,0.577712609970675,14,32,0.877464422018476,0.937529858365986
"Oscillospira [Genus]","Allisonella histaminiformans",-0.83609022556391,0.046360616128058,20,43,2.09183629403745e-05,0.0023010199234412
"Christensenellaceae [Family]","Allisonella histaminiformans",-0.70485036119711,-0.426312817617165,18,22,0.234169692013916,0.471156464990206
"Bacteroides uniformis","Mitsuokella jalaludinii",-0.803571428571429,-0.461538461538462,15,12,0.172452836310744,0.403613021152805
"Bacteroides [Genus]","Coriobacteriaceae [Family]",-0.633076923076923,-0.045190939927782,25,38,0.0113610302964983,0.102596994991823
"Ruminococcus [Genus]","Collinsella aerofaciens",0.297536945812808,0.442729178578235,29,54,0.480671861459363,0.699214531753905
"Desulfovibrio [Genus]","Collinsella aerofaciens",0.116883116883117,0.517543148853415,22,42,0.10615797268172,0.312231315858389
"Prevotella copri","Collinsella aerofaciens",0.0152709359605911,-0.467213114754098,29,61,0.0282997137084314,0.155648425396373
"Coriobacteriaceae [Family]","Collinsella aerofaciens",0.523199023199023,0.499093929326487,27,43,0.912059695542642,0.946477042544252
"Ruminococcus [Genus]","[Mogibacteriaceae] [Family]",0.28957264957265,0.58868778280543,26,51,0.136639046961942,0.356047917536019
"Ruminococcaceae [Family]","[Mogibacteriaceae] [Family]",0.453601953601954,0.610316742081448,27,51,0.372779309259642,0.64071443779001
"Clostridiales [Order]","[Mogibacteriaceae] [Family]",0.518315018315018,0.528873642081189,27,54,0.937129467930365,0.954483717336483
