"","Coprococcus [Genus]","Coprococcus catus","Ruminococcus [Genus]","Ruminococcaceae [Family]","Clostridiales [Order]","Clostridium [Genus]","Oscillospira [Genus]","Ruminococcus callidus","Ruminococcus bromii","Faecalibacterium prausnitzii","Faecalibacterium [Genus]","Ruthenibacterium lactatiformans","Clostridium orbiscindens","Christensenellaceae [Family]","Succinivibrio [Genus]","Sutterella [Genus]","Duodenibacillus massiliensis","Escherichia coli","Bilophila [Genus]","Desulfovibrio [Genus]","Bifidobacterium longum","Bacteroidales [Order]","Bacteroides [Genus]","Bacteroides vulgatus","Bacteroides ovatus","Bacteroides uniformis","[Paraprevotellaceae] [Family]","Paraprevotella [Genus]","[Prevotella] [Genus]","Prevotella [Genus]","Prevotella copri","Prevotella stercorea","Parabacteroides [Genus]","Parabacteroides distasonis","S24-7 [Family]","Phascolarctobacterium [Genus]","Acidaminococcus [Genus]","Megasphaera elsdenii","Dialister [Genus]","Allisonella histaminiformans","Mitsuokella jalaludinii","Coriobacteriaceae [Family]","Collinsella aerofaciens","Senegalimassilia anaerobia","SMB53 [Genus]","[Mogibacteriaceae] [Family]","Mogibacterium [Genus]","Streptococcus thermophilus","[Eubacterium] biforme","Catenibacterium mitsuokai","Lachnospiraceae [Family]","Blautia [Genus]","Peptococcus [Genus]","Blautia wexlerae","Blautia obeum","Lachnospira [Genus]","[Ruminococcus] gnavus","Roseburia [Genus]","Roseburia faecis","Dorea [Genus]","[Ruminococcus] [Genus]","Oribacterium [Genus]","Fusicatenibacter saccharivorans","Dorea formicigenerans","Dorea longicatena","Anaerostipes hadrus"
"Coprococcus [Genus]",0,0.395899917852946,-0.115547339844006,-0.374942864975274,-0.239448140643916,-0.146156781559195,-0.152281176763475,-0.102878219160662,0.387584767811819,-0.0140454464875782,-0.118240839102624,-0.101596799458525,0.362076536831022,-0.0244916648714714,0.110225480764446,0.121080064055301,-0.343800140061228,0.148932172901123,-0.0935675306252466,0.179383397611282,0.152705984814579,0.77893388419102,0.213328829211708,0.20527164652643,-0.936636455377101,-0.310390393780372,-0.135162255242797,0.118777555907359,-0.0293285296197911,0.240226410330262,-0.309195995643145,-0.0154735612482321,-0.316474796991309,-0.668936950463767,0.190188277285659,-0.120382992501237,0.459014026833021,0.0563259448711245,0.0421740987473585,-0.103826031421782,0.404267729821106,-0.0165283453931695,-0.240537166447049,-0.0373821370271236,0.321334501936511,0.352158296266623,-0.528073792197333,-0.0551148664460879,0.0578010784585057,0.31490685364789,0.11534361554558,0.0151665951337025,0.00030339390031936,-0.18958139124327,-0.101012873968989,0.257149635970213,0.0568304776808991,0.220689628558394,0.0453679005626848,0.0308935267123278,0.0170621049789625,-0.171061023053984,0.167924764178691,-0.0462458401560679,-0.036105082145133,0.47558123504369
"Coprococcus catus",0.395899917852946,0,0.190398164362446,0.322045711805223,0.146197493738734,0.00612163746842838,0.149583722615983,0.148066523925395,0.464116357427001,0.455576103301702,0.02673637432675,-0.169519060052569,-0.411551552910879,0.283773597890246,0,-0.0450177954544702,-0.0391826188867108,0.119787718683041,0.436052352933058,0.142603556034027,0.156820437559396,0.833971265715929,0.849923336931557,0.179581478548303,-0.0657876033639921,0.596543019544027,0.0978685863942575,-0.0987442445050728,-0.199844988013763,-0.329533832237812,-0.0517348528911349,-0.310005083713038,-0.212542748257093,0.462416348198645,0.100505193049745,0.16605433899042,0.134410866810743,0.0774684552586636,0.902817571759334,0.121663575658113,-0.0725428195220828,-0.0824395388157356,0.152891656540839,0.134570663337124,0.333517981771818,0.248880832562486,-0.410289938324795,-0.129979391243842,-0.346786404384866,0.525526155282203,0.732172918471105,-0.647479910195341,-0.000586095737521455,0.0271554624741863,-0.610009711579828,0.26718782455924,0.0714408358404511,0.307954129850806,0.410710794814397,0.337410153766093,-0.14009713670825,0.0518723732552233,0.433338825917575,0.410289065294602,0.144664778543944,0.471170040005997
"Ruminococcus [Genus]",-0.115547339844006,0.190398164362446,0,0.195843788710861,-0.113992439188522,-0.00501793698485731,-0.14370446047689,0.308263259573239,0.750007893516942,0.320278216255491,-0.202487213055411,0.0606891232536452,-0.233218228961678,-0.201833442792875,0.17951182277198,-0.220158274093282,-0.332730554857332,0.179259084412753,0.0913617766407255,-0.124691103255426,0.679430766584135,0.275943880991707,0.253184087609598,-0.143158309667283,-0.200681990495829,-0.290466632912546,0.088350303036234,0.101107028719931,0.0198492963305749,0.117591649768951,-0.325631481942625,-0.356016813239152,-0.117624278581326,-0.122864540386607,0.0600921726523368,0.0626932145479186,0.211820574020901,0.436278552555035,0.450097704527535,0.793653572830997,0.352086794898876,0.100566197665608,0.169941591499132,-0.107682087250994,0.100418165998056,0.377460380111788,0.087567428163982,0.465365917692754,6.34932929002019e-05,0.117353407953594,-0.138716769950706,-0.220298336288177,0.397723728522645,-0.209438795239601,-0.37707809239567,-0.133183393866867,-0.546186394607548,0.122797471415923,0.322881784447801,0.225615204057132,0.407187109507464,0.0633393323449766,0.0202015563729784,0.0396473458396204,0.175173659678141,0.00963003636095502
"Ruminococcaceae [Family]",-0.374942864975274,0.322045711805223,0.195843788710861,0,0.026265000683603,0.191299958885325,0.597566690994091,0.0131267161741684,0.536369239658205,0.264891963789874,-0.480624185410015,0.258796574567582,0.236762615079485,0.396440342304006,-0.481319199144095,0.141241927579658,-0.979488029143266,0.0480789709776158,-0.0157250574845652,0.00374569170262401,0.512918750166426,0.0888487288640402,0.0127423853939283,0.44064670773411,-0.0576015406390684,0.243453067145299,0.0213782663570269,0.419848425765976,-0.590767625820461,0.0249008312738238,-0.874340772399948,-0.620279792404064,-0.0319445320096853,0.0824668336932314,0.534274305686453,-0.161999597547242,0.13713628809052,0.266588548296417,-0.129276852690111,0.652229573817078,-0.199644697927665,0.0564077921967769,-0.094557201532296,-0.00726344034064205,0.107656410293893,0.222819844405729,0.331568045060712,0.44490166065424,-0.0950880734559034,0.331994039963779,-0.15115394083507,-0.202265453450969,0.552577493907131,-0.0532620029881551,-0.0328081801869682,0.0411027445001655,0.186788593723161,0.18944422380247,0.131302267213686,-0.0792656292914312,0.141543910165533,-0.038815715161484,-0.0604319592245808,-0.12908311269544,-0.0154981919243501,-0.0423117024804417
"Clostridiales [Order]",-0.239448140643916,0.146197493738734,-0.113992439188522,0.026265000683603,0,-0.185822112077403,0.225594266819355,0.276629873556404,0.416048612313637,0.263166595036512,-0.7242047425642,-0.354146437956102,0.0765649165322003,-0.0587448829384443,-0.0628820559836509,0.343482711761034,-0.534693871245776,0.70952123237143,-0.241388879807702,0.00124240619395694,0.41285498114264,0.141541404102643,-0.075196479104936,-0.212633885433016,-0.834483479432391,-0.239184180446732,0.230190615448475,-0.139175278696437,-0.065338573627347,0.674362026714049,-0.214525823388696,-0.172295869738199,-0.355671659860125,-0.683669479830114,0.3651589772766,0.00556121307830576,0.60709576898149,0.31761812832679,0.0636614189244341,0.503322917880974,0.0893663422093353,0.173045135693315,-0.235688418209257,-0.193033102827025,0.414703313276982,0.0195252749216033,-0.196844636937304,0.262818548421803,0.0770267420978291,0.368465031684375,0.0351995654690239,-0.368248182790877,-0.0869156101203055,-0.439727484219048,-0.180226842821542,-0.0290863518151874,-0.214900374354478,0.40682832551139,0.514601262472686,0.0692636816844934,0.0104227543475059,-0.288055833226411,0.0453705841036949,-0.222769072715529,-0.153298412518478,0.0860913193216246
"Clostridium [Genus]",-0.146156781559195,0.00612163746842838,-0.00501793698485731,0.191299958885325,-0.185822112077403,0,-0.372124042233803,0.387982590625647,0.127399977831953,0.471692665014345,0.263090838074672,-0.163123694377003,0.109906672876781,-0.158865706001339,0.736652591847853,0.227892065764454,0,0.375085108997585,-0.109461595198351,-0.287704243876481,-0.223562109361223,0,-0.0164579428841527,-0.615689117130794,-0.662091973318556,-0.458208728400089,-0.230383589704555,-0.233298659444842,0.523403043325882,-0.141649998805731,0.622970392721233,0.746262157136491,-0.498151028159249,-0.454406000092282,-0.641908364743919,-0.0332073904698522,-0.252280403005916,0.0668657570430649,0.00670150098434923,0.316220573617231,0.230251337889874,0.264318900000317,-0.552412982346028,0.0738975793896892,0.060672933476404,-0.278760345695957,-0.364541100403614,-0.0171162836914994,0.374351251853979,0.586110745379488,0.344574514624847,-0.668925584501575,0,-0.56344724145827,-0.478592695134327,0.498316407493547,-0.5664832600777,0.524735723502562,0.410633848839825,-0.138673846167138,0.456315535693364,0,0.0278626314712558,-0.0885785234989586,-0.0599776879089015,-0.690181337802634
"Oscillospira [Genus]",-0.152281176763475,0.149583722615983,-0.14370446047689,0.597566690994091,0.225594266819355,-0.372124042233803,0,0.440066653618156,0.496696464395135,0.381697161640542,-0.185405549867326,-0.084166485197105,0.540664501267657,0.426142772637903,-0.301169254692296,0.566591866825535,-0.425568823312367,0.0823165442453173,-0.187248273542767,0.0431794682433371,0.552382257715212,0.699913614287132,0.329747650763076,-0.265787399273524,-0.180383488223062,-0.0760505630933284,0.469802719380753,-0.370174191170547,-0.0549858494152352,0.155919917404342,-0.420097945356172,-0.231023594525441,-0.27226483692456,-0.191158611823689,0.368798830046925,-0.215525736445146,0.323211619022471,0.542204256755404,0.323607972966966,1.23187838290847,-0.155369365722893,0.0420544782544366,-0.085293661347342,0.330285474356522,-0.054594752251918,0.465323278423732,0.458020661725464,0.40310368437889,-0.00486328683978351,0.10033279883017,0.0854030348662861,-0.197795082262767,0.287339433426125,0.0874326568297976,-0.263044218011987,-0.00289452266622953,-0.351517445807794,0.0123366243458571,0.52121674520436,0.0401805463017734,0.181890009899942,-0.124566678235611,0.14682972782511,-0.00876890867548506,0.0129440074564562,-0.147979821298951
"Ruminococcus callidus",-0.102878219160662,0.148066523925395,0.308263259573239,0.0131267161741684,0.276629873556404,0.387982590625647,0.440066653618156,0,0.380673781770651,0.354114980036232,-0.238297431743036,0.00667525703314239,0,0.424106351490786,0.0761418113690492,0.652175974341861,0.419637121174468,0,0.0102287008821201,0.218697829351218,0.904674791762334,0.115604350524055,0.423344980068224,0.539357795662881,0,0.0826284251666263,0.197557542641916,0.564934744136757,-0.00034781389984137,0.0461409792574785,-0.626179908920716,-0.489557137624836,0.7739771695412,0.518210028719931,-0.138924105770506,0.194060829124279,0.528823602572951,0.270446226288517,0.288242699907215,-0.206560363783646,-0.666822798832509,0.549780974713025,0.416414069992698,0.542561336568945,-0.290801717701328,0.444828198269586,0.0646222353775916,0.15083147084547,0.0991573991978131,-0.178658502470333,-0.0390912949146907,-0.162943087770494,0.14008163772965,-0.0768034574035045,0.691505501988768,0.487666071976563,0,0.0325747919910707,0.521336785524192,-0.138068809529982,-0.0357781669114846,0.279932209602357,0.175176608732901,0.331739377987987,0.111523078368702,-0.236488543558348
"Ruminococcus bromii",0.387584767811819,0.464116357427001,0.750007893516942,0.536369239658205,0.416048612313637,0.127399977831953,0.496696464395135,0.380673781770651,0,0.828058139964588,0.0911535371258135,-0.487224280175604,0,0.527553309087885,0,1.15805589534792,-0.296497669116971,-0.46974365787742,-0.0769944928358114,0.348777215233244,-0.559769373005206,0.20830803712332,0.082184502134766,-0.210284318901346,-0.328117114261674,-0.632785275977816,0.527207148371866,0.116555241670585,0.682673307138292,-0.450682260271867,0.246673680969176,-0.238356527174026,-0.486399315585646,0.166617083802175,0.487072642638112,0.364884350505859,0.0897877340200146,-0.526345440240565,0.693905773126756,-0.217382567530716,0.0513598398571605,-0.029578703099904,0.148047293178934,-0.246114042683353,0.36964407126833,-0.172897031871671,0.103729159196228,-0.353002465902263,0.767950940325292,1.25352474507952,0.949639882076295,0.104981343191231,0.246484240454424,-0.136874861958395,-0.00170530445233386,0.169787805407637,-0.320947267708784,-0.0731111457539104,-0.117500020913708,0.325377429112132,0.479444542887363,-0.266171530331348,0.689631258861851,0.313173928143873,0.325672458253832,0.305091294137978
"Faecalibacterium prausnitzii",-0.0140454464875782,0.455576103301702,0.320278216255491,0.264891963789874,0.263166595036512,0.471692665014345,0.381697161640542,0.354114980036232,0.828058139964588,0,0.131770324405287,-0.280412110083174,0.26025022524399,0.261694468760452,0.0514514485262961,0.280055077330923,0.168551002708395,0.636150926223729,-0.151925779244855,0.0710781802519645,0.0317414347036274,0.655862065294933,-0.171164721196145,-0.281874692273604,-0.458180212575234,-0.136652046353097,0.385067208351461,0.120033553574434,0.202832063009212,0.24356122428607,-0.419024006343892,-0.205135575942075,0.083080714157539,-0.398284194410346,0.350647674883772,0.229666083294111,0.44916037624291,0.526345502057985,0.192852289912558,0.0790408594124071,0.118664886377119,0.413200711369139,0.232671245091659,0.341777093158788,0.160810315514849,0.313579272796835,0.716314927973017,-0.0558790500480884,0.0735042932502957,-0.0774568324806236,-0.158722881074068,-0.112739598068273,-0.00973709741402622,-0.209894627276351,0.094650337811055,0.0775530366650145,-0.420714452995138,-0.00717131271238675,-0.509700610732063,-0.0965132835898447,-0.0832699955399063,-0.0433322599799134,-0.0397782570615495,0.163096449266978,0.0201315974537674,-0.272746745624421
