"species","t","p","num_corr","BH_p"
"Allisonella histaminiformans",7608.93661773318,4.18336885090212e-05,2,0.00225901917948714
"Oscillospira [Genus]",1697.89003583376,0.000187473771952635,9,0.00357722573853958
"Bilophila [Genus]",1601.68175720848,0.000198734763252199,1,0.00357722573853958
"Escherichia coli",517.480208331818,0.000615114326760917,1,0.0066432347290179
"Anaerostipes hadrus",536.127140329421,0.000593720207574504,3,0.0066432347290179
"Ruminococcaceae [Family]",381.191444133634,0.000835037514309862,7,0.00733601902592817
"Desulfovibrio [Genus]",292.881380885645,0.00108681763347084,5,0.00733601902592817
"Prevotella copri",331.070172013742,0.000961454534617499,8,0.00733601902592817
"Ruminococcus bromii",218.623845264613,0.00145596042336702,2,0.00786218628618189
"Peptococcus [Genus]",240.735321939946,0.00132223245347857,6,0.00786218628618189
"Lachnospiraceae [Family]",128.937793740003,0.00246865945981241,4,0.0121188737118064
"Roseburia [Genus]",73.6690388602521,0.00432054418958653,1,0.0194424488531394
"S24-7 [Family]",51.6854703641948,0.00615782684075445,1,0.024944434056315
"Catenibacterium mitsuokai",49.21329403988,0.00646707549608168,9,0.024944434056315
"Sutterella [Genus]",37.6222240973302,0.0084586959912856,2,0.0304513055686281
"[Eubacterium] biforme",25.7707856098194,0.0123453849314091,2,0.0416656741435057
"Senegalimassilia anaerobia",13.9002496617927,0.0228601969133422,1,0.0726147431364986
"Clostridium [Genus]",11.6123039693315,0.0273439723469069,1,0.075759505047265
"Succinivibrio [Genus]",11.4396330810568,0.0277546314649029,1,0.075759505047265
"Bacteroides [Genus]",11.314876814813,0.0280590759434315,3,0.075759505047265
"Dorea [Genus]",10.5575687503753,0.030060240570252,5,0.0772977614663622
"Blautia [Genus]",8.28103284129926,0.0382532037602028,9,0.0914064486082799
"Dorea formicigenerans",8.13515800207652,0.0389323762590822,6,0.0914064486082799
"Dialister [Genus]",6.57788072874119,0.0480232382769948,2,0.103730194678309
"Coriobacteriaceae [Family]",6.8476046533769,0.0461585613599801,4,0.103730194678309
"[Ruminococcus] gnavus",6.19270458484892,0.0509608750146643,3,0.105841817338149
"Prevotella stercorea",5.11345063006372,0.0614736818863239,7,0.122947363772648
"Bacteroidales [Order]",4.0602875211768,0.0768660935035281,6,0.148241751756804
"Blautia wexlerae",3.55562613739331,0.087268563296801,5,0.16250008338025
"Bacteroides uniformis",3.09373653099227,0.0995143465972181,3,0.179125823874993
"Roseburia faecis",2.83726530261884,0.107861727296535,1,0.187888170129447
"Parabacteroides distasonis",2.23154443455356,0.134100623011459,3,0.226294801331837
"Prevotella [Genus]",1.79873697007056,0.161509337638017,1,0.257673772951335
"Mogibacterium [Genus]",1.78906732300168,0.162239042228619,1,0.257673772951335
"Faecalibacterium prausnitzii",1.70383660301423,0.168939612391682,4,0.258679254466116
"Mitsuokella jalaludinii",1.66155154890102,0.172452836310744,1,0.258679254466116
"Bacteroides vulgatus",1.23039814779614,0.217235083278629,8,0.317045797217458
"Christensenellaceae [Family]",1.18050834367477,0.223709398652237,4,0.317902829663705
"Collinsella aerofaciens",1.1119451099128,0.233143539374779,9,0.322814131442002
"Dorea longicatena",0.955679618408585,0.257212429419517,13,0.347236779716348
"Ruminococcus [Genus]",0.518053442475884,0.347852384370863,8,0.458147042829918
"[Ruminococcus] [Genus]",0.316258270238413,0.402500058469707,6,0.517500075175337
"Ruthenibacterium lactatiformans",0.156771540329907,0.450500962601924,1,0.565745394895439
"[Paraprevotellaceae] [Family]",0.0916977994258356,0.470893083479239,1,0.569519587246955
"[Mogibacteriaceae] [Family]",0.0799673406676179,0.474599656039129,9,0.569519587246955
"Coprococcus catus",-0.163723359233564,0.551656461247634,1,0.647596715377658
"Coprococcus [Genus]",-0.239669089690104,0.574876693196228,5,0.660496626225453
"Clostridiales [Order]",-0.989887581910373,0.748382393572972,10,0.841930192769593
"Paraprevotella [Genus]",-1.18433032827471,0.776797906484918,1,0.856062998983379
"Clostridium orbiscindens",-1.86764841765673,0.843521934265128,1,0.894846845898003
"Bifidobacterium longum",-2.46808875638201,0.877464422018476,1,0.894846845898003
"Megasphaera elsdenii",-2.46808875638201,0.877464422018476,1,0.894846845898003
"Fusicatenibacter saccharivorans",-2.486275178378,0.878275608011003,10,0.894846845898003
"Phascolarctobacterium [Genus]",-127.71542786815,0.997507713932346,1,0.997507713932346
"Ruminococcus callidus",NA,NA,0,NA
"Faecalibacterium [Genus]",NA,NA,0,NA
"Duodenibacillus massiliensis",NA,NA,0,NA
"Bacteroides ovatus",NA,NA,0,NA
"[Prevotella] [Genus]",NA,NA,0,NA
"Parabacteroides [Genus]",NA,NA,0,NA
"Acidaminococcus [Genus]",NA,NA,0,NA
"SMB53 [Genus]",NA,NA,0,NA
"Streptococcus thermophilus",NA,NA,0,NA
"Blautia obeum",NA,NA,0,NA
"Lachnospira [Genus]",NA,NA,0,NA
"Oribacterium [Genus]",NA,NA,0,NA
