"t1","t2","r1","r2","n1","n2","p","BH_p"
"Coprococcus catus","Ruminococcaceae [Family]",0.1733048838312,0.825174825174825,37,12,0.0102287778333305,0.0825884210742896
"Clostridiales [Order]","Ruminococcaceae [Family]",0.615502392344498,0.498803418803419,76,26,0.461978731685735,0.659969616693907
"Ruminococcus [Genus]","Oscillospira [Genus]",0.372362869198312,0.458485958485958,80,27,0.675796484747748,0.8045196246997
"Clostridiales [Order]","Oscillospira [Genus]",0.560591689250226,0.62026862026862,81,27,0.721128017202788,0.838023289378269
"Ruminococcaceae [Family]","Oscillospira [Genus]",0.682460697197539,0.63008547008547,76,26,0.675186584654896,0.8045196246997
"Coprococcus [Genus]","Lachnospiraceae [Family]",0.509281842818428,0.232136752136752,81,26,0.168451230489717,0.382843705658448
"Lachnospiraceae [Family]","Faecalibacterium prausnitzii",0.470440693858415,0.65018315018315,80,27,0.274523763004152,0.499134114553003
"Lachnospiraceae [Family]","Butyricicoccus pullicaecorum",0.584813384813385,0.454545454545455,36,10,0.637236850081302,0.794200136382216
"Faecalibacterium prausnitzii","Butyricicoccus pullicaecorum",0.54954954954955,0.733333333333333,36,10,0.492995864970607,0.69056047135678
"Ruminococcus [Genus]","Christensenellaceae [Family]",0.503827751196172,0.38796992481203,56,20,0.58887749619958,0.785169994932773
"Clostridiales [Order]","Christensenellaceae [Family]",0.638482570061517,0.433082706766917,56,20,0.285796009378382,0.510350016747111
"Ruminococcaceae [Family]","Christensenellaceae [Family]",0.723499142367067,0.451127819548872,54,20,0.121318934794764,0.311074191781447
"Oscillospira [Genus]","Christensenellaceae [Family]",0.688926862611073,0.46015037593985,56,20,0.203746153040397,0.424471152167494
"Ruthenibacterium lactatiformans","Parasutterella excrementihominis",0.0147008547008547,-0.881118881118881,26,12,0.000567812054895601,0.011356241097912
"Lachnospiraceae [Family]","Sutterella [Genus]",0.593172119487909,0.611971104231166,37,18,0.949170354518348,0.958757933856917
"Faecalibacterium prausnitzii","Sutterella [Genus]",0.532242769084874,0.497549019607843,37,17,0.861549914185105,0.897447827276151
"Lachnospiraceae [Family]","Bifidobacterium [Genus]",-0.623044096728307,-0.293706293706294,37,12,0.249100372668054,0.470000703147271
"Faecalibacterium prausnitzii","Bifidobacterium [Genus]",-0.589853010905642,-0.048951048951049,37,12,0.0968022703695786,0.284712559910525
"Sutterella [Genus]","Bacteroides [Genus]",0.562108479755539,0.45,34,16,0.633189397794045,0.794200136382216
"Lachnospiraceae [Family]","Bacteroides vulgatus",0.583091535330341,0.545982905982906,66,26,0.802514401981508,0.872298263023378
"Faecalibacterium prausnitzii","Bacteroides vulgatus",0.474082167832168,0.176923076923077,65,25,0.175105558009495,0.389123462243321
"Bacteroides [Genus]","Bacteroides vulgatus",0.488174982911825,0.381422924901186,56,23,0.603843476075973,0.794200136382216
"Faecalibacterium [Genus]","Bacteroides caccae",-0.769607843137255,0,17,8,0.0560769599950229,0.215680615365473
"Actinomyces odontolyticus","Bacteroides caccae",-0.683478260869565,0,24,9,0.07622335244417,0.256982798019829
"Lachnospiraceae [Family]","Bacteroides ovatus",0.563926940639269,0.4004884004884,73,27,0.35645026706282,0.556953542285656
"Parasutterella excrementihominis","Bacteroides ovatus",0.488221081244337,0.373529411764706,43,16,0.643302110469595,0.794200136382216
"Sutterella [Genus]","Bacteroides ovatus",0.564425770308123,0.525283797729618,35,18,0.840828296914353,0.892391659478213
"Bacteroides [Genus]","Bacteroides ovatus",0.46534178187404,0.643478260869565,63,24,0.324623212338724,0.532169200555285
"Bacteroides vulgatus","Bacteroides ovatus",0.72221047065045,0.646153846153846,61,25,0.54640297872551,0.745028924392417
