"","Coprococcus [Genus]","Anaerostipes [Genus]","Coprococcus catus","Ruminococcus [Genus]","Clostridiales [Order]","Ruminococcaceae [Family]","Clostridium [Genus]","Oscillospira [Genus]","Lachnospiraceae [Family]","Ruminococcus bicirculans","Ruminococcus callidus","Ruminococcus bromii","Faecalibacterium prausnitzii","Faecalibacterium [Genus]","Ruthenibacterium lactatiformans","Methanobrevibacter [Genus]","Butyricicoccus pullicaecorum","Clostridium orbiscindens","Christensenellaceae [Family]","Parasutterella excrementihominis","Sutterella [Genus]","Escherichia coli","Bilophila [Genus]","Actinomyces odontolyticus","Bifidobacterium [Genus]","Bifidobacterium longum","Akkermansia muciniphila","Bacteroides [Genus]","Bacteroides vulgatus","Bacteroides caccae","Bacteroides ovatus","Bacteroides uniformis","Bacteroides cellulosilyticus","Bacteroides stercoris","Bacteroides massiliensis","Paraprevotella [Genus]","Prevotella copri","Prevotella stercorea","Parabacteroides [Genus]","Parabacteroides distasonis","Alistipes indistinctus","Rikenellaceae [Family]","Alistipes onderdonkii","Alistipes shahii","Odoribacter splanchnicus","Butyricimonas faecihominis","Turicibacter [Genus]","Phascolarctobacterium [Genus]","Acidaminococcus [Genus]","Phascolarctobacterium faecium","Coriobacteriaceae [Family]","Collinsella aerofaciens","Senegalimassilia anaerobia","SMB53 [Genus]","[Mogibacteriaceae] [Family]","Streptococcus thermophilus","Erysipelotrichaceae [Family]","[Eubacterium] biforme","Clostridium celatum","Defluviitalea saccharophila","Blautia [Genus]","Blautia wexlerae","Blautia obeum","Lachnospira [Genus]","[Ruminococcus] gnavus","Roseburia [Genus]","Roseburia faecis","Roseburia intestinalis","Dorea [Genus]","[Ruminococcus] [Genus]","Fusicatenibacter saccharivorans","Clostridium citroniae","[Ruminococcus] torques","Dorea formicigenerans","Dorea longicatena","Anaerostipes hadrus"
"Coprococcus [Genus]",NA,NA,NA,NA,NA,NA,NA,NA,0.168451230489717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0107364947396576,NA,NA,NA,NA,NA,NA,0.0796646673861471
"Anaerostipes [Genus]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00726401978939894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coprococcus catus",NA,NA,NA,NA,NA,0.0102287778333305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruminococcus [Genus]",NA,NA,NA,NA,NA,NA,NA,0.675796484747748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58887749619958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016557681380024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clostridiales [Order]",NA,NA,NA,NA,NA,0.461978731685735,NA,0.721128017202788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285796009378382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742154316834632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruminococcaceae [Family]",NA,NA,0.0102287778333305,NA,0.461978731685735,NA,NA,0.675186584654896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121318934794764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298777804299525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716176358238015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clostridium [Genus]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oscillospira [Genus]",NA,NA,NA,0.675796484747748,0.721128017202788,0.675186584654896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203746153040397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159932205038998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932347229693436,NA,NA,NA,NA,NA,NA,NA,NA,0.42058090063685,NA,NA,NA,NA,NA
"Lachnospiraceae [Family]",0.168451230489717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274523763004152,NA,NA,NA,0.637236850081302,NA,NA,NA,0.949170354518348,NA,NA,NA,0.249100372668054,NA,NA,NA,0.802514401981508,NA,0.35645026706282,NA,NA,NA,NA,NA,NA,NA,0.0688158536865123,NA,NA,0.729080261759094,NA,NA,0.311523421360321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42210077275936,NA,NA,NA,NA,0.0638908433936929,NA,NA,NA,NA,NA,NA,NA
"Ruminococcus bicirculans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
