"t1","t2","r1","r2","n1","n2","p","BH_p"
"Ruminococcus [Genus]","Ruminococcaceae [Family]",0.459737134394669,0.331806523859408,73,94,0.343132639368874,0.583325486927086
"Ruminococcus [Genus]","Clostridiales [Order]",0.486145871899297,0.258678611422172,74,94,0.09500426947543,0.346086981660495
"Ruminococcaceae [Family]","Clostridiales [Order]",0.770361217729639,0.799390447325715,77,102,0.617160242565656,0.75843788845418
"Ruminococcus [Genus]","Oscillospira [Genus]",0.452546230440967,0.336274458236903,75,97,0.382720842110943,0.629637514440584
"Ruminococcaceae [Family]","Oscillospira [Genus]",0.796151217203849,0.800632386481443,77,105,0.92825859369171,0.928570358423955
"Clostridiales [Order]","Oscillospira [Genus]",0.697127555988315,0.712559855906515,79,103,0.835241451185333,0.889419460020607
"Coprococcus [Genus]","Lachnospiraceae [Family]",0.337194008037998,0.502909492405479,69,93,0.21255514923617,0.481791671601986
"Anaerostipes [Genus]","Ruminococcus callidus",-0.673684210526316,0.388311688311688,20,21,0.000388605101627226,0.0198188601829885
"Clostridium [Genus]","Ruminococcus bromii",0.470636254501801,0.25797373358349,50,40,0.2640710235821,0.5496988654158
"Lachnospiraceae [Family]","Faecalibacterium prausnitzii",0.430671859785784,0.385107466839084,79,107,0.72178594994947,0.827215358369056
"Ruminococcaceae [Family]","Christensenellaceae [Family]",0.514385725262529,0.537944562351277,52,72,0.856266891136693,0.891216560162681
"Clostridiales [Order]","Christensenellaceae [Family]",0.569538120037565,0.538041466123658,52,73,0.814938610793525,0.889419460020607
"Oscillospira [Genus]","Christensenellaceae [Family]",0.589345172031077,0.448383314821671,52,73,0.304341866074683,0.579212842388174
"Methanobrevibacter [Genus]","Christensenellaceae [Family]",0.59168035030104,0.0697674418604651,28,44,0.0180115462330165,0.183717771576768
"Faecalibacterium [Genus]","Actinomyces odontolyticus",-0.364912280701754,-0.737662337662338,19,21,0.10657301152446,0.37484300605155
"Bifidobacterium [Genus]","Bifidobacterium longum",0.476811594202899,0.293164200140944,45,44,0.327846513682914,0.579212842388174
"Escherichia coli","Bacteroides [Genus]",0.180769230769231,0.449073678818407,39,52,0.173542082232454,0.448551493400667
"Ruminococcaceae [Family]","Bacteroides vulgatus",-0.3228631833283,-0.516250913265839,43,66,0.242584063990432,0.528981865797201
"Clostridiales [Order]","Bacteroides vulgatus",-0.0492298399275143,-0.529531486950275,43,67,0.00773859482459251,0.119561573362984
"Oscillospira [Genus]","Bacteroides vulgatus",-0.281938991241317,-0.591823491239455,43,68,0.0525252776556822,0.267878916043979
"Ruminococcaceae [Family]","Bacteroides ovatus",-0.364915572232645,-0.540852044736617,40,52,0.307645716288615,0.579212842388174
"Clostridiales [Order]","Bacteroides ovatus",-0.286491557223265,-0.438765008576329,40,54,0.41641483552563,0.665545280815952
"Bacteroides [Genus]","Bacteroides ovatus",0.590542521994135,0.298877551020408,32,49,0.124955590895659,0.381831802608106
"Bacteroides vulgatus","Bacteroides ovatus",0.482758620689655,0.546839346284305,29,46,0.71765494031084,0.827215358369056
"Lachnospiraceae [Family]","Bacteroides uniformis",0.243269908386187,0.41705069124424,44,63,0.33503487942061,0.579212842388174
"Bacteroides [Genus]","Bacteroides uniformis",0.638306451612903,0.296199095022624,31,51,0.0628957281875923,0.280883044282654
"Bacteroides vulgatus","Bacteroides uniformis",0.624916573971079,0.589049773755656,30,51,0.829063900306877,0.889419460020607
"Bacteroides ovatus","Bacteroides uniformis",0.657624633431085,0.501040703052729,32,47,0.330484773920067,0.579212842388174
"Bifidobacterium [Genus]","Prevotella copri",-0.591963109354414,-0.196199095022624,45,51,0.0239303279999855,0.193290659776034
"Bacteroides vulgatus","Prevotella copri",-0.563575958924796,-0.37967032967033,43,64,0.248697377071918,0.528981865797201
"Bacteroides ovatus","Prevotella copri",-0.352664405295984,-0.464969987995198,38,50,0.544896233370945,0.73769049540104
"Escherichia coli","Parabacteroides [Genus]",0.0711898395721925,0.526456527023742,33,42,0.0362263637100667,0.230943068651675
"Escherichia coli","Parabacteroides distasonis",-0.0211822660098522,0.535309617918314,29,45,0.0141423818081722,0.160280327159285
