"t1","t2","r1","r2","n1","n2","p","BH_p"
"Coprococcus [Genus]","Lachnospiraceae [Family]",0.594049779621467,0.41877291144125,57,72,0.195216375455815,0.291017004151725
"Lachnospiraceae [Family]","Coprococcus catus",0.530791788856305,0.571428571428571,32,35,0.819352585919136,0.873614346576032
"Lachnospiraceae [Family]","Ruminococcus [Genus]",0.491326583863897,0.290464011691633,66,69,0.178285237583299,0.275999262027992
"Lachnospiraceae [Family]","Ruminococcaceae [Family]",0.418414322250639,0.386810376324443,69,69,0.829474138148595,0.878587738433709
"Ruminococcus [Genus]","Ruminococcaceae [Family]",0.565888481574378,0.453014354066986,72,76,0.365307793916082,0.45592678155418
"Coprococcus [Genus]","Clostridiales [Order]",0.5525633640553,0.234360576132728,63,78,0.0281032512475745,0.0853702537898017
"Lachnospiraceae [Family]","Clostridiales [Order]",0.544139442646905,0.331975811427866,66,73,0.129785375931754,0.222291973670344
"Ruminococcus [Genus]","Clostridiales [Order]",0.526050420168067,0.3980282375852,69,79,0.335488764174957,0.428680087556889
"Ruminococcaceae [Family]","Clostridiales [Order]",0.69906103286385,0.508040318799812,71,80,0.0680939438567358,0.153252099749706
"Ruminococcus [Genus]","Oscillospira [Genus]",0.544922503054859,0.355355171144645,72,77,0.154855214721542,0.249316895701683
"Ruminococcaceae [Family]","Oscillospira [Genus]",0.78338269776626,0.685125001580698,73,78,0.197088822506212,0.291112847922019
"Clostridiales [Order]","Oscillospira [Genus]",0.502990546015821,0.446386630532972,72,81,0.661458218222648,0.734446711267906
"Coprococcus [Genus]","Ruminococcus callidus",-0.552123552123552,0.0171791224422803,36,38,0.00936426750654627,0.0483298225828575
"Clostridiales [Order]","Ruminococcus callidus",-0.530769230769231,-0.318421052631579,40,39,0.269110969029791,0.367176830625392
"Ruminococcaceae [Family]","Ruminococcus bromii",0.493272346102535,0.0465320456540825,54,68,0.00887609497793886,0.0483298225828575
"Clostridiales [Order]","Ruminococcus bromii",0.492420577326238,0.104154608013377,53,72,0.0203875099304217,0.0698380659318699
"Coprococcus [Genus]","Faecalibacterium prausnitzii",0.520512820512821,0.205110173464604,64,80,0.0326686314204105,0.0939223153336801
"Lachnospiraceae [Family]","Faecalibacterium prausnitzii",0.688321231738256,0.536955903271693,70,75,0.151383742723436,0.246189723014881
"Ruminococcus [Genus]","Faecalibacterium prausnitzii",0.501458718992966,0.347103213242454,74,79,0.254951019375133,0.353854432063762
"Clostridiales [Order]","Faecalibacterium prausnitzii",0.455201777119585,0.292517971043839,73,84,0.247990960743798,0.353332253803111
"Ruminococcus [Genus]","Methanobrevibacter [Genus]",0.581054239877769,0.279289131920711,34,56,0.100953909888216,0.191752333384678
"Ruminococcaceae [Family]","Methanobrevibacter [Genus]",0.558823529411765,0.374367737525632,35,56,0.298365004108041,0.400306380511621
"Clostridiales [Order]","Methanobrevibacter [Genus]",0.671199388846448,0.483536427275084,34,57,0.214871571781829,0.311660568079951
"Ruminococcus callidus","Methanobrevibacter [Genus]",-0.706914344685243,-0.18,18,24,0.0436162023335944,0.113261428640463
"Ruminococcaceae [Family]","Christensenellaceae [Family]",0.726819691935971,0.355297438124186,43,48,0.012050173943367,0.0570611177906498
"Clostridiales [Order]","Christensenellaceae [Family]",0.652540312778543,0.35377768128528,42,48,0.0636420474652158,0.146376709169996
"Oscillospira [Genus]","Christensenellaceae [Family]",0.687405617638176,0.43161094224924,43,48,0.082312332446733,0.170032842204745
"Ruminococcaceae [Family]","Actinomyces odontolyticus",-0.420821114369501,-0.48732177921967,32,52,0.714005660433437,0.782006199522335
"Oscillospira [Genus]","Actinomyces odontolyticus",-0.57908787541713,-0.344830530180142,30,52,0.218512835571125,0.314112201133492
"Succinivibrio [Genus]","Actinomyces odontolyticus",-0.745614035087719,0.380519480519481,19,21,0.000104070336384799,0.00418883103948814
"Lachnospiraceae [Family]","YS2 [Order]",0.505724883083374,-0.254517462118143,53,42,0.000151921637338931,0.00489187672231359
"Clostridiales [Order]","YS2 [Order]",0.440060987230799,0.0466782457663917,54,48,0.0391097032942725,0.108072946142697
"Actinomyces odontolyticus","Prevotella copri",-0.648729946524064,-0.107239819004525,33,51,0.00479815173078545,0.037547077965256
"Prevotella copri","Prevotella [Genus]",0.520866907474298,0.5300395256917,60,45,0.956617019005319,0.987277820896515
"Akkermansia muciniphila","Prevotella stercorea",-0.643478260869565,0.0631578947368421,24,20,0.012851307734504,0.0573126504908676
"Prevotella copri","Prevotella stercorea",0.668855212428904,0.401742160278746,68,41,0.0607343353765105,0.143797470523797
"Prevotella [Genus]","Prevotella stercorea",0.518933697881066,0.529325513196481,56,32,0.963712647736166,0.98826583621352
"Ruminococcaceae [Family]","S24-7 [Family]",0.423950093253585,0.339873083024855,72,61,0.580710498227095,0.663080781663563
"Oscillospira [Genus]","S24-7 [Family]",0.477940703582224,0.199777716032231,72,60,0.0773529519897052,0.163866121978191
"Prevotella [Genus]","Phascolarctobacterium [Genus]",0.297516139621403,0.727941176470588,38,17,0.0582760586085159,0.140036499044344
"Haemophilus parainfluenzae","Veillonella dispar",0.652649572649573,0.497058823529412,26,16,0.492732287813017,0.570718693078387
"Clostridiales [Order]","Coriobacteriaceae [Family]",0.427884615384615,0.290834505391467,65,80,0.359594372735225,0.452302296956025
"Prevotella copri","Coriobacteriaceae [Family]",-0.547196220803079,0.0642354683450574,70,73,7.97351101744566e-05,0.00418883103948814
"Coprococcus [Genus]","Collinsella aerofaciens",0.576197387518142,0.423206219918549,52,74,0.275777973275807,0.373111375608445
"Clostridiales [Order]","Collinsella aerofaciens",0.480617495711835,0.349413744150586,54,77,0.388995884106394,0.474457101069163
"Coriobacteriaceae [Family]","Collinsella aerofaciens",0.515965166908563,0.0558756016290263,53,74,0.00570751717221365,0.0397740755522534
"Ruminococcus [Genus]","Senegalimassilia anaerobia",0.00278254240518391,0.38245094409478,54,73,0.0308337867646049,0.0902589030745706
