"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"Coprococcus [Genus]","Ruminococcus callidus",-0.552123552123552,0.0171791224422803,36,38,0.00936426750654627,0.0483298225828575,0.569302674565833,3,1
"Ruminococcaceae [Family]","Ruminococcus bromii",0.493272346102535,0.0465320456540825,54,68,0.00887609497793886,0.0483298225828575,0.446740300448452,1,1
"Succinivibrio [Genus]","Actinomyces odontolyticus",-0.745614035087719,0.380519480519481,19,21,0.000104070336384799,0.00418883103948814,1.1261335156072,1,1
"Lachnospiraceae [Family]","YS2 [Order]",0.505724883083374,-0.254517462118143,53,42,0.000151921637338931,0.00489187672231359,0.760242345201516,1,1
"Actinomyces odontolyticus","Prevotella copri",-0.648729946524064,-0.107239819004525,33,51,0.00479815173078545,0.037547077965256,0.541490127519539,2,1
"Prevotella copri","Coriobacteriaceae [Family]",-0.547196220803079,0.0642354683450574,70,73,7.97351101744566e-05,0.00418883103948814,0.611431689148137,2,1
"Coriobacteriaceae [Family]","Collinsella aerofaciens",0.515965166908563,0.0558756016290263,53,74,0.00570751717221365,0.0397740755522534,0.460089565279537,2,1
"Prevotella copri","Senegalimassilia anaerobia",-0.650721500721501,-0.169592899864943,55,72,0.00107611595689262,0.0192505187844124,0.481128600856558,2,2
"Collinsella aerofaciens","Senegalimassilia anaerobia",0.64563675609004,0.145378254967296,46,73,0.00149772978963615,0.0220374161052462,0.500258501122744,3,2
"Coprococcus [Genus]","SMB53 [Genus]",0.598309570562623,0.0662754966552435,52,78,0.000756577715212237,0.0174012874498814,0.532034073907379,3,1
"Ruminococcus callidus","[Mogibacteriaceae] [Family]",-0.624542124542125,0.036672140120416,27,28,0.00812317944895278,0.0483298225828575,0.66121426466254,2,1
"Ruminococcus callidus","Clostridium celatum",-0.599507389162562,0.0952380952380952,29,27,0.00615987262435794,0.0397740755522534,0.694745484400657,2,2
"[Mogibacteriaceae] [Family]","Clostridium celatum",0.544817927170868,-0.107038123167155,35,32,0.00570649123888714,0.0397740755522534,0.651856050338024,1,2
"Coriobacteriaceae [Family]","Blautia [Genus]",0.466397956740362,-0.0187682570593963,67,79,0.00215192477680727,0.0288716574221642,0.485166213799759,2,4
"Senegalimassilia anaerobia","Blautia [Genus]",0.495864303411473,-0.0648561964351438,54,77,0.000910257914734699,0.0183189405340358,0.560720499846617,1,4
"SMB53 [Genus]","Blautia [Genus]",0.529484142852748,0.0261517615176152,58,81,0.00150566196992366,0.0220374161052462,0.503332381335133,1,4
"Catenibacterium mitsuokai","Blautia [Genus]",0.653061224489796,0.0688124306326304,48,52,0.000634151591993466,0.0170164010518247,0.584248793857165,2,4
"Blautia [Genus]","Blautia wexlerae",0.885064011379801,0.403313406721586,75,87,1.70438841715518e-09,2.74406535161984e-07,0.481750604658215,2,1
"Coprococcus [Genus]","Blautia obeum",0.594943039733259,0.167437985931137,60,73,0.00407991243813546,0.037043752670157,0.427505053802123,3,5
"Collinsella aerofaciens","Blautia obeum",0.455772005772006,0.00330679730557257,55,70,0.00875863879692801,0.0483298225828575,0.452465208466433,3,5
"Clostridium celatum","Blautia obeum",0.541684759009987,0.0377730796335448,48,44,0.00906335186537087,0.0483298225828575,0.503911679376442,2,5
"Blautia [Genus]","Blautia obeum",0.692234017080374,0.131834992887624,67,75,3.1341098703281e-05,0.00252295844561412,0.560399024192749,2,5
"Blautia wexlerae","Blautia obeum",0.669565217391304,0.339923234660077,69,77,0.00742508992864328,0.0459784414812142,0.329641982731228,1,5
"Lachnospira [Genus]","Roseburia [Genus]",0.554251012145749,-0.126436781609195,39,28,0.00437162298591915,0.037043752670157,0.680687793754944,1,1
"Clostridium celatum","[Ruminococcus] [Genus]",0.5082995951417,-0.139962476547842,39,40,0.00308106659990285,0.0354322658988828,0.648262071689543,2,2
"Blautia obeum","[Ruminococcus] [Genus]",0.670769230769231,0.247839861751152,51,63,0.00420309625642189,0.037043752670157,0.422929369018079,3,2
"Blautia obeum","Fusicatenibacter saccharivorans",0.50384024577573,0,63,65,0.00237250844144275,0.0293826045440218,0.50384024577573,3,1
"Actinomyces odontolyticus","Dorea formicigenerans",0.725027808676307,0.229517759917034,30,57,0.00424070748317273,0.037043752670157,0.495510048759273,2,2
"Collinsella aerofaciens","Dorea formicigenerans",0.487923169267707,-0.0128099748352913,50,78,0.00363231204726278,0.037043752670157,0.500733144102998,3,2
"Faecalibacterium prausnitzii","Coprococcus eutactus",0.586411149825784,0.0789791603745092,41,43,0.00960592746988472,0.0483298225828575,0.507431989451275,1,1
"Catenibacterium mitsuokai","Dorea longicatena",0.648062015503876,0.157294832826748,44,48,0.00489744495198991,0.037547077965256,0.490767182677128,2,2
"Blautia obeum","Dorea longicatena",0.575198307773665,0.162357707891183,61,72,0.0061760986882381,0.0397740755522534,0.412840599882482,3,2
